rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Afrique, je te plumerai",1992,http://www.icheckmovies.com/movies/afrique+je+te+plumerai/,66,2,0,1,26,"Africa, I Will Fleece You",http://www.imdb.com/title/tt0106225/,no,no,no,no,no
2,,"Allah Tantou",1992,http://www.icheckmovies.com/movies/allah+tantou/,51,0,0,1,28,,http://www.imdb.com/title/tt0209907/,no,no,no,no,no
3,,"Angano... Angano...",1989,http://www.icheckmovies.com/movies/angano...+angano.../,56,2,0,1,33,"Angano... Angano... Tales from Madagascar",http://www.imdb.com/title/tt0225070/,no,no,no,no,no
4,,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,7888,975,56,25,546,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2018-04-26 21:36:15",no,no,no,no
5,,"Camp de Thiaroye",1988,http://www.icheckmovies.com/movies/camp+de+thiaroye/,173,35,0,5,143,"The Camp at Thiaroye",http://www.imdb.com/title/tt0092716/,no,no,no,no,no
6,,Ceddo,1977,http://www.icheckmovies.com/movies/ceddo/,385,21,3,5,134,,http://www.imdb.com/title/tt0077309/,no,no,no,no,no
7,,Dilemma,1962,http://www.icheckmovies.com/movies/dilemma-1962-1/,58,1,0,1,22,,http://www.imdb.com/title/tt0056702/,no,no,no,no,no
8,,Emitaï,1971,http://www.icheckmovies.com/movies/emitai/,106,4,0,3,54,,http://www.imdb.com/title/tt0067048/,no,no,no,no,no
9,,"Everyone's Child",1996,http://www.icheckmovies.com/movies/everyones+child/,43,0,1,1,17,,http://www.imdb.com/title/tt0116243/,no,no,no,no,no
10,,"Fary l'anesse",1990,http://www.icheckmovies.com/movies/fary+lanesse/,46,0,2,1,21,,http://www.imdb.com/title/tt0207465/,no,no,no,no,no
11,,"Femmes aux yeux ouverts",1994,http://www.icheckmovies.com/movies/femmes+aux+yeux+ouverts/,48,2,0,1,21,"Women with Open Eyes",http://www.imdb.com/title/tt0210038/,no,no,no,no,no
12,,Finzan,1989,http://www.icheckmovies.com/movies/finzan/,28,0,0,1,20,,http://www.imdb.com/title/tt0121287/,no,no,no,no,no
