rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Tystnaden,1963,http://www.icheckmovies.com/movies/tystnaden/,2825,299,19,10,254,"The Silence",http://www.imdb.com/title/tt0057611/,"2018-11-16 13:57:22",no,no,no,no
2,0,Bröllopsbesvär,1964,http://www.icheckmovies.com/movies/brollopsbesvar/,21,0,2,1,9,"Swedish Wedding Night",http://www.imdb.com/title/tt0057902/,no,no,no,no,no
3,0,"Heja Roland!",1966,http://www.icheckmovies.com/movies/heja+rolandexclamation/,20,0,0,1,12,,http://www.imdb.com/title/tt0060497/,no,no,no,no,no
4,0,Persona,1966,http://www.icheckmovies.com/movies/persona/,13000,2054,121,25,773,,http://www.imdb.com/title/tt0060827/,"2018-04-26 21:36:48",no,no,no,no
5,0,"Hugo och Josefin",1967,http://www.icheckmovies.com/movies/hugo+och+josefin/,136,5,1,3,31,"Hugo and Josephine",http://www.imdb.com/title/tt0061793/,no,no,no,no,no
6,0,"Den vita sporten",1968,http://www.icheckmovies.com/movies/den+vita+sporten/,19,0,1,1,14,"The White Match",http://www.imdb.com/title/tt0126117/,no,no,no,no,no
7,0,"En kärlekshistoria",1970,http://www.icheckmovies.com/movies/en+karlekshistoria/,888,110,7,3,120,"A Swedish Love Story",http://www.imdb.com/title/tt0065955/,no,no,no,no,no
8,0,Misshandlingen,1969,http://www.icheckmovies.com/movies/misshandlingen/,18,0,0,1,13,"Assault and Battery",http://www.imdb.com/title/tt0064672/,no,no,no,no,no
9,0,Utvandrarna,1971,http://www.icheckmovies.com/movies/utvandrarna/,865,73,3,7,161,"The Emigrants",http://www.imdb.com/title/tt0067919/,"2018-12-02 23:16:11",no,no,no,no
10,0,Äppelkriget,1971,http://www.icheckmovies.com/movies/appelkriget/,298,17,1,2,38,"The Apple War",http://www.imdb.com/title/tt0068025/,no,no,no,no,no
11,0,"Viskningar och rop",1972,http://www.icheckmovies.com/movies/viskningar+och+rop/,4534,599,41,16,409,"Cries and Whispers",http://www.imdb.com/title/tt0069467/,"2018-11-08 00:21:14",no,no,no,no
12,0,"En handfull kärlek",1974,http://www.icheckmovies.com/movies/en+handfull+karlek/,34,0,1,2,21,"A Handful of Love",http://www.imdb.com/title/tt0070148/,no,no,no,no,no
13,0,"Det sista äventyret",1974,http://www.icheckmovies.com/movies/det+sista+aventyret/,14,1,0,1,21,"The Last Adventure",http://www.imdb.com/title/tt0072169/,no,no,no,no,no
14,0,"Släpp fångarne loss, det är vår!",1975,http://www.icheckmovies.com/movies/slapp+fangarne+loss+det+ar+varexclamation/,231,7,2,1,17,"Release the Prisoners to Spring",http://www.imdb.com/title/tt0073720/,no,no,no,no,no
15,0,"Mannen på taket",1976,http://www.icheckmovies.com/movies/mannen+pa+taket/,408,21,1,2,84,"Man on the Roof",http://www.imdb.com/title/tt0074857/,no,no,no,no,no
16,0,"Picassos äventyr",1978,http://www.icheckmovies.com/movies/picassos+aventyr/,321,31,5,2,51,"The Adventures of Picasso",http://www.imdb.com/title/tt0078084/,no,no,no,no,no
17,0,"Ett anständigt liv",1979,http://www.icheckmovies.com/movies/ett+anstandigt+liv/,200,10,1,2,51,"A Decent Life",http://www.imdb.com/title/tt0078784/,no,no,no,no,no
18,0,"Mannen som blev miljonär",1980,http://www.icheckmovies.com/movies/mannen+som+blev+miljonar/,30,0,0,1,14,"To Be a Millionaire",http://www.imdb.com/title/tt0081118/,no,no,no,no,no
19,0,"Barnens ö",1980,http://www.icheckmovies.com/movies/barnens+o/,140,4,1,2,32,"Children's Island",http://www.imdb.com/title/tt0080419/,no,no,no,no,no
20,0,"Den enfaldige mördaren",1982,http://www.icheckmovies.com/movies/den+enfaldige+mordaren/,398,35,0,3,68,"The Simple-Minded Murderer",http://www.imdb.com/title/tt0083888/,"2018-12-05 09:37:14",no,no,no,no
21,0,"Fanny och Alexander",1982,http://www.icheckmovies.com/movies/fanny+och+alexander/,8350,1145,77,22,617,"Fanny and Alexander",http://www.imdb.com/title/tt0083922/,"2018-04-26 21:42:38",no,no,no,no
22,0,Smärtgränsen,1983,http://www.icheckmovies.com/movies/smartgransen/,10,1,1,1,20,"Beyond Sorrow, Beyond Pain",http://www.imdb.com/title/tt0086327/,no,no,no,no,no
23,0,"Mitt liv som hund",1985,http://www.icheckmovies.com/movies/mitt+liv+som+hund/,2576,242,10,8,192,"My Life as a Dog",http://www.imdb.com/title/tt0089606/,"2018-11-19 21:31:56",no,no,no,no
24,0,Offret,1986,http://www.icheckmovies.com/movies/offret/,2640,393,49,10,321,Sacrifice,http://www.imdb.com/title/tt0091670/,"2018-11-18 19:00:42",no,no,no,no
25,0,"Pelle erobreren",1987,http://www.icheckmovies.com/movies/pelle+erobreren/,1502,84,13,10,156,"Pelle the Conqueror",http://www.imdb.com/title/tt0093713/,"2018-06-11 13:09:01",no,no,no,no
26,0,"Ved vejen",1988,http://www.icheckmovies.com/movies/ved+vejen/,18,1,1,1,21,Katinka,http://www.imdb.com/title/tt0096368/,no,no,no,no,no
27,0,"Tillbaka till Ararat",1988,http://www.icheckmovies.com/movies/tillbaka+till+ararat/,25,0,0,1,13,"Back to Ararat",http://www.imdb.com/title/tt0096268/,no,no,no,no,no
28,0,"Miraklet i Valby",1989,http://www.icheckmovies.com/movies/miraklet+i+valby/,53,0,1,1,17,"The Miracle in Valby",http://www.imdb.com/title/tt0097890/,no,no,no,no,no
29,0,"God Afton, Herr Wallenberg",1990,http://www.icheckmovies.com/movies/god+afton+herr+wallenberg/,144,10,0,1,33,"Good Evening, Mr. Wallenberg",http://www.imdb.com/title/tt0099673/,no,no,no,no,no
30,0,"Il capitano",1991,http://www.icheckmovies.com/movies/il+capitano/,130,3,1,2,37,,http://www.imdb.com/title/tt0101542/,no,no,no,no,no
31,0,Änglagård,1992,http://www.icheckmovies.com/movies/anglagard/,754,12,10,2,27,"House of Angels",http://www.imdb.com/title/tt0105916/,no,no,no,no,no
32,0,Kådisbellan,1993,http://www.icheckmovies.com/movies/kadisbellan/,284,1,4,1,18,"The Slingshot",http://www.imdb.com/title/tt0107349/,no,no,no,no,no
33,0,"En pizza i Jordbro",1994,http://www.icheckmovies.com/movies/en+pizza+i+jordbro/,36,0,1,1,11,,http://www.imdb.com/title/tt0110840/,no,no,no,no,no
34,0,"Lust och fägring stor",1995,http://www.icheckmovies.com/movies/lust+och+fagring+stor/,390,14,4,2,60,"All Things Fair",http://www.imdb.com/title/tt0113720/,no,no,no,no,no
35,0,Hamsun,1996,http://www.icheckmovies.com/movies/hamsun/,349,5,2,1,57,,http://www.imdb.com/title/tt0116480/,no,no,no,no,no
36,0,"Tic Tac",1997,http://www.icheckmovies.com/movies/tic+tac/,180,4,2,1,19,,http://www.imdb.com/title/tt0120329/,no,no,no,no,no
37,0,"Fucking Åmål",1998,http://www.icheckmovies.com/movies/fucking+amal/,7025,522,32,6,250,"Show Me Love",http://www.imdb.com/title/tt0150662/,"2018-10-17 22:09:48",no,no,no,no
38,0,"Tsatsiki, morsan och polisen",1999,http://www.icheckmovies.com/movies/tsatsiki+morsan+och+polisen/,812,7,11,2,24,,http://www.imdb.com/title/tt0171851/,no,no,no,no,no
39,0,"Sånger från andra våningen",2000,http://www.icheckmovies.com/movies/sanger+fran+andra+vaningen/,2825,379,42,13,257,"Songs from the Second Floor",http://www.imdb.com/title/tt0120263/,"2018-11-08 00:21:25",no,no,no,no
40,0,"Så vit som en snö",2001,http://www.icheckmovies.com/movies/sa+vit+som+en+sno/,71,0,2,2,16,"As White as in Snow",http://www.imdb.com/title/tt0200191/,no,no,no,no,no
41,0,"Lilja 4-ever",2002,http://www.icheckmovies.com/movies/lilja+4-ever/,4540,455,39,6,197,"Lilya 4-Ever",http://www.imdb.com/title/tt0300140/,no,no,no,no,no
42,0,Ondskan,2003,http://www.icheckmovies.com/movies/ondskan/,2889,244,17,2,87,Evil,http://www.imdb.com/title/tt0338309/,no,no,no,no,no
43,0,Masjävlar,2004,http://www.icheckmovies.com/movies/masjavlar/,451,17,2,1,23,Dalecarlians,http://www.imdb.com/title/tt0439695/,no,no,no,no,no
44,0,"Ninas resa",2005,http://www.icheckmovies.com/movies/ninas+resa/,61,0,0,1,21,,http://www.imdb.com/title/tt0756231/,no,no,no,no,no
45,0,Förortsungar,2006,http://www.icheckmovies.com/movies/forortsungar/,189,2,6,1,16,"Kidz in da Hood",http://www.imdb.com/title/tt0882771/,no,no,no,no,no
46,0,"Du levande",2007,http://www.icheckmovies.com/movies/du+levande/,2242,309,39,5,184,"You, the Living",http://www.imdb.com/title/tt0445336/,"2018-12-05 09:35:14",no,no,no,no
47,0,"Maria Larssons eviga ögonblick",2008,http://www.icheckmovies.com/movies/maria+larssons+eviga+ogonblick/,679,57,3,3,87,"Everlasting Moments",http://www.imdb.com/title/tt0961066/,no,no,no,no,no
48,0,"Män som hatar kvinnor",2009,http://www.icheckmovies.com/movies/man+som+hatar+kvinnor/,13352,867,95,1,206,"The Girl with the Dragon Tattoo",http://www.imdb.com/title/tt1132620/,"2018-11-08 00:30:35",no,no,no,no
49,0,Sebbe,2010,http://www.icheckmovies.com/movies/sebbe/,179,5,4,2,22,,http://www.imdb.com/title/tt1548629/,no,no,no,no,no
50,0,Apflickorna,2011,http://www.icheckmovies.com/movies/apflickorna/,317,9,14,2,49,"She Monkeys",http://www.imdb.com/title/tt1827358/,no,no,no,no,no
51,0,"Äta sova dö",2012,http://www.icheckmovies.com/movies/ata+sova+do/,228,16,3,1,46,,http://www.imdb.com/title/tt2085002/,no,no,no,no,no
52,0,Återträffen,2013,http://www.icheckmovies.com/movies/atertraffen/,368,26,5,1,49,"The Reunion",http://www.imdb.com/title/tt2402091/,no,no,no,no,no
53,0,Turist,2014,http://www.icheckmovies.com/movies/turist/,2933,283,21,2,187,"Force Majeure",http://www.imdb.com/title/tt2121382/,no,no,no,no,no
54,0,Efterskalv,2015,http://www.icheckmovies.com/movies/efterskalv/,111,3,1,1,15,"The Here After",http://www.imdb.com/title/tt4150494/,no,no,no,no,no
55,0,Jätten,2016,http://www.icheckmovies.com/movies/jatten/,94,5,1,1,6,,http://www.imdb.com/title/tt4135076/,no,no,no,no,no
56,,"The Nile Hilton Incident",2017,http://www.icheckmovies.com/movies/the+nile+hilton+incident/,184,9,0,1,18,,http://www.imdb.com/title/tt5540188/,no,no,no,no,no
