rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"L'arrivée d'un train à La Ciotat",1896,http://www.icheckmovies.com/movies/larrivee+dun+train+a+la+ciotat/,6407,109,31,11,175,"The Arrival of a Train",http://www.imdb.com/title/tt0000012/,"2018-06-07 13:31:35",no,no,no,no
2,0,"La sortie des usines Lumière",1895,http://www.icheckmovies.com/movies/la+sortie+des+usines+lumiere/,5371,76,28,9,120,"Employees Leaving the Lumière Factory",http://www.imdb.com/title/tt0000010/,"2018-11-25 14:34:46",no,no,no,no
3,0,"L'arroseur arrosé",1895,http://www.icheckmovies.com/movies/larroseur+arrose/,3462,76,16,5,96,"Tables Turned on the Gardener",http://www.imdb.com/title/tt0000014/,"2018-06-09 19:24:54",no,no,no,no
4,0,"Repas de bébé",1895,http://www.icheckmovies.com/movies/repas+de+bebe/,2485,14,27,3,52,"Baby's Dinner",http://www.imdb.com/title/tt0000029/,no,no,no,no,no
5,0,"Escamotage d'une dame au théâtre Robert Houdin",1896,http://www.icheckmovies.com/movies/escamotage+dune+dame+au+theatre+robert+houdin/,1703,17,9,1,49,"The Conjuring of a Woman at the House of Robert Houdin",http://www.imdb.com/title/tt0000075/,no,no,no,no,no
6,0,"Le voyage dans la lune",1902,http://www.icheckmovies.com/movies/le+voyage+dans+la+lune/,16913,971,38,13,353,"A Trip to the Moon",http://www.imdb.com/title/tt0000417/,"2018-06-07 13:31:23",no,no,no,no
7,0,"Le royaume des fées",1903,http://www.icheckmovies.com/movies/le+royaume+des+fees/,930,43,4,1,54,"Fairyland: A Kingdom of Fairies",http://www.imdb.com/title/tt0000465/,no,no,no,no,no
8,0,"La lanterne magique",1903,http://www.icheckmovies.com/movies/la+lanterne+magique/,1184,13,9,1,32,"The Magic Lantern",http://www.imdb.com/title/tt0223622/,no,no,no,no,no
9,0,"Le voyage à travers l'impossible",1904,http://www.icheckmovies.com/movies/le+voyage+a+travers+limpossible/,1560,71,3,4,92,"The Voyage Across the Impossible",http://www.imdb.com/title/tt0000499/,no,no,no,no,no
10,0,"Annabelle Serpentine Dance",1895,http://www.icheckmovies.com/movies/annabelle+serpentine+dance/,2086,46,13,2,46,,http://www.imdb.com/title/tt0154152/,no,no,no,no,no
11,0,"The Kiss",1896,http://www.icheckmovies.com/movies/the+kiss/,3058,35,37,4,58,"The May Irwin Kiss",http://www.imdb.com/title/tt0139738/,no,no,no,no,no
12,0,"Mr. Edison at Work in His Chemical Laboratory",1897,http://www.icheckmovies.com/movies/mr.+edison+at+work+in+his+chemical+laboratory/,1372,8,15,1,26,,http://www.imdb.com/title/tt0216924/,no,no,no,no,no
13,0,"Electrocuting an Elephant",1903,http://www.icheckmovies.com/movies/electrocuting+an+elephant/,1611,9,162,2,45,,http://www.imdb.com/title/tt0231523/,no,no,no,no,no
14,0,"The Patchwork Girl of Oz",1914,http://www.icheckmovies.com/movies/the+patchwork+girl+of+oz/,165,0,5,1,16,,http://www.imdb.com/title/tt0004457/,no,no,no,no,no
