rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Manhatta,1921,http://www.icheckmovies.com/movies/manhatta/,1188,31,9,5,64,"New York the Magnificent",http://www.imdb.com/title/tt0131468/,no,no,no,no,no
2,0,"Nanook of the North",1922,http://www.icheckmovies.com/movies/nanook+of+the+north/,4991,217,30,16,300,,http://www.imdb.com/title/tt0013427/,"2018-10-17 22:30:20",no,no,no,no
3,0,"Berlin: Die Sinfonie der Grosstadt",1927,http://www.icheckmovies.com/movies/berlin+die+sinfonie+der+grosstadt/,1447,85,10,11,184,"Berlin: Symphony of a Great City",http://www.imdb.com/title/tt0017668/,"2018-10-17 21:55:19",no,no,no,no
4,0,"Chang: A Drama of the Wilderness",1927,http://www.icheckmovies.com/movies/chang+a+drama+of+the+wilderness/,258,9,5,5,70,,http://www.imdb.com/title/tt0017743/,no,no,no,no,no
5,0,"Chelovek s kino-apparatom",1929,http://www.icheckmovies.com/movies/chelovek+s+kino-apparatom/,5777,800,46,21,505,"Man with a Movie Camera",http://www.imdb.com/title/tt0019760/,"2018-10-17 21:58:59",no,no,no,no
6,0,Turksib,1929,http://www.icheckmovies.com/movies/turksib/,187,12,0,6,90,,http://www.imdb.com/title/tt0020523/,no,no,no,no,no
7,0,Regen,1929,http://www.icheckmovies.com/movies/regen/,875,59,3,5,118,Rain,http://www.imdb.com/title/tt0020321/,no,no,no,no,no
8,0,"La croisière jaune",1933,http://www.icheckmovies.com/movies/la+croisiere+jaune/,11,0,2,1,16,"The Yellow Cruise",http://www.imdb.com/title/tt0978584/,no,no,no,no,no
9,0,"Las Hurdes",1933,http://www.icheckmovies.com/movies/las+hurdes/,1977,94,18,12,166,"Land Without Bread",http://www.imdb.com/title/tt0023037/,"2018-11-08 00:21:50",no,no,no,no
10,0,"The Song of Ceylon",1934,http://www.icheckmovies.com/movies/the+song+of+ceylon/,340,4,4,2,51,,http://www.imdb.com/title/tt0129389/,no,no,no,no,no
11,0,"Nieuwe gronden",1933,http://www.icheckmovies.com/movies/nieuwe+gronden/,248,10,0,3,53,"New Earth",http://www.imdb.com/title/tt0025561/,no,no,no,no,no
12,0,"Granton Trawler",1934,http://www.icheckmovies.com/movies/granton+trawler/,270,6,2,1,17,,http://www.imdb.com/title/tt0367813/,no,no,no,no,no
13,0,"Triumph des Willens",1935,http://www.icheckmovies.com/movies/triumph+des+willens/,3915,119,66,16,269,"Triumph of the Will",http://www.imdb.com/title/tt0025913/,"2018-04-26 21:27:15",no,no,no,yes
14,0,"Housing Problems",1935,http://www.icheckmovies.com/movies/housing+problems/,347,4,2,2,35,,http://www.imdb.com/title/tt0290660/,no,no,no,no,no
15,0,"Night Mail",1936,http://www.icheckmovies.com/movies/night+mail/,671,20,8,3,94,,http://www.imdb.com/title/tt0028030/,no,no,no,no,no
16,0,"The River",1938,http://www.icheckmovies.com/movies/the+river-1938-1/,419,9,5,4,48,,http://www.imdb.com/title/tt0029490/,no,no,no,no,no
17,0,"The Spanish Earth",1937,http://www.icheckmovies.com/movies/the+spanish+earth/,257,8,2,3,58,"This Spanish Earth",http://www.imdb.com/title/tt0029594/,no,no,no,no,no
18,0,"Olympia 1. Teil - Fest der Völker",1938,http://www.icheckmovies.com/movies/olympia+1.+teil+-+fest+der+volker/,1379,56,16,13,208,"Olympia Part One: Festival of the Nations",http://www.imdb.com/title/tt0030522/,"2018-11-08 00:21:25",no,no,no,no
19,0,"Olympia 2. Teil - Fest der Schönheit",1938,http://www.icheckmovies.com/movies/olympia+2.+teil+-+fest+der+schonheit/,1106,41,8,13,183,"Olympia Part Two: Festival of Beauty",http://www.imdb.com/title/tt0030523/,"2018-11-08 00:21:27",no,no,no,no
20,0,"The City",1939,http://www.icheckmovies.com/movies/the+city/,191,1,5,2,25,,http://www.imdb.com/title/tt0031160/,no,no,no,no,no
21,0,"Der ewige Jude",1940,http://www.icheckmovies.com/movies/der+ewige+jude/,247,5,27,2,39,"The Eternal Jew",http://www.imdb.com/title/tt0156524/,no,no,no,no,no
22,0,"Listen to Britain",1942,http://www.icheckmovies.com/movies/listen+to+britain/,1225,28,23,8,110,,http://www.imdb.com/title/tt0034978/,"2018-12-12 16:04:02",no,no,no,no
23,0,"Prelude to War",1942,http://www.icheckmovies.com/movies/prelude+to+war/,494,9,4,3,73,,http://www.imdb.com/title/tt0035209/,no,no,no,no,no
24,0,"The Nazis Strike",1943,http://www.icheckmovies.com/movies/the+nazis+strike/,366,7,1,3,50,,http://www.imdb.com/title/tt0184773/,no,no,no,no,no
25,0,"Divide and Conquer",1943,http://www.icheckmovies.com/movies/divide+and+conquer/,275,5,0,3,41,,http://www.imdb.com/title/tt0173769/,no,no,no,no,no
26,0,"The Battle of Britain",1943,http://www.icheckmovies.com/movies/the+battle+of+britain/,437,7,0,3,43,,http://www.imdb.com/title/tt0182766/,no,no,no,no,no
27,0,"The Battle of Russia",1943,http://www.icheckmovies.com/movies/the+battle+of+russia/,327,7,1,3,58,,http://www.imdb.com/title/tt0036629/,no,no,no,no,no
28,0,"The Battle of China",1944,http://www.icheckmovies.com/movies/the+battle+of+china/,262,3,0,3,43,,http://www.imdb.com/title/tt0184254/,no,no,no,no,no
29,0,"War Comes to America",1945,http://www.icheckmovies.com/movies/war+comes+to+america/,290,1,2,3,40,,http://www.imdb.com/title/tt0183997/,no,no,no,no,no
30,0,"Fires Were Started",1943,http://www.icheckmovies.com/movies/fires+were+started/,620,20,8,8,106,"I Was a Fireman",http://www.imdb.com/title/tt0035881/,no,no,no,no,no
31,0,"San Pietro",1945,http://www.icheckmovies.com/movies/san+pietro/,870,15,5,4,80,,http://www.imdb.com/title/tt0036630/,no,no,no,no,no
32,0,"Let There Be Light",1946,http://www.icheckmovies.com/movies/let+there+be+light/,394,19,0,3,72,,http://www.imdb.com/title/tt0038687/,no,no,no,no,no
33,0,"Le sang des bêtes",1949,http://www.icheckmovies.com/movies/le+sang+des+betes/,1290,88,10,11,140,"Blood of the Beasts",http://www.imdb.com/title/tt0041842/,"2018-11-18 19:00:11",no,no,no,no
34,0,Kon-Tiki,1950,http://www.icheckmovies.com/movies/kon-tiki/,720,33,2,2,80,,http://www.imdb.com/title/tt0042650/,no,no,no,no,no
35,0,"In the Street",1948,http://www.icheckmovies.com/movies/in+the+street/,416,17,2,4,55,,http://www.imdb.com/title/tt0267573/,no,no,no,no,no
36,0,"Nuit et brouillard",1956,http://www.icheckmovies.com/movies/nuit+et+brouillard/,6394,570,25,16,361,"Night and Fog",http://www.imdb.com/title/tt0048434/,"2018-04-26 21:32:28",no,no,no,no
37,0,"We Are the Lambeth Boys",1959,http://www.icheckmovies.com/movies/we+are+the+lambeth+boys/,141,5,0,2,31,,http://www.imdb.com/title/tt0052380/,no,no,no,no,no
38,0,"Harvest of Shame",1960,http://www.icheckmovies.com/movies/harvest+of+shame/,145,12,1,2,28,,http://www.imdb.com/title/tt0322505/,no,no,no,no,no
39,0,"Chronique d'un été (Paris 1960)",1961,http://www.icheckmovies.com/movies/chronique+dun+ete+paris+1960/,1024,85,9,8,177,"Chronicle of a Summer",http://www.imdb.com/title/tt0054745/,"2018-10-17 21:59:20",no,no,no,no
40,0,"Crisis: Behind a Presidential Commitment",1963,http://www.icheckmovies.com/movies/crisis+behind+a+presidential+commitment/,266,11,0,5,58,,http://www.imdb.com/title/tt0263238/,no,no,no,no,no
41,0,"Le joli mai",1963,http://www.icheckmovies.com/movies/le+joli+mai/,176,23,1,3,82,,http://www.imdb.com/title/tt0057202/,no,no,no,no,no
42,0,"Seven Up!",1964,http://www.icheckmovies.com/movies/seven+upexclamation/,2229,134,5,5,105,,http://www.imdb.com/title/tt0058578/,no,no,no,no,no
43,0,"Point of Order!",1964,http://www.icheckmovies.com/movies/point+of+orderexclamation/,175,9,3,5,56,,http://www.imdb.com/title/tt0058481/,no,no,no,no,no
44,0,"The War Game",1965,http://www.icheckmovies.com/movies/the+war+game/,2780,186,17,11,206,,http://www.imdb.com/title/tt0059894/,"2018-11-19 21:31:38",no,no,no,no
45,0,"Dead Birds",1963,http://www.icheckmovies.com/movies/dead+birds/,99,4,1,3,20,,http://www.imdb.com/title/tt0059091/,no,no,no,no,no
