rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"L'arroseur arrosé",1895,http://www.icheckmovies.com/movies/larroseur+arrose/,3462,76,16,5,96,"Tables Turned on the Gardener",http://www.imdb.com/title/tt0000014/,"2018-06-09 19:24:54",no,no,no,no
2,0,"The Great Train Robbery",1903,http://www.icheckmovies.com/movies/the+great+train+robbery/,10376,231,26,11,249,,http://www.imdb.com/title/tt0000439/,"2018-06-09 19:24:55",no,no,no,no
3,0,"Fantômas - À l'ombre de la guillotine",1913,http://www.icheckmovies.com/movies/fantomas+-+a+lombre+de+la+guillotine/,1034,39,8,8,122,"Fantômas: In the Shadow of the Guillotine",http://www.imdb.com/title/tt0002844/,"2018-12-04 15:26:00",no,no,no,no
4,0,"Tillie's Punctured Romance",1914,http://www.icheckmovies.com/movies/tillies+punctured+romance/,695,11,12,5,72,,http://www.imdb.com/title/tt0004707/,no,no,no,no,no
5,0,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8327,161,266,21,384,,http://www.imdb.com/title/tt0004972/,"2018-06-09 19:24:58",no,no,no,no
6,0,"Intolerance: Love's Struggle Throughout the Ages",1916,http://www.icheckmovies.com/movies/intolerance+loves+struggle+throughout+the+ages/,4235,263,77,23,386,,http://www.imdb.com/title/tt0006864/,"2018-10-14 16:19:08",no,no,no,no
7,0,"Thomas Graals bästa film",1917,http://www.icheckmovies.com/movies/thomas+graals+basta+film/,96,2,1,3,29,"Thomas Graal's Best Film",http://www.imdb.com/title/tt0008672/,no,no,no,no,no
8,0,"Berg-Ejvind och hans hustru",1918,http://www.icheckmovies.com/movies/berg-ejvind+och+hans+hustru/,487,33,4,7,128,"The Outlaw and His Wife",http://www.imdb.com/title/tt0008879/,"2018-12-02 23:05:22",no,no,no,no
9,0,"Broken Blossoms or The Yellow Man and the Girl",1919,http://www.icheckmovies.com/movies/broken+blossoms+or+the+yellow+man+and+the+girl/,3119,193,35,13,254,"Broken Blossoms",http://www.imdb.com/title/tt0009968/,"2018-10-17 21:57:19",no,no,no,no
10,0,J'accuse,1919,http://www.icheckmovies.com/movies/jaccuse/,439,46,5,5,141,J'accuse!,http://www.imdb.com/title/tt0010307/,"2018-04-28 23:15:36",no,no,no,no
11,0,"Male and Female",1919,http://www.icheckmovies.com/movies/male+and+female/,388,21,6,5,99,,http://www.imdb.com/title/tt0010418/,no,no,no,no,no
12,0,"Das Cabinet des Dr. Caligari",1920,http://www.icheckmovies.com/movies/das+cabinet+des+dr.+caligari/,14539,1237,68,26,698,"The Cabinet of Dr. Caligari",http://www.imdb.com/title/tt0010323/,"2018-04-26 21:19:40",no,no,no,yes
13,0,Erotikon,1920,http://www.icheckmovies.com/movies/erotikon/,214,10,10,3,61,"Bounds That Chafe",http://www.imdb.com/title/tt0011157/,no,no,no,no,no
14,0,"Way Down East",1920,http://www.icheckmovies.com/movies/way+down+east/,1208,65,11,7,177,,http://www.imdb.com/title/tt0011841/,"2018-10-17 22:45:14",no,no,no,no
15,0,"The Four Horsemen of the Apocalypse",1921,http://www.icheckmovies.com/movies/the+four+horsemen+of+the+apocalypse/,750,30,9,7,120,,http://www.imdb.com/title/tt0012190/,no,no,no,no,no
16,0,"Tol'able David",1921,http://www.icheckmovies.com/movies/tolable+david/,259,18,2,4,72,,http://www.imdb.com/title/tt0012763/,no,no,no,no,no
17,0,"Dr. Mabuse, der Spieler",1922,http://www.icheckmovies.com/movies/dr.+mabuse+der+spieler/,2136,179,16,12,278,"Dr. Mabuse: The Gambler",http://www.imdb.com/title/tt0013086/,"2018-04-26 21:20:23",no,no,no,yes
18,0,"Foolish Wives",1922,http://www.icheckmovies.com/movies/foolish+wives/,1097,47,18,10,190,,http://www.imdb.com/title/tt0013140/,"2018-11-17 19:17:58",no,no,no,no
19,0,"Nosferatu, eine Symphonie des Grauens",1922,http://www.icheckmovies.com/movies/nosferatu+eine+symphonie+des+grauens/,20687,1264,110,26,750,Nosferatu,http://www.imdb.com/title/tt0013442/,"2018-04-26 21:20:32",no,no,no,yes
20,0,"Orphans of the Storm",1921,http://www.icheckmovies.com/movies/orphans+of+the+storm/,1157,70,10,7,132,,http://www.imdb.com/title/tt0012532/,"2018-10-17 22:32:57",no,no,no,no
21,0,"Die Bergkatze",1921,http://www.icheckmovies.com/movies/die+bergkatze/,356,13,5,4,100,"The Wildcat",http://www.imdb.com/title/tt0011960/,no,no,no,no,no
22,0,"Robin Hood",1922,http://www.icheckmovies.com/movies/robin+hood/,567,13,3,3,74,,http://www.imdb.com/title/tt0013556/,no,no,no,no,no
23,0,"The Covered Wagon",1923,http://www.icheckmovies.com/movies/the+covered+wagon/,178,5,4,4,76,,http://www.imdb.com/title/tt0013951/,no,no,no,no,no
24,0,"The Hunchback of Notre Dame",1923,http://www.icheckmovies.com/movies/the+hunchback+of+notre+dame-1923-1/,1418,28,4,4,125,,http://www.imdb.com/title/tt0014142/,no,no,no,no,no
25,0,"Safety Last!",1923,http://www.icheckmovies.com/movies/safety+lastexclamation/,4694,496,22,17,309,,http://www.imdb.com/title/tt0014429/,"2018-04-28 11:47:19",no,no,no,no
26,0,"The Ten Commandments",1923,http://www.icheckmovies.com/movies/the+ten+commandments-1923/,1557,29,18,5,85,,http://www.imdb.com/title/tt0014532/,"2018-10-17 01:47:27",no,no,no,no
27,0,"A Woman of Paris: A Drama of Fate",1923,http://www.icheckmovies.com/movies/a+woman+of+paris+a+drama+of+fate/,995,21,17,5,104,,http://www.imdb.com/title/tt0014624/,no,no,no,no,no
28,0,Greed,1924,http://www.icheckmovies.com/movies/greed/,2412,242,29,20,364,,http://www.imdb.com/title/tt0015881/,"2018-05-22 07:19:31",no,no,no,no
29,0,"He Who Gets Slapped",1924,http://www.icheckmovies.com/movies/he+who+gets+slapped/,763,84,2,6,136,,http://www.imdb.com/title/tt0014972/,"2018-10-17 22:12:04",no,no,no,no
30,0,"The Iron Horse",1924,http://www.icheckmovies.com/movies/the+iron+horse/,619,38,4,8,141,,http://www.imdb.com/title/tt0015016/,"2018-12-04 15:00:17",no,no,no,no
31,0,"Der letzte Mann",1924,http://www.icheckmovies.com/movies/der+letzte+mann/,3159,349,23,16,331,"The Last Laugh",http://www.imdb.com/title/tt0015064/,"2018-10-17 22:23:44",no,no,no,no
32,0,"The Navigator",1924,http://www.icheckmovies.com/movies/the+navigator/,2783,190,13,12,177,,http://www.imdb.com/title/tt0015163/,"2018-04-28 11:45:50",no,no,no,no
33,0,"Die Nibelungen: Siegfried",1924,http://www.icheckmovies.com/movies/die+nibelungen+siegfried/,1334,152,11,11,231,,http://www.imdb.com/title/tt0015175/,"2018-06-09 19:25:13",no,no,no,no
