rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Seppuku,1962,http://www.icheckmovies.com/movies/seppuku/,4475,1120,22,13,413,Harakiri,http://www.imdb.com/title/tt0056058/,"2018-04-28 11:49:52",no,no,no,no
2,0,"Le trou",1960,http://www.icheckmovies.com/movies/le+trou/,3072,745,15,13,340,"Le Trou",http://www.imdb.com/title/tt0054407/,"2018-10-29 22:32:14",no,no,no,no
3,0,"Un homme qui dort",1974,http://www.icheckmovies.com/movies/un+homme+qui+dort/,702,177,11,2,151,"The Man Who Sleeps",http://www.imdb.com/title/tt0192718/,no,no,no,no,no
4,0,"Ningen no jôken",1961,http://www.icheckmovies.com/movies/ningen+no+joken-1961/,1207,287,8,7,243,"The Human Condition III: A Soldier's Prayer",http://www.imdb.com/title/tt0055233/,no,no,no,no,no
5,0,"Ai no mukidashi",2008,http://www.icheckmovies.com/movies/ai+no+mukidashi/,1278,301,33,3,185,"Love Exposure",http://www.imdb.com/title/tt1128075/,no,no,no,no,no
6,0,"Suna no onna",1964,http://www.icheckmovies.com/movies/suna+no+onna/,3468,795,17,18,468,"Woman in the Dunes",http://www.imdb.com/title/tt0058625/,"2018-10-30 01:08:00",no,no,no,no
7,0,"Idi i smotri",1985,http://www.icheckmovies.com/movies/idi+i+smotri/,5146,1166,51,22,527,"Come and See",http://www.imdb.com/title/tt0091251/,"2018-04-26 21:43:42",no,no,no,no
8,0,"Kimssi pyoryugi",2009,http://www.icheckmovies.com/movies/kimssi+pyoryugi/,1581,363,10,2,133,"Castaway on the Moon",http://www.imdb.com/title/tt1499666/,no,no,no,no,no
9,0,"Happy End",1967,http://www.icheckmovies.com/movies/happy+end/,333,81,3,3,126,,http://www.imdb.com/title/tt0061029/,no,no,no,no,no
10,0,"Doro no kawa",1981,http://www.icheckmovies.com/movies/doro+no+kawa/,320,78,2,5,187,"Muddy River",http://www.imdb.com/title/tt0082280/,no,no,no,no,no
11,1,"Over the Garden Wall",2014,http://www.icheckmovies.com/movies/over+the+garden+wall-2014/,852,186,3,3,48,,http://www.imdb.com/title/tt3718778/,no,no,no,no,no
12,-1,"Kocár do Vídne",1966,http://www.icheckmovies.com/movies/kocar+do+vidne/,270,66,2,4,153,"Carriage to Vienna",http://www.imdb.com/title/tt0060597/,no,no,no,no,no
13,0,"Ningen no jôken",1959,http://www.icheckmovies.com/movies/ningen+no+joken/,1503,312,13,7,288,"The Human Condition I: No Greater Love",http://www.imdb.com/title/tt0053114/,no,no,no,no,no
14,1,"Nun va Goldoon",1996,http://www.icheckmovies.com/movies/nun+va+goldoon/,729,154,6,5,188,"A Moment of Innocence",http://www.imdb.com/title/tt0117214/,no,no,no,no,no
15,-1,"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty",2000,http://www.icheckmovies.com/movies/as+i+was+moving+ahead+occasionally+i+saw+brief+glimpses+of+beauty/,294,68,9,6,158,,http://www.imdb.com/title/tt0262240/,no,no,no,no,no
16,0,Sátántangó,1994,http://www.icheckmovies.com/movies/satantango/,1724,348,50,11,351,Satantango,http://www.imdb.com/title/tt0111341/,"2018-11-08 20:51:03",no,no,no,no
