rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Kocár do Vídne",1966,http://www.icheckmovies.com/movies/kocar+do+vidne/,270,66,2,4,153,"Carriage to Vienna",http://www.imdb.com/title/tt0060597/,no,no,no,no,no
2,0,"Doro no kawa",1981,http://www.icheckmovies.com/movies/doro+no+kawa/,320,78,2,5,187,"Muddy River",http://www.imdb.com/title/tt0082280/,no,no,no,no,no
3,1,"Happy End",1967,http://www.icheckmovies.com/movies/happy+end/,333,81,3,3,126,,http://www.imdb.com/title/tt0061029/,no,no,no,no,no
4,-1,"Swiadectwo urodzenia",1961,http://www.icheckmovies.com/movies/swiadectwo+urodzenia/,163,36,0,5,128,"Birth Certificate",http://www.imdb.com/title/tt0055492/,no,no,no,no,no
5,7,Rapture,1965,http://www.icheckmovies.com/movies/rapture/,141,25,0,2,77,,http://www.imdb.com/title/tt0059633/,no,no,no,no,no
6,0,Shura,1971,http://www.icheckmovies.com/movies/shura/,241,45,1,4,149,Demons,http://www.imdb.com/title/tt0165473/,no,no,no,no,no
7,0,"Året gjennom Børfjord",1991,http://www.icheckmovies.com/movies/aret+gjennom+borfjord/,232,31,0,1,84,"A Year Along the Abandoned Road",http://www.imdb.com/title/tt0103301/,no,no,no,no,no
8,14,"Coeur fidèle",1923,http://www.icheckmovies.com/movies/coeur+fidele/,376,46,5,4,174,"The Faithful Heart",http://www.imdb.com/title/tt0013933/,no,no,no,no,no
9,-1,Przesluchanie,1982,http://www.icheckmovies.com/movies/przesluchanie/,324,43,0,5,137,Interrogation,http://www.imdb.com/title/tt0084548/,"2018-12-05 09:27:57",no,no,no,no
10,-5,"Tange Sazen yowa: Hyakuman ryô no tsubo",1935,http://www.icheckmovies.com/movies/tange+sazen+yowa+hyakuman+ryo+no+tsubo/,359,51,2,6,179,"Sazen Tange and the Pot Worth a Million Ryo",http://www.imdb.com/title/tt0027076/,no,no,no,no,no
11,25,"Baron Prásil",1962,http://www.icheckmovies.com/movies/baron+prasil/,244,35,0,1,120,"The Outrageous Baron Munchausen",http://www.imdb.com/title/tt0054665/,no,no,no,no,no
12,19,"As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty",2000,http://www.icheckmovies.com/movies/as+i+was+moving+ahead+occasionally+i+saw+brief+glimpses+of+beauty/,294,68,9,6,158,,http://www.imdb.com/title/tt0262240/,no,no,no,no,no
13,4,"Akai tenshi",1966,http://www.icheckmovies.com/movies/akai+tenshi/,336,59,3,4,142,"Red Angel",http://www.imdb.com/title/tt0139820/,no,no,no,no,no
14,9,"Az ötödik pecsét",1976,http://www.icheckmovies.com/movies/az+otodik+pecset/,239,54,1,4,126,"The Fifth Seal",http://www.imdb.com/title/tt0075467/,no,no,no,no,no
15,-1,Szerelem,1971,http://www.icheckmovies.com/movies/szerelem/,349,47,1,6,167,Love,http://www.imdb.com/title/tt0067814/,no,no,no,no,no
16,-3,"I compagni",1963,http://www.icheckmovies.com/movies/i+compagni/,364,40,1,3,145,"The Organizer",http://www.imdb.com/title/tt0056945/,no,no,no,no,no
17,-6,Pociag,1959,http://www.icheckmovies.com/movies/pociag/,405,54,0,5,150,"Night Train",http://www.imdb.com/title/tt0053176/,"2018-12-04 14:58:13",no,no,no,no
18,232,Arrebato,1979,http://www.icheckmovies.com/movies/arrebato/,348,36,10,5,153,Rapture,http://www.imdb.com/title/tt0078797/,no,no,no,no,no
19,-3,"The Grey Fox",1982,http://www.icheckmovies.com/movies/the+grey+fox/,224,19,0,3,127,,http://www.imdb.com/title/tt0085622/,no,no,no,no,no
20,4,"Unter den Brücken",1946,http://www.icheckmovies.com/movies/unter+den+brucken/,213,27,2,3,130,"Under the Bridges",http://www.imdb.com/title/tt0038206/,no,no,no,no,no
21,27,"Tsuma wa kokuhaku suru",1961,http://www.icheckmovies.com/movies/tsuma+wa+kokuhaku+suru/,163,23,2,4,119,"A Wife Confesses",http://www.imdb.com/title/tt0055551/,no,no,no,no,no
22,-12,"Lucky Star",1929,http://www.icheckmovies.com/movies/lucky+star/,355,59,0,4,116,,http://www.imdb.com/title/tt0020122/,no,no,no,no,no
23,32,Fehérlófia,1981,http://www.icheckmovies.com/movies/feherlofia/,354,58,8,3,126,"Son of the White Mare",http://www.imdb.com/title/tt0083931/,no,no,no,no,no
24,20,H-8...,1958,http://www.icheckmovies.com/movies/h-8.../,160,21,2,1,68,,http://www.imdb.com/title/tt0051693/,no,no,no,no,no
25,7,Jakten,1959,http://www.icheckmovies.com/movies/jakten/,242,29,0,2,122,"The Chasers",http://www.imdb.com/title/tt0052939/,no,no,no,no,no
26,-7,"Aranyer Din Ratri",1970,http://www.icheckmovies.com/movies/aranyer+din+ratri/,354,41,3,6,150,"Days and Nights in the Forest",http://www.imdb.com/title/tt0065417/,no,no,no,no,no
27,37,"Az én XX. századom",1989,http://www.icheckmovies.com/movies/az+en+xx.+szazadom/,217,31,1,4,129,"My 20th Century",http://www.imdb.com/title/tt0096863/,no,no,no,no,no
28,32,"Salaam Cinema",1995,http://www.icheckmovies.com/movies/salaam+cinema/,378,61,4,6,140,,http://www.imdb.com/title/tt0114329/,no,no,no,no,no
29,4,"Doa al karawan",1959,http://www.icheckmovies.com/movies/doa+al+karawan/,145,19,1,3,90,"The Curlew's Cry",http://www.imdb.com/title/tt0231477/,no,no,no,no,no
30,96,"Une si jolie petite plage",1949,http://www.icheckmovies.com/movies/une+si+jolie+petite+plage/,208,22,1,5,112,"Such a Pretty Little Beach",http://www.imdb.com/title/tt0040917/,no,no,no,no,no
