rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Pulp Fiction",1994,http://www.icheckmovies.com/movies/pulp+fiction/,118369,18966,596,35,1647,,http://www.imdb.com/title/tt0110912/,"2018-01-10 16:54:46",no,no,no,yes
2,0,"One Flew Over the Cuckoo's Nest",1975,http://www.icheckmovies.com/movies/one+flew+over+the+cuckoos+nest/,72743,7912,202,33,1084,,http://www.imdb.com/title/tt0073486/,"2018-04-26 21:39:32",no,no,no,yes
3,0,Léon,1994,http://www.icheckmovies.com/movies/leon/,68429,8247,225,20,742,"Léon: The Professional",http://www.imdb.com/title/tt0110413/,"2018-01-10 16:55:12",no,no,no,yes
4,0,"The Usual Suspects",1995,http://www.icheckmovies.com/movies/the+usual+suspects/,69897,7334,298,21,831,,http://www.imdb.com/title/tt0114814/,"2018-01-10 16:55:11",no,no,no,yes
5,0,Psycho,1960,http://www.icheckmovies.com/movies/psycho/,68008,6069,125,38,1387,,http://www.imdb.com/title/tt0054215/,"2018-01-10 16:55:24",no,no,no,no
6,0,"Apocalypse Now",1979,http://www.icheckmovies.com/movies/apocalypse+now/,60458,6186,339,36,1234,,http://www.imdb.com/title/tt0078788/,"2018-01-10 16:55:57",no,no,no,no
7,0,Memento,2000,http://www.icheckmovies.com/movies/memento/,90360,10650,419,24,1060,,http://www.imdb.com/title/tt0209144/,"2018-01-10 16:55:51",no,no,no,no
8,0,"2001: A Space Odyssey",1968,http://www.icheckmovies.com/movies/2001+a+space+odyssey/,65079,7556,828,42,1443,,http://www.imdb.com/title/tt0062622/,"2018-01-10 16:56:52",no,no,no,no
9,0,"Monty Python and the Holy Grail",1975,http://www.icheckmovies.com/movies/monty+python+and+the+holy+grail/,80484,7434,443,21,751,,http://www.imdb.com/title/tt0071853/,"2018-04-26 21:39:42",no,no,no,no
10,0,Amadeus,1984,http://www.icheckmovies.com/movies/amadeus/,45247,4016,186,21,647,,http://www.imdb.com/title/tt0086879/,"2018-04-26 21:43:22",no,no,no,no
11,0,"Reservoir Dogs",1992,http://www.icheckmovies.com/movies/reservoir+dogs/,85239,9330,332,23,1024,,http://www.imdb.com/title/tt0105236/,"2018-01-10 16:56:35",no,no,no,no
12,0,"Requiem for a Dream",2000,http://www.icheckmovies.com/movies/requiem+for+a+dream/,73764,7712,690,18,809,,http://www.imdb.com/title/tt0180093/,"2018-04-26 21:50:28",no,no,no,no
13,0,"Eternal Sunshine of the Spotless Mind",2004,http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/,93255,13133,748,25,1122,,http://www.imdb.com/title/tt0338013/,"2018-04-28 11:49:11",no,no,no,no
14,0,"A Woman Under the Influence",1974,http://www.icheckmovies.com/movies/a+woman+under+the+influence/,4951,752,34,15,449,,http://www.imdb.com/title/tt0072417/,"2018-04-28 11:42:58",no,no,no,no
15,0,"The Message",1976,http://www.icheckmovies.com/movies/the+message/,1840,115,43,8,102,"Mohammad: Messenger of God",http://www.imdb.com/title/tt0074896/,"2018-10-30 08:06:33",no,no,no,no
16,0,"Lock, Stock and Two Smoking Barrels",1998,http://www.icheckmovies.com/movies/lock+stock+and+two+smoking+barrels/,48878,4371,218,6,403,,http://www.imdb.com/title/tt0120735/,"2018-01-10 16:58:02",no,no,no,no
17,0,"The Lion in Winter",1968,http://www.icheckmovies.com/movies/the+lion+in+winter/,3330,301,30,7,222,,http://www.imdb.com/title/tt0063227/,"2018-12-02 21:50:35",no,no,no,no
18,0,Rocky,1976,http://www.icheckmovies.com/movies/rocky/,67536,2828,331,20,639,,http://www.imdb.com/title/tt0075148/,"2018-04-26 21:40:19",no,no,no,no
19,0,Fitzcarraldo,1982,http://www.icheckmovies.com/movies/fitzcarraldo/,6217,817,36,14,422,,http://www.imdb.com/title/tt0083946/,"2018-04-26 21:42:34",no,no,no,no
20,0,Akira,1988,http://www.icheckmovies.com/movies/akira/,27511,2639,222,20,523,,http://www.imdb.com/title/tt0094625/,"2018-01-31 08:56:55",no,no,no,yes
21,0,"Amores perros",2000,http://www.icheckmovies.com/movies/amores+perros/,23100,2181,138,15,458,"Love's a Bitch",http://www.imdb.com/title/tt0245712/,"2018-04-26 21:50:30",no,no,no,no
22,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,86525,9466,952,18,887,,http://www.imdb.com/title/tt0246578/,"2018-04-28 15:55:59",no,no,no,no
23,0,"Kill Bill: Vol. 1",2003,http://www.icheckmovies.com/movies/kill+bill+vol.+1/,104433,8858,760,14,882,,http://www.imdb.com/title/tt0266697/,"2018-01-10 16:58:56",no,no,no,no
24,0,"Before Sunset",2004,http://www.icheckmovies.com/movies/before+sunset/,20908,2579,140,15,513,,http://www.imdb.com/title/tt0381681/,"2018-04-28 15:54:57",no,no,no,no
25,0,"Hotel Rwanda",2004,http://www.icheckmovies.com/movies/hotel+rwanda/,43262,2185,133,9,328,,http://www.imdb.com/title/tt0395169/,"2018-04-28 15:53:05",no,no,no,no
26,0,Bin-jip,2004,http://www.icheckmovies.com/movies/bin-jip/,5019,908,39,8,228,3-Iron,http://www.imdb.com/title/tt0423866/,"2018-04-26 21:51:35",no,no,no,no
27,0,"Into the Wild",2007,http://www.icheckmovies.com/movies/into+the+wild/,59009,6305,642,8,583,,http://www.imdb.com/title/tt0758758/,"2018-01-10 16:59:09",no,no,no,no
28,0,"Ascenseur pour l'échafaud",1958,http://www.icheckmovies.com/movies/ascenseur+pour+lechafaud/,3013,437,15,9,277,"Elevator to the Gallows",http://www.imdb.com/title/tt0051378/,"2018-11-19 21:31:55",no,no,no,no
29,0,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",1975,http://www.icheckmovies.com/movies/jeanne+dielman+23+quai+du+commerce+1080+bruxelles/,1752,301,52,11,327,"Jeanne Dielman, 23 Commerce Quay, 1080 Brussels",http://www.imdb.com/title/tt0073198/,"2018-11-18 07:25:45",no,no,no,no
30,0,"Dawn of the Dead",1978,http://www.icheckmovies.com/movies/dawn+of+the+dead/,28359,1578,143,16,571,"Dawn of the Living Dead",http://www.imdb.com/title/tt0077402/,"2018-04-26 21:41:04",no,no,no,no
31,0,"This Is Spinal Tap",1984,http://www.icheckmovies.com/movies/this+is+spinal+tap/,29867,2350,157,22,524,,http://www.imdb.com/title/tt0088258/,"2018-04-26 21:43:27",no,no,no,no
32,0,Brazil,1985,http://www.icheckmovies.com/movies/brazil/,26267,3111,320,22,752,,http://www.imdb.com/title/tt0088846/,"2018-04-26 21:43:52",no,no,no,no
33,0,"Crimes and Misdemeanors",1989,http://www.icheckmovies.com/movies/crimes+and+misdemeanors/,9297,847,44,14,354,,http://www.imdb.com/title/tt0097123/,"2018-04-26 21:46:03",no,no,no,no
34,0,"Dances with Wolves",1990,http://www.icheckmovies.com/movies/dances+with+wolves/,36504,1574,282,15,508,,http://www.imdb.com/title/tt0099348/,"2018-04-26 21:46:27",no,no,no,no
35,0,"Kôkaku Kidôtai",1995,http://www.icheckmovies.com/movies/kokaku+kidotai/,16144,1362,105,13,364,"Ghost in the Shell",http://www.imdb.com/title/tt0113568/,"2018-01-31 11:46:15",no,no,no,yes
36,0,"Secrets & Lies",1996,http://www.icheckmovies.com/movies/secrets+and+lies/,4794,500,24,13,334,,http://www.imdb.com/title/tt0117589/,"2018-04-26 21:48:45",no,no,no,no
37,0,"Sling Blade",1996,http://www.icheckmovies.com/movies/sling+blade/,8241,515,49,1,205,,http://www.imdb.com/title/tt0117666/,"2018-04-28 16:01:14",no,no,no,no
38,0,"The Straight Story",1999,http://www.icheckmovies.com/movies/the+straight+story/,7665,869,43,9,299,,http://www.imdb.com/title/tt0166896/,"2018-04-28 15:57:06",no,no,no,no
39,0,"Mulholland Dr.",2001,http://www.icheckmovies.com/movies/mulholland+dr./,36656,4568,471,26,1006,"Mulholland Drive",http://www.imdb.com/title/tt0166924/,"2018-04-26 21:50:49",no,no,no,no
40,0,"Dancer in the Dark",2000,http://www.icheckmovies.com/movies/dancer+in+the+dark/,13034,1615,259,9,400,,http://www.imdb.com/title/tt0168629/,"2018-04-28 15:56:36",no,no,no,no
41,0,Vozvrashchenie,2003,http://www.icheckmovies.com/movies/vozvrashchenie/,3819,625,34,12,270,"The Return",http://www.imdb.com/title/tt0376968/,"2018-10-30 08:06:32",no,no,no,no
42,0,C.R.A.Z.Y.,2005,http://www.icheckmovies.com/movies/c.r.a.z.y./,2972,348,27,2,152,,http://www.imdb.com/title/tt0401085/,no,no,no,no,no
43,0,"The King's Speech",2010,http://www.icheckmovies.com/movies/the+kings+speech/,62686,4604,312,10,556,,http://www.imdb.com/title/tt1504320/,"2018-04-26 21:53:24",no,no,no,no
44,0,"The Raid 2: Berandal",2014,http://www.icheckmovies.com/movies/the+raid+2+berandal/,4777,448,38,4,177,,http://www.imdb.com/title/tt2265171/,"2018-04-28 15:47:51",no,no,no,no
45,0,"À bout de souffle",1960,http://www.icheckmovies.com/movies/a+bout+de+souffle/,14613,1642,126,28,718,Breathless,http://www.imdb.com/title/tt0053472/,"2018-04-26 21:33:49",no,no,no,no
46,0,"The Servant",1963,http://www.icheckmovies.com/movies/the+servant/,1841,238,16,15,254,,http://www.imdb.com/title/tt0057490/,"2018-10-17 22:37:30",no,no,no,no
47,0,"Falstaff (Chimes at Midnight)",1965,http://www.icheckmovies.com/movies/falstaff+chimes+at+midnight/,1561,141,9,13,269,"Chimes at Midnight",http://www.imdb.com/title/tt0059012/,"2018-11-08 00:21:56",no,no,no,no
48,0,"A Man for All Seasons",1966,http://www.icheckmovies.com/movies/a+man+for+all+seasons/,4387,281,42,15,257,,http://www.imdb.com/title/tt0060665/,"2018-04-28 15:58:19",no,no,no,no
49,0,"Night of the Living Dead",1968,http://www.icheckmovies.com/movies/night+of+the+living+dead/,26007,1531,93,19,668,,http://www.imdb.com/title/tt0063350/,"2018-04-26 21:37:25",no,no,no,no
50,0,Kes,1969,http://www.icheckmovies.com/movies/kes/,4011,391,27,12,300,,http://www.imdb.com/title/tt0064541/,"2018-11-16 13:55:57",no,no,no,no
