rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,3,"Tôkyô monogatari",1953,http://www.icheckmovies.com/movies/tokyo+monogatari/,7515,1086,62,26,685,"Tokyo Story",http://www.imdb.com/title/tt0046438/,"2018-04-26 21:31:29",no,no,no,no
2,-1,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,27218,3769,106,31,1040,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2018-04-26 21:32:02",no,no,no,yes
3,-1,Ukigumo,1955,http://www.icheckmovies.com/movies/ukigumo/,711,68,2,6,182,"Floating Clouds",http://www.imdb.com/title/tt0048757/,no,no,no,no,no
4,1,"Bakumatsu taiyôden",1957,http://www.icheckmovies.com/movies/bakumatsu+taiyoden/,194,12,2,4,82,"A Sun-Tribe Myth from the Bakumatsu Era",http://www.imdb.com/title/tt0050162/,"2018-11-19 21:32:20",no,no,no,no
5,3,"Jingi naki tatakai",1973,http://www.icheckmovies.com/movies/jingi+naki+tatakai/,485,33,4,2,92,"Battles Without Honor and Humanity",http://www.imdb.com/title/tt0070246/,"2018-11-19 21:33:02",no,no,no,no
6,3,"Nijûshi no hitomi",1954,http://www.icheckmovies.com/movies/nijushi+no+hitomi/,469,69,4,3,140,"Twenty-Four Eyes",http://www.imdb.com/title/tt0047281/,no,no,no,no,no
7,-1,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
8,54,"Tange Sazen yowa: Hyakuman ryô no tsubo",1935,http://www.icheckmovies.com/movies/tange+sazen+yowa+hyakuman+ryo+no+tsubo/,359,51,2,6,179,"Sazen Tange and the Pot Worth a Million Ryo",http://www.imdb.com/title/tt0027076/,no,no,no,no,no
9,6,"Taiyô wo nusunda otoko",1979,http://www.icheckmovies.com/movies/taiyo+wo+nusunda+otoko/,143,17,0,1,51,"The Man Who Stole the Sun",http://www.imdb.com/title/tt0194426/,no,no,no,no,no
10,16,"Kazoku gêmu",1983,http://www.icheckmovies.com/movies/kazoku+gemu/,167,12,1,2,59,"The Family Game",http://www.imdb.com/title/tt0087545/,no,no,no,no,no
11,,"Nora inu",1949,http://www.icheckmovies.com/movies/nora+inu/,2374,238,7,7,222,"Stray Dog",http://www.imdb.com/title/tt0041699/,"2018-10-17 22:31:40",no,no,no,no
12,49,"Taifû kurabu",1985,http://www.icheckmovies.com/movies/taifu+kurabu/,99,5,2,1,54,"Typhoon Club",http://www.imdb.com/title/tt0088222/,no,no,no,no,no
13,-2,Ikiru,1952,http://www.icheckmovies.com/movies/ikiru/,8071,1413,46,22,565,,http://www.imdb.com/title/tt0044741/,"2018-04-26 21:31:21",no,no,no,no
