rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"A zori zdes tikhie",1972,http://www.icheckmovies.com/movies/a+zori+zdes+tikhie/,560,48,6,4,85,"The Dawns Here Are Quiet",http://www.imdb.com/title/tt0068161/,no,no,no,no,no
2,0,"Aleksandr Nevskiy",1938,http://www.icheckmovies.com/movies/aleksandr+nevskiy/,2181,115,20,13,227,"Alexander Nevsky",http://www.imdb.com/title/tt0029850/,"2018-11-08 00:21:28",no,no,no,no
3,0,"Andrey Rublev",1966,http://www.icheckmovies.com/movies/andrey+rublev/,5806,861,80,28,561,"Andrei Rublev",http://www.imdb.com/title/tt0060107/,"2018-06-09 19:24:25",no,no,no,no
4,0,Assa,1988,http://www.icheckmovies.com/movies/assa/,351,28,8,2,37,,http://www.imdb.com/title/tt0094683/,no,no,no,no,no
5,0,Afonya,1975,http://www.icheckmovies.com/movies/afonya/,442,26,7,1,32,,http://www.imdb.com/title/tt0072613/,no,no,no,no,no
6,0,"Ballada o soldate",1959,http://www.icheckmovies.com/movies/ballada+o+soldate/,1754,271,11,14,237,"Ballad of a Soldier",http://www.imdb.com/title/tt0052600/,"2018-11-08 00:21:32",no,no,no,no
7,0,Barabaniada,1993,http://www.icheckmovies.com/movies/barabaniada/,32,0,2,1,10,Drumroll,http://www.imdb.com/title/tt0106354/,no,no,no,no,no
8,0,Beg,1971,http://www.icheckmovies.com/movies/beg/,141,10,3,2,42,"The Flight",http://www.imdb.com/title/tt0065457/,no,no,no,no,no
9,0,"Beloe solntse pustyni",1970,http://www.icheckmovies.com/movies/beloe+solntse+pustyni/,1041,69,9,2,78,"White Sun of the Desert",http://www.imdb.com/title/tt0066565/,no,no,no,no,no
10,0,"Belorusskiy vokzal",1971,http://www.icheckmovies.com/movies/belorusskiy+vokzal/,250,12,2,2,33,"Byelorussia Station",http://www.imdb.com/title/tt0128960/,no,no,no,no,no
11,0,"Belyy Bim Chernoe ukho",1977,http://www.icheckmovies.com/movies/belyy+bim+chernoe+ukho/,334,25,4,2,49,"White Bim Black Ear",http://www.imdb.com/title/tt0077222/,no,no,no,no,no
12,0,"Beregis avtomobilya",1966,http://www.icheckmovies.com/movies/beregis+avtomobilya/,736,54,3,2,50,"Watch Out for the Automobile",http://www.imdb.com/title/tt0060161/,no,no,no,no,no
13,0,Brat,1997,http://www.icheckmovies.com/movies/brat/,1432,137,18,2,62,Brother,http://www.imdb.com/title/tt0118767/,no,no,no,no,no
