rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Ziemia obiecana",1975,http://www.icheckmovies.com/movies/ziemia+obiecana/,282,34,0,7,149,"The Promised Land",http://www.imdb.com/title/tt0072446/,"2018-12-01 09:27:18",no,no,no,no
2,,"Rekopis znaleziony w Saragossie",1965,http://www.icheckmovies.com/movies/rekopis+znaleziony+w+saragossie/,833,139,13,7,184,"The Saragossa Manuscript",http://www.imdb.com/title/tt0059643/,"2018-12-02 14:50:24",no,no,no,no
3,,"Popiól i diament",1958,http://www.icheckmovies.com/movies/popiol+i+diament/,2288,201,16,16,307,"Ashes and Diamonds",http://www.imdb.com/title/tt0052080/,"2018-10-29 22:11:54",no,no,no,no
4,,"Nóz w wodzie",1962,http://www.icheckmovies.com/movies/noz+w+wodzie/,2911,248,20,13,262,"Knife in the Water",http://www.imdb.com/title/tt0056291/,"2018-11-08 00:21:21",no,no,no,no
5,,"Sanatorium pod klepsydra",1973,http://www.icheckmovies.com/movies/sanatorium+pod+klepsydra/,606,109,7,7,164,"The Hourglass Sanatorium",http://www.imdb.com/title/tt0070628/,"2018-12-02 23:08:33",no,no,no,no
6,,Pociag,1959,http://www.icheckmovies.com/movies/pociag/,405,54,0,5,150,"Night Train",http://www.imdb.com/title/tt0053176/,"2018-12-04 14:58:13",no,no,no,no
7,,Przypadek,1987,http://www.icheckmovies.com/movies/przypadek/,772,74,2,4,127,"Blind Chance",http://www.imdb.com/title/tt0084549/,no,no,no,no,no
8,,"Dzien swira",2002,http://www.icheckmovies.com/movies/dzien+swira/,462,58,8,2,55,"Day of the Wacko",http://www.imdb.com/title/tt0330243/,no,no,no,no,no
9,,"Matka Joanna od aniolów",1961,http://www.icheckmovies.com/movies/matka+joanna+od+aniolow/,486,58,7,6,165,"Mother Joan of the Angels",http://www.imdb.com/title/tt0055153/,"2018-12-04 14:57:49",no,no,no,no
10,,Ida,2013,http://www.icheckmovies.com/movies/ida-2013-1/,4105,365,34,5,277,,http://www.imdb.com/title/tt2718492/,"2018-12-04 14:52:38",no,no,no,no
