rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Chung Hing sam lam",1994,http://www.icheckmovies.com/movies/chung+hing+sam+lam/,8604,1381,61,16,489,"Chungking Express",http://www.imdb.com/title/tt0109424/,"2018-04-26 21:48:05",no,no,no,no
2,,"Mou gaan dou",2002,http://www.icheckmovies.com/movies/mou+gaan+dou/,9923,959,61,10,315,"Infernal Affairs",http://www.imdb.com/title/tt0338564/,"2018-04-28 15:52:04",no,no,no,no
3,,"Ying hung boon sik",1986,http://www.icheckmovies.com/movies/ying+hung+boon+sik/,1299,81,17,7,132,"A Better Tomorrow",http://www.imdb.com/title/tt0092263/,no,no,no,no,no
4,,"Faa yeung nin wa",2000,http://www.icheckmovies.com/movies/faa+yeung+nin+wa/,12528,2148,94,26,690,"In the Mood for Love",http://www.imdb.com/title/tt0118694/,"2018-01-31 08:54:55",no,no,no,no
5,,"Dip huet seung hung",1989,http://www.icheckmovies.com/movies/dip+huet+seung+hung/,4899,403,53,13,311,"The Killer",http://www.imdb.com/title/tt0097202/,"2018-06-14 00:48:28",no,no,no,no
6,,"Lat sau san taam",1992,http://www.icheckmovies.com/movies/lat+sau+san+taam/,4770,470,35,9,281,"Hard Boiled",http://www.imdb.com/title/tt0104684/,"2018-04-28 16:06:05",no,no,no,no
7,,"Ging chaat goo si",1985,http://www.icheckmovies.com/movies/ging+chaat+goo+si/,3173,142,8,7,120,"Police Story",http://www.imdb.com/title/tt0089374/,"2018-04-28 22:55:36",no,no,no,no
8,,"Sien nui yau wan",1987,http://www.icheckmovies.com/movies/sien+nui+yau+wan/,846,56,7,6,133,"A Chinese Ghost Story",http://www.imdb.com/title/tt0093978/,"2018-04-26 21:45:14",no,no,no,no
9,,"Do ma daan",1986,http://www.icheckmovies.com/movies/do+ma+daan/,457,33,6,4,96,"Peking Opera Blues",http://www.imdb.com/title/tt0090952/,no,no,no,no,no
10,,"Siu Lam juk kau",2001,http://www.icheckmovies.com/movies/siu+lam+juk+kau/,7094,395,61,4,131,"Shaolin Soccer",http://www.imdb.com/title/tt0286112/,"2018-10-17 22:38:22",no,no,no,no
11,,"Cheung foh",1999,http://www.icheckmovies.com/movies/cheung+foh/,475,50,8,4,82,"The Mission",http://www.imdb.com/title/tt0220644/,no,no,no,no,no
12,,"Ah fei zing zyun",1990,http://www.icheckmovies.com/movies/ah+fei+zing+zyun/,2434,229,18,10,174,"Days of Being Wild",http://www.imdb.com/title/tt0101258/,"2018-04-28 22:47:23",no,no,no,no
13,,"Die xue jie tou",1990,http://www.icheckmovies.com/movies/die+xue+jie+tou/,668,60,7,1,86,"Bullet in the Head",http://www.imdb.com/title/tt0099426/,"2018-11-08 00:33:13",no,no,no,no
14,,"Jui kuen II",1994,http://www.icheckmovies.com/movies/jui+kuen+ii/,4473,279,17,2,129,"The Legend of Drunken Master",http://www.imdb.com/title/tt0111512/,no,no,no,no,no
15,,"Am zin",1999,http://www.icheckmovies.com/movies/am+zin/,255,22,3,1,31,"Running Out of Time",http://www.imdb.com/title/tt0216165/,no,no,no,no,no
16,,"Tian mi mi",1996,http://www.icheckmovies.com/movies/tian+mi+mi/,320,37,1,6,129,"Comrades: Almost a Love Story",http://www.imdb.com/title/tt0117905/,no,no,no,no,no
17,,"Wong Fei Hung",1991,http://www.icheckmovies.com/movies/wong+fei+hung/,2145,82,19,8,113,"Once Upon a Time in China",http://www.imdb.com/title/tt0103285/,"2018-12-02 23:33:31",no,no,no,no
18,,"Dung che sai duk",1994,http://www.icheckmovies.com/movies/dung+che+sai+duk/,1545,113,21,6,141,"Ashes of Time",http://www.imdb.com/title/tt0109688/,"2018-12-01 10:06:18",no,no,no,no
19,,"Do lok tin si",1995,http://www.icheckmovies.com/movies/do+lok+tin+si/,2539,358,16,5,179,"Fallen Angels",http://www.imdb.com/title/tt0112913/,"2018-04-28 23:31:20",no,no,no,no
20,,"Kung fu",2004,http://www.icheckmovies.com/movies/kung+fu/,10221,797,80,9,230,"Kung Fu Hustle",http://www.imdb.com/title/tt0373074/,"2018-10-17 22:19:46",no,no,no,no
21,,"Fong juk",2006,http://www.icheckmovies.com/movies/fong+juk/,800,81,9,2,96,Exiled,http://www.imdb.com/title/tt0796212/,no,no,no,no,no
22,,"Sai yau gei: Yut gwong bou haap",1995,http://www.icheckmovies.com/movies/sai+yau+gei+yut+gwong+bou+haap/,276,23,1,3,53,"A Chinese Odyssey Part One: Pandora's Box",http://www.imdb.com/title/tt0112778/,no,no,no,no,no
