rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Aparajito,1956,http://www.icheckmovies.com/movies/aparajito/,2020,252,14,13,269,"The Unvanquished",http://www.imdb.com/title/tt0048956/,"2018-11-08 00:21:24",no,no,no,no
2,,"Apur Sansar",1959,http://www.icheckmovies.com/movies/apur+sansar/,2037,302,9,18,323,"The World of Apu",http://www.imdb.com/title/tt0052572/,"2018-11-08 00:21:11",no,no,no,no
3,,"Aranyer Din Ratri",1970,http://www.icheckmovies.com/movies/aranyer+din+ratri/,354,41,3,6,150,"Days and Nights in the Forest",http://www.imdb.com/title/tt0065417/,no,no,no,no,no
4,,Daera,1953,http://www.icheckmovies.com/movies/daera/,22,1,0,1,11,"The Division",http://www.imdb.com/title/tt0045666/,no,no,no,no,no
5,,Elippathayam,1982,http://www.icheckmovies.com/movies/elippathayam/,116,18,0,4,96,Rat-Trap,http://www.imdb.com/title/tt0082318/,no,no,no,no,no
6,,"Kaagaz Ke Phool",1959,http://www.icheckmovies.com/movies/kaagaz+ke+phool/,350,23,4,6,102,"Paper Flowers",http://www.imdb.com/title/tt0052954/,"2018-12-01 09:48:24",no,no,no,no
7,,"Kaliya Mardan",1919,http://www.icheckmovies.com/movies/kaliya+mardan/,89,0,2,2,25,,http://www.imdb.com/title/tt0253174/,no,no,no,no,no
8,,"Pather Panchali",1955,http://www.icheckmovies.com/movies/pather+panchali/,3350,518,23,21,463,"Song of the Little Road",http://www.imdb.com/title/tt0048473/,"2018-06-11 13:08:53",no,no,no,no
9,,"Sant Tukaram",1936,http://www.icheckmovies.com/movies/sant+tukaram/,78,2,4,4,38,"Saint Tukaram",http://www.imdb.com/title/tt0028217/,no,no,no,no,no
10,,Siddeshwari,1990,http://www.icheckmovies.com/movies/siddeshwari/,40,8,0,3,64,,http://www.imdb.com/title/tt0232641/,no,no,no,no,no
11,,Subarnarekha,1965,http://www.icheckmovies.com/movies/subarnarekha/,332,26,3,7,133,"The Golden Thread",http://www.imdb.com/title/tt0056537/,no,no,no,no,no
12,,Tarang,1984,http://www.icheckmovies.com/movies/tarang/,10,0,2,1,14,"The Wave",http://www.imdb.com/title/tt0088227/,no,no,no,no,no
13,,Charulata,1964,http://www.icheckmovies.com/movies/charulata/,948,135,9,8,210,"The Lonely Wife",http://www.imdb.com/title/tt0057935/,"2018-12-04 15:05:01",no,no,no,no
14,,"Figures of Thought",1990,http://www.icheckmovies.com/movies/figures+of+thought/,54,1,3,1,13,,http://www.imdb.com/title/tt0231583/,no,no,no,no,no
15,,"Amma Ariyan",1986,http://www.icheckmovies.com/movies/amma+ariyan/,42,5,0,2,30,"Report to Mother",http://www.imdb.com/title/tt0090634/,no,no,no,no,no
16,,"Before My Eyes",1989,http://www.icheckmovies.com/movies/before+my+eyes/,84,3,1,1,14,,http://www.imdb.com/title/tt0231242/,no,no,no,no,no
17,,"I Am Twenty",1967,http://www.icheckmovies.com/movies/i+am+twenty/,98,4,0,1,19,,http://www.imdb.com/title/tt1959405/,no,no,no,no,no
18,,"India: Matri Bhumi",1959,http://www.icheckmovies.com/movies/india+matri+bhumi/,251,21,2,6,109,,http://www.imdb.com/title/tt0052923/,no,no,no,no,no
19,,"An Indian Day",1968,http://www.icheckmovies.com/movies/an+indian+day/,28,2,1,1,15,,http://www.imdb.com/title/tt0233934/,no,no,no,no,no
20,,"Jukti, Takko Aar Gappo",1977,http://www.icheckmovies.com/movies/jukti+takko+aar+gappo/,124,4,5,4,71,"Reason, Debate and a Story",http://www.imdb.com/title/tt0071707/,no,no,no,no,no
21,,"Rabindranath Tagore",1961,http://www.icheckmovies.com/movies/rabindranath+tagore/,100,1,0,1,30,,http://www.imdb.com/title/tt0055351/,no,no,no,no,no
22,,"The River",1951,http://www.icheckmovies.com/movies/the+river/,1481,90,12,9,176,,http://www.imdb.com/title/tt0043972/,"2018-04-28 11:47:47",no,no,no,no
23,,"A Ship Aground",1988,http://www.icheckmovies.com/movies/a+ship+aground/,2,0,2,1,12,,http://www.imdb.com/title/tt2404155/,no,no,no,no,no
24,,Thampu,1978,http://www.icheckmovies.com/movies/thampu/,20,1,0,1,18,"The Circus Tent",http://www.imdb.com/title/tt0078381/,no,no,no,no,no
25,,"Tibesti Too",1976,http://www.icheckmovies.com/movies/tibesti+too/,2,0,2,1,14,,http://www.imdb.com/title/tt0176235/,no,no,no,no,no
26,,"A Village in Travancore",1956,http://www.icheckmovies.com/movies/a+village+in+travancore/,2,0,2,1,10,,http://www.imdb.com/title/tt0157163/,no,no,no,no,no
27,,Aakrosh,1980,http://www.icheckmovies.com/movies/aakrosh/,111,7,2,2,24,"Cry of the Wounded",http://www.imdb.com/title/tt0080322/,no,no,no,no,no
28,,Aan,1953,http://www.icheckmovies.com/movies/aan/,26,1,0,1,13,,http://www.imdb.com/title/tt0044318/,no,no,no,no,no
29,,"Achhut Kanya",1936,http://www.icheckmovies.com/movies/achhut+kanya/,32,2,1,2,23,,http://www.imdb.com/title/tt0027256/,no,no,no,no,no
30,,Agantuk,1991,http://www.icheckmovies.com/movies/agantuk/,217,25,1,6,86,"The Stranger",http://www.imdb.com/title/tt0101279/,no,no,no,no,no
31,,"Agraharathil Kazhuthai",1977,http://www.icheckmovies.com/movies/agraharathil+kazhuthai/,64,3,1,1,31,"Donkey in a Brahmin Village",http://www.imdb.com/title/tt0077131/,no,no,no,no,no
32,,Ajantrik,1958,http://www.icheckmovies.com/movies/ajantrik/,112,10,2,4,63,"Pathetic Fallacy",http://www.imdb.com/title/tt0051343/,no,no,no,no,no
33,,"Albert Pinto Ko Gussa Kyon Ata Hai",1980,http://www.icheckmovies.com/movies/albert+pinto+ko+gussa+kyon+ata+hai/,31,1,0,1,15,"What Makes Albert Pinto Angry?",http://www.imdb.com/title/tt0080343/,no,no,no,no,no
34,,"Amar Akbar Anthony",1977,http://www.icheckmovies.com/movies/amar+akbar+anthony/,722,28,9,3,44,,http://www.imdb.com/title/tt0075669/,no,no,no,no,no
35,,"Amrit Manthan",1934,http://www.icheckmovies.com/movies/amrit+manthan/,11,0,1,1,15,"The Churning of the Oceans",http://www.imdb.com/title/tt0024828/,no,no,no,no,no
36,,Anand,1971,http://www.icheckmovies.com/movies/anand/,602,71,4,2,55,,http://www.imdb.com/title/tt0066763/,no,no,no,no,no
37,,Andaz,1949,http://www.icheckmovies.com/movies/andaz/,130,3,4,3,21,"A Matter of Style",http://www.imdb.com/title/tt0041123/,no,no,no,no,no
38,,Anuradha,1960,http://www.icheckmovies.com/movies/anuradha/,26,1,1,2,12,,http://www.imdb.com/title/tt0137362/,no,no,no,no,no
39,,Aradhana,1969,http://www.icheckmovies.com/movies/aradhana/,117,8,2,1,19,,http://www.imdb.com/title/tt0065416/,no,no,no,no,no
40,,Atithi,1974,http://www.icheckmovies.com/movies/atithi/,5,0,0,1,11,Guest,http://www.imdb.com/title/tt0071168/,no,no,no,no,no
41,,Avvaiyyar,1953,http://www.icheckmovies.com/movies/avvaiyyar/,20,4,1,1,14,Avaiyar,http://www.imdb.com/title/tt0045528/,no,no,no,no,no
