rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Het teken van het beest",1980,http://www.icheckmovies.com/movies/het+teken+van+het+beest/,49,0,0,1,19,"The Mark of the Beast",http://www.imdb.com/title/tt0127925/,no,no,no,no,no
2,0,"De stilte rond Christine M.",1982,http://www.icheckmovies.com/movies/de+stilte+rond+christine+m./,309,16,7,4,84,"A Question of Silence",http://www.imdb.com/title/tt0086369/,no,no,no,no,no
3,0,"Hans: het leven voor de dood",1983,http://www.icheckmovies.com/movies/hans+het+leven+voor+de+dood/,25,2,1,1,15,,http://www.imdb.com/title/tt0085644/,no,no,no,no,no
4,0,"De illusionist",1983,http://www.icheckmovies.com/movies/de+illusionist/,186,4,15,1,25,"The Illusionist",http://www.imdb.com/title/tt0087456/,no,no,no,no,no
5,0,Flesh+Blood,1985,http://www.icheckmovies.com/movies/fleshplusblood/,1003,52,24,2,71,"The Rose and the Sword",http://www.imdb.com/title/tt0089153/,no,no,no,no,no
6,0,Abel,1986,http://www.icheckmovies.com/movies/abel/,645,52,3,3,56,Voyeur,http://www.imdb.com/title/tt0090579/,"2018-12-13 13:49:53",no,no,no,no
7,0,"Vroeger is dood",1987,http://www.icheckmovies.com/movies/vroeger+is+dood/,22,1,0,1,12,Bygones,http://www.imdb.com/title/tt0096404/,no,no,no,no,no
8,0,Spoorloos,1988,http://www.icheckmovies.com/movies/spoorloos/,5344,598,32,10,347,"The Vanishing",http://www.imdb.com/title/tt0096163/,"2018-10-17 22:39:00",no,no,no,no
9,0,"Boda secreta",1989,http://www.icheckmovies.com/movies/boda+secreta/,32,0,0,1,13,"Secret Wedding",http://www.imdb.com/title/tt0094774/,no,no,no,no,no
10,0,"De avonden",1989,http://www.icheckmovies.com/movies/de+avonden/,166,0,4,1,17,Evenings,http://www.imdb.com/title/tt0096862/,no,no,no,no,no
11,0,"Prospero's Books",1991,http://www.icheckmovies.com/movies/prosperos+books/,728,50,12,4,67,,http://www.imdb.com/title/tt0102722/,no,no,no,no,no
12,0,"Kyodai Makes the Big Time",1992,http://www.icheckmovies.com/movies/kyodai+makes+the+big+time/,20,0,5,1,10,,http://www.imdb.com/title/tt0141526/,no,no,no,no,no
13,0,"De kleine blonde dood",1993,http://www.icheckmovies.com/movies/de+kleine+blonde+dood/,820,17,2,2,25,,http://www.imdb.com/title/tt0107331/,no,no,no,no,no
14,0,"1000 Rosen",1994,http://www.icheckmovies.com/movies/1000+rosen/,23,0,0,1,17,"1,000 Roses",http://www.imdb.com/title/tt0109005/,no,no,no,no,no
15,0,Zusje,1995,http://www.icheckmovies.com/movies/zusje/,650,17,9,2,44,"Little Sister",http://www.imdb.com/title/tt0115067/,no,no,no,no,no
16,0,"Lang leve de koningin",1995,http://www.icheckmovies.com/movies/lang+leve+de+koningin/,840,18,1,1,24,"Long Live the Queen",http://www.imdb.com/title/tt0113598/,no,no,no,no,no
17,0,Karakter,1997,http://www.icheckmovies.com/movies/karakter/,1337,88,5,4,83,Character,http://www.imdb.com/title/tt0119448/,no,no,no,no,no
18,0,"Felice... Felice...",1998,http://www.icheckmovies.com/movies/felice...+felice.../,37,2,0,1,9,,http://www.imdb.com/title/tt0143248/,no,no,no,no,no
19,0,Abeltje,1998,http://www.icheckmovies.com/movies/abeltje/,1810,8,17,1,17,"The Flying Liftboy",http://www.imdb.com/title/tt0124272/,no,no,no,no,no
20,0,Lek,2000,http://www.icheckmovies.com/movies/lek/,552,16,5,2,22,"Leak 2000",http://www.imdb.com/title/tt0194104/,no,no,no,no,no
21,0,Nynke,2001,http://www.icheckmovies.com/movies/nynke/,154,2,0,2,28,"The Moving True Story of a Woman Ahead of Her Time",http://www.imdb.com/title/tt0254610/,no,no,no,no,no
22,0,Minoes,2001,http://www.icheckmovies.com/movies/minoes/,1954,27,7,2,39,"Undercover Kitty",http://www.imdb.com/title/tt0279231/,no,no,no,no,no
23,0,"De tweeling",2002,http://www.icheckmovies.com/movies/de+tweeling/,1303,38,6,3,71,"Twin Sisters",http://www.imdb.com/title/tt0322674/,no,no,no,no,no
24,0,Simon,2004,http://www.icheckmovies.com/movies/simon/,1673,126,15,2,67,,http://www.imdb.com/title/tt0393775/,no,no,no,no,no
25,0,"Paradise Now",2005,http://www.icheckmovies.com/movies/paradise+now/,2860,188,22,6,119,,http://www.imdb.com/title/tt0445620/,"2018-12-02 21:51:06",no,no,no,no
26,0,Zwartboek,2006,http://www.icheckmovies.com/movies/zwartboek/,6411,426,42,5,202,"Black Book",http://www.imdb.com/title/tt0389557/,"2018-10-17 22:46:46",no,no,no,no
27,0,"Kruistocht in spijkerbroek",2006,http://www.icheckmovies.com/movies/kruistocht+in+spijkerbroek/,1087,3,24,1,27,"Crusade in Jeans",http://www.imdb.com/title/tt0381111/,no,no,no,no,no
28,0,"Alles is liefde",2007,http://www.icheckmovies.com/movies/alles+is+liefde/,2211,40,27,2,42,"Love Is All",http://www.imdb.com/title/tt0468644/,no,no,no,no,no
29,0,"Nothing Personal",2009,http://www.icheckmovies.com/movies/nothing+personal/,438,42,10,1,33,,http://www.imdb.com/title/tt1320352/,no,no,no,no,no
30,0,Joy,2010,http://www.icheckmovies.com/movies/joy/,109,0,1,1,22,,http://www.imdb.com/title/tt1465490/,no,no,no,no,no
31,0,"Black Butterflies",2011,http://www.icheckmovies.com/movies/black+butterflies-2011/,276,8,16,1,35,,http://www.imdb.com/title/tt0906778/,no,no,no,no,no
32,0,"Het Meisje en de Dood",2012,http://www.icheckmovies.com/movies/het+meisje+en+de+dood/,78,5,3,1,15,"The Girl and Death",http://www.imdb.com/title/tt2103171/,no,no,no,no,no
33,0,Borgman,2013,http://www.icheckmovies.com/movies/borgman/,1151,99,16,1,111,,http://www.imdb.com/title/tt1954315/,no,no,no,no,no
34,0,Aanmodderfakker,2014,http://www.icheckmovies.com/movies/aanmodderfakker/,282,13,5,1,18,,http://www.imdb.com/title/tt3983266/,no,no,no,no,no
35,0,Gluckauf,2015,http://www.icheckmovies.com/movies/gluckauf/,80,6,1,1,21,"Son of Mine",http://www.imdb.com/title/tt2585160/,no,no,no,no,no
36,0,"The Paradise Suite",2015,http://www.icheckmovies.com/movies/the+paradise+suite/,77,4,0,1,10,,http://www.imdb.com/title/tt4246894/,no,no,no,no,no
37,0,Brimstone,2016,http://www.icheckmovies.com/movies/brimstone-2016/,593,46,13,1,30,,http://www.imdb.com/title/tt1895315/,"2018-11-08 01:41:24",no,no,no,no
38,,"Bankier van het Verzet",2018,http://www.icheckmovies.com/movies/bankier+van+het+verzet/,97,3,1,1,8,"The Resistance Banker",http://www.imdb.com/title/tt4610378/,no,no,no,no,no
