rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"El verdugo",1963,http://www.icheckmovies.com/movies/el+verdugo/,729,80,6,6,155,"The Executioner",http://www.imdb.com/title/tt0057643/,no,no,no,no,no
2,0,Viridiana,1961,http://www.icheckmovies.com/movies/viridiana/,4430,554,30,23,427,,http://www.imdb.com/title/tt0055601/,"2018-06-11 13:14:32",no,no,no,no
3,0,"El espíritu de la colmena",1973,http://www.icheckmovies.com/movies/el+espiritu+de+la+colmena/,3810,543,40,21,399,"The Spirit of the Beehive",http://www.imdb.com/title/tt0070040/,"2018-12-07 20:58:13",no,no,no,no
4,0,Plácido,1961,http://www.icheckmovies.com/movies/placido/,309,18,3,5,137,,http://www.imdb.com/title/tt0055310/,no,no,no,no,no
5,0,"El extraño viaje",1964,http://www.icheckmovies.com/movies/el+extrano+viaje/,202,18,1,5,120,"Strange Voyage",http://www.imdb.com/title/tt0061633/,no,no,no,no,no
6,0,"Los santos inocentes",1984,http://www.icheckmovies.com/movies/los+santos+inocentes/,240,25,1,4,106,"The Holy Innocents",http://www.imdb.com/title/tt0088040/,no,no,no,no,no
7,0,"El sur",1983,http://www.icheckmovies.com/movies/el+sur/,725,114,4,6,171,,http://www.imdb.com/title/tt0084740/,no,no,no,no,no
8,0,"Calle Mayor",1956,http://www.icheckmovies.com/movies/calle+mayor/,216,23,1,5,141,"Main Street",http://www.imdb.com/title/tt0049043/,no,no,no,no,no
9,0,"Bienvenido Mister Marshall",1953,http://www.icheckmovies.com/movies/bienvenido+mister+marshall/,478,33,4,4,121,"Welcome Mr. Marshall",http://www.imdb.com/title/tt0045554/,no,no,no,no,no
10,0,Furtivos,1975,http://www.icheckmovies.com/movies/furtivos/,68,5,1,3,58,Poachers,http://www.imdb.com/title/tt0073028/,no,no,no,no,no
11,0,"La tía Tula",1964,http://www.icheckmovies.com/movies/la+tia+tula/,44,3,0,3,35,"Aunt Tula",http://www.imdb.com/title/tt0058695/,no,no,no,no,no
12,0,"Historias de la radio",1955,http://www.icheckmovies.com/movies/historias+de+la+radio/,31,1,0,1,23,,http://www.imdb.com/title/tt0048170/,no,no,no,no,no
13,0,Surcos,1951,http://www.icheckmovies.com/movies/surcos/,52,3,0,3,53,,http://www.imdb.com/title/tt0044092/,no,no,no,no,no
14,0,Tristana,1970,http://www.icheckmovies.com/movies/tristana/,1902,101,15,11,205,,http://www.imdb.com/title/tt0066491/,"2018-11-19 21:31:39",no,no,no,no
15,0,"¿Qué he hecho yo para merecer esto?",1984,http://www.icheckmovies.com/movies/que+he+hecho+yo+para+merecer+estoquestion/,927,66,7,4,97,"What Have I Done to Deserve This?",http://www.imdb.com/title/tt0088461/,"2018-10-17 21:47:14",no,no,no,no
16,0,"Mi tío Jacinto",1956,http://www.icheckmovies.com/movies/mi+tio+jacinto/,22,3,0,2,21,"Uncle Hyacynth",http://www.imdb.com/title/tt0049499/,no,no,no,no,no
17,0,"El crack",1981,http://www.icheckmovies.com/movies/el+crack/,42,3,0,2,20,"The Crack",http://www.imdb.com/title/tt0082210/,no,no,no,no,no
18,0,"La caza",1966,http://www.icheckmovies.com/movies/la+caza/,226,20,2,3,103,"The Hunt",http://www.imdb.com/title/tt0060223/,no,no,no,no,no
19,0,"Belle Epoque",1992,http://www.icheckmovies.com/movies/belle+epoque/,987,25,10,5,87,"The Age of Beauty",http://www.imdb.com/title/tt0103791/,no,no,no,no,no
20,0,"El cochecito",1960,http://www.icheckmovies.com/movies/el+cochecito/,158,13,0,3,79,"The Little Coach",http://www.imdb.com/title/tt0053724/,no,no,no,no,no
21,0,"Canción de cuna",1994,http://www.icheckmovies.com/movies/cancion+de+cuna/,11,0,0,1,20,"Cradle Song",http://www.imdb.com/title/tt0109372/,no,no,no,no,no
22,0,"El viaje a ninguna parte",1986,http://www.icheckmovies.com/movies/el+viaje+a+ninguna+parte/,101,3,1,3,39,"Voyage to Nowhere",http://www.imdb.com/title/tt0090259/,no,no,no,no,no
23,0,Arrebato,1979,http://www.icheckmovies.com/movies/arrebato/,348,36,10,5,153,Rapture,http://www.imdb.com/title/tt0078797/,no,no,no,no,no
24,0,Calabuch,1956,http://www.icheckmovies.com/movies/calabuch/,50,2,0,1,22,,http://www.imdb.com/title/tt0049042/,no,no,no,no,no
25,0,Amantes,1991,http://www.icheckmovies.com/movies/amantes/,267,11,3,4,61,Lovers,http://www.imdb.com/title/tt0101317/,no,no,no,no,no
26,0,"La aldea maldita",1930,http://www.icheckmovies.com/movies/la+aldea+maldita/,60,0,0,2,25,"The Cursed Village",http://www.imdb.com/title/tt0019629/,no,no,no,no,no
27,0,"Mujeres al borde de un ataque de nervios",1988,http://www.icheckmovies.com/movies/mujeres+al+borde+de+un+ataque+de+nervios/,5236,472,31,14,288,"Women on the Verge of a Nervous Breakdown",http://www.imdb.com/title/tt0095675/,"2018-04-26 21:45:15",no,no,no,no
28,0,"La torre de los siete jorobados",1944,http://www.icheckmovies.com/movies/la+torre+de+los+siete+jorobados/,129,6,1,4,64,,http://www.imdb.com/title/tt0037387/,no,no,no,no,no
29,0,"Mi querida señorita",1972,http://www.icheckmovies.com/movies/mi+querida+senorita/,39,2,0,2,45,"My Dearest Senorita",http://www.imdb.com/title/tt0067425/,no,no,no,no,no
