rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"4 passi fra le nuvole",1942,http://www.icheckmovies.com/movies/4+passi+fra+le+nuvole/,125,21,2,4,96,"Four Steps in the Clouds",http://www.imdb.com/title/tt0035230/,no,no,no,no,no
2,0,Ossessione,1943,http://www.icheckmovies.com/movies/ossessione/,1474,73,13,12,205,,http://www.imdb.com/title/tt0035160/,"2018-11-08 00:21:37",no,no,no,no
3,0,"Roma città aperta",1945,http://www.icheckmovies.com/movies/roma+citta+aperta/,5372,486,37,24,467,"Rome, Open City",http://www.imdb.com/title/tt0038890/,"2018-06-11 13:08:31",no,no,no,no
4,0,Paisà,1946,http://www.icheckmovies.com/movies/paisa/,1936,133,19,14,266,Paisan,http://www.imdb.com/title/tt0038823/,"2018-10-30 01:08:23",no,no,no,no
5,0,Sciuscià,1946,http://www.icheckmovies.com/movies/sciuscia/,1345,162,11,10,197,Shoeshine,http://www.imdb.com/title/tt0038913/,"2018-11-19 21:31:50",no,no,no,no
6,0,"L'onorevole Angelina",1947,http://www.icheckmovies.com/movies/lonorevole+angelina/,70,0,0,2,23,Angelina,http://www.imdb.com/title/tt0039682/,no,no,no,no,no
7,0,"Ladri di biciclette",1948,http://www.icheckmovies.com/movies/ladri+di+biciclette/,19416,2275,111,34,851,"Bicycle Thieves",http://www.imdb.com/title/tt0040522/,"2018-04-26 21:29:56",no,no,no,no
8,0,"La terra trema",1948,http://www.icheckmovies.com/movies/la+terra+trema/,954,76,7,10,187,"The Earth Trembles",http://www.imdb.com/title/tt0040866/,"2018-11-19 21:31:50",no,no,no,no
9,0,"Riso amaro",1949,http://www.icheckmovies.com/movies/riso+amaro/,582,58,0,4,134,"Bitter Rice",http://www.imdb.com/title/tt0040737/,no,no,no,no,no
10,0,"La città dolente",1949,http://www.icheckmovies.com/movies/la+citta+dolente-1949/,24,0,0,1,19,"City of Pain",http://www.imdb.com/title/tt0040235/,no,no,no,no,no
11,0,"Cielo sulla palude",1949,http://www.icheckmovies.com/movies/cielo+sulla+palude/,24,0,0,1,12,"Heaven Over the Marshes",http://www.imdb.com/title/tt0041248/,no,no,no,no,no
12,0,Stromboli,1950,http://www.icheckmovies.com/movies/stromboli/,1202,78,10,7,138,,http://www.imdb.com/title/tt0041931/,"2018-04-28 23:22:39",no,no,no,no
13,0,Catene,1949,http://www.icheckmovies.com/movies/catene/,115,4,0,3,36,Chains,http://www.imdb.com/title/tt0041232/,no,no,no,no,no
14,0,"Il cammino della speranza",1950,http://www.icheckmovies.com/movies/il+cammino+della+speranza/,77,8,0,2,40,"The Path of Hope",http://www.imdb.com/title/tt0042301/,no,no,no,no,no
15,0,"Domenica d'agosto",1950,http://www.icheckmovies.com/movies/domenica+dagosto/,62,1,0,2,31,"Sunday in August",http://www.imdb.com/title/tt0041303/,no,no,no,no,no
16,0,"Cronaca di un amore",1950,http://www.icheckmovies.com/movies/cronaca+di+un+amore/,428,13,4,3,70,"Story of a Love Affair",http://www.imdb.com/title/tt0042355/,no,no,no,no,no
17,0,"Luci del varietà",1951,http://www.icheckmovies.com/movies/luci+del+varieta/,502,11,4,3,41,"Variety Lights",http://www.imdb.com/title/tt0042692/,no,no,no,no,no
18,0,"Prima comunione",1950,http://www.icheckmovies.com/movies/prima+comunione/,31,3,0,1,12,"Father's Dilemma",http://www.imdb.com/title/tt0042859/,no,no,no,no,no
19,0,Bellissima,1951,http://www.icheckmovies.com/movies/bellissima/,614,66,3,6,117,,http://www.imdb.com/title/tt0043332/,no,no,no,no,no
20,0,"Due soldi di speranza",1952,http://www.icheckmovies.com/movies/due+soldi+di+speranza/,167,8,3,4,82,"Two Cents Worth of Hope",http://www.imdb.com/title/tt0044572/,no,no,no,no,no
21,0,"Guardie e ladri",1951,http://www.icheckmovies.com/movies/guardie+e+ladri/,127,14,0,2,37,"Cops and Robbers",http://www.imdb.com/title/tt0043606/,no,no,no,no,no
22,0,"Miracolo a Milano",1951,http://www.icheckmovies.com/movies/miracolo+a+milano/,1028,98,6,7,155,"Miracle in Milan",http://www.imdb.com/title/tt0043809/,no,no,no,no,no
23,0,"La famiglia Passaguai",1951,http://www.icheckmovies.com/movies/la+famiglia+passaguai/,36,3,1,1,13,"The Passaguai Family",http://www.imdb.com/title/tt0043520/,no,no,no,no,no
24,0,"Umberto D.",1952,http://www.icheckmovies.com/movies/umberto+d./,4403,602,27,14,385,,http://www.imdb.com/title/tt0045274/,"2018-06-11 13:14:24",no,no,no,no
25,0,"Europa '51",1952,http://www.icheckmovies.com/movies/europa+51/,888,59,7,8,146,"Europe '51",http://www.imdb.com/title/tt0043511/,"2018-12-02 22:02:51",no,no,no,no
26,0,"Lo sceicco bianco",1952,http://www.icheckmovies.com/movies/lo+sceicco+bianco/,879,48,7,5,68,"The White Sheik",http://www.imdb.com/title/tt0044000/,no,no,no,no,no
27,0,"Totò a colori",1952,http://www.icheckmovies.com/movies/toto+a+colori/,103,6,2,3,20,"Toto in Color",http://www.imdb.com/title/tt0045247/,no,no,no,no,no
28,0,"Don Camillo",1952,http://www.icheckmovies.com/movies/don+camillo/,542,26,1,2,55,,http://www.imdb.com/title/tt0043918/,no,no,no,no,no
29,0,"Pane, amore e fantasia",1953,http://www.icheckmovies.com/movies/pane+amore+e+fantasia/,214,8,1,3,55,"Bread, Love and Dreams",http://www.imdb.com/title/tt0046159/,no,no,no,no,no
30,0,"I vitelloni",1953,http://www.icheckmovies.com/movies/i+vitelloni/,2187,216,7,8,208,"I Vitelloni",http://www.imdb.com/title/tt0046521/,"2018-04-28 23:23:47",no,no,no,no
31,0,"La spiaggia",1954,http://www.icheckmovies.com/movies/la+spiaggia/,25,0,0,1,15,Riviera,http://www.imdb.com/title/tt0046352/,no,no,no,no,no
32,0,"Napoletani a Milano",1953,http://www.icheckmovies.com/movies/napoletani+a+milano/,20,0,0,1,9,"Neapolitans in Milan",http://www.imdb.com/title/tt0046120/,no,no,no,no,no
33,0,"Febbre di vivere",1953,http://www.icheckmovies.com/movies/febbre+di+vivere/,12,0,0,1,9,"Eager to Live",http://www.imdb.com/title/tt0045759/,no,no,no,no,no
34,0,"La provinciale",1953,http://www.icheckmovies.com/movies/la+provinciale/,32,0,1,1,12,"The Wayward Wife",http://www.imdb.com/title/tt0046214/,no,no,no,no,no
35,0,"Carosello napoletano",1954,http://www.icheckmovies.com/movies/carosello+napoletano/,37,0,2,2,23,"Neapolitan Carousel",http://www.imdb.com/title/tt0046831/,no,no,no,no,no
36,0,"Il sole negli occhi",1953,http://www.icheckmovies.com/movies/il+sole+negli+occhi/,28,1,0,1,19,"Empty Eyes",http://www.imdb.com/title/tt0046341/,no,no,no,no,no
37,0,"L'oro di Napoli",1954,http://www.icheckmovies.com/movies/loro+di+napoli/,178,15,1,1,33,"The Gold of Naples",http://www.imdb.com/title/tt0047313/,no,no,no,no,no
38,0,"Un americano a Roma",1954,http://www.icheckmovies.com/movies/un+americano+a+roma/,217,10,4,2,26,"An American in Rome",http://www.imdb.com/title/tt0046705/,no,no,no,no,no
39,0,"L'arte di arrangiarsi",1955,http://www.icheckmovies.com/movies/larte+di+arrangiarsi/,45,3,0,2,19,"The Art of Getting Along",http://www.imdb.com/title/tt0047839/,no,no,no,no,no
40,0,Senso,1954,http://www.icheckmovies.com/movies/senso/,1386,79,19,12,199,Livia,http://www.imdb.com/title/tt0047469/,"2018-11-08 00:21:51",no,no,no,no
41,0,"La strada",1954,http://www.icheckmovies.com/movies/la+strada/,8763,923,69,19,482,"La Strada",http://www.imdb.com/title/tt0047528/,"2018-04-26 21:32:01",no,no,no,no
