rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Akira,1988,http://www.icheckmovies.com/movies/akira/,27511,2639,222,20,523,,http://www.imdb.com/title/tt0094625/,"2018-01-31 08:56:55",no,no,no,yes
2,,"Sen to Chihiro no kamikakushi",2001,http://www.icheckmovies.com/movies/sen+to+chihiro+no+kamikakushi/,61527,8810,264,36,1096,"Spirited Away",http://www.imdb.com/title/tt0245429/,"2018-01-10 16:55:14",no,no,no,yes
3,,"Hotaru no haka",1988,http://www.icheckmovies.com/movies/hotaru+no+haka/,22944,2994,143,18,585,"Grave of the Fireflies",http://www.imdb.com/title/tt0095327/,"2018-01-31 08:56:31",no,no,no,yes
4,,"Kôkaku Kidôtai",1995,http://www.icheckmovies.com/movies/kokaku+kidotai/,16144,1362,105,13,364,"Ghost in the Shell",http://www.imdb.com/title/tt0113568/,"2018-01-31 11:46:15",no,no,no,yes
5,,Papurika,2006,http://www.icheckmovies.com/movies/papurika/,7975,954,35,5,272,Paprika,http://www.imdb.com/title/tt0851578/,"2018-10-17 22:33:08",no,no,no,no
6,,"Kaze tachinu",2013,http://www.icheckmovies.com/movies/kaze+tachinu-2013/,5663,476,42,3,269,"The Wind Rises",http://www.imdb.com/title/tt2013293/,"2018-01-31 09:14:56",no,no,no,no
7,,"Pafekuto buru",1997,http://www.icheckmovies.com/movies/pafekuto+buru/,5253,715,36,8,264,"Perfect Blue",http://www.imdb.com/title/tt0156887/,"2018-11-19 21:31:55",no,no,no,no
8,,"Kidô keisatsu patorebâ: The Movie 2",1993,http://www.icheckmovies.com/movies/kido+keisatsu+patoreba+the+movie+2/,205,22,0,1,54,,http://www.imdb.com/title/tt0124770/,no,no,no,no,no
9,,"Tonari no Totoro",1988,http://www.icheckmovies.com/movies/tonari+no+totoro/,35036,4104,118,19,614,"My Neighbor Totoro",http://www.imdb.com/title/tt0096283/,"2018-01-10 16:57:48",no,no,no,yes
10,,"Meikyû monogatari",1987,http://www.icheckmovies.com/movies/meikyu+monogatari/,261,26,0,1,67,"Neo Tokyo",http://www.imdb.com/title/tt0185481/,no,no,no,no,no
11,,"Ôritsu uchûgun Oneamisu no tsubasa",1987,http://www.icheckmovies.com/movies/oritsu+uchugun+oneamisu+no+tsubasa/,382,33,4,1,54,"Wings of Honneamise",http://www.imdb.com/title/tt0093207/,"2018-11-08 01:22:53",no,no,no,no
12,,Mononoke-hime,1997,http://www.icheckmovies.com/movies/mononoke-hime/,39895,4689,176,17,644,"Princess Mononoke",http://www.imdb.com/title/tt0119698/,"2018-01-10 16:56:14",no,no,no,yes
13,,"Heisei tanuki gassen ponpoko",1994,http://www.icheckmovies.com/movies/heisei+tanuki+gassen+ponpoko/,2818,180,22,2,100,"The Raccoon War",http://www.imdb.com/title/tt0110008/,no,no,no,no,no
14,,"Hadashi no Gen",1983,http://www.icheckmovies.com/movies/hadashi+no+gen/,1172,113,4,2,87,"Barefoot Gen",http://www.imdb.com/title/tt0085218/,no,no,no,no,no
15,,Metoroporisu,2001,http://www.icheckmovies.com/movies/metoroporisu/,2871,165,31,2,87,Metropolis,http://www.imdb.com/title/tt0293416/,"2018-11-08 00:23:08",no,no,no,no
16,,"Chôjikû Yôsai Macross: Ai Oboeteimasuka",1984,http://www.icheckmovies.com/movies/chojiku+yosai+macross+ai+oboeteimasuka/,246,15,2,1,24,"Macross - maailman isoin",http://www.imdb.com/title/tt0087660/,no,no,no,no,no
