rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
2,0,Jigokumon,1953,http://www.icheckmovies.com/movies/jigokumon/,880,33,4,9,162,"Gate of Hell",http://www.imdb.com/title/tt0045935/,"2018-11-25 15:00:09",no,no,no,no
3,0,"Shichinin no samurai",1954,http://www.icheckmovies.com/movies/shichinin+no+samurai/,27218,3769,106,31,1040,"Seven Samurai",http://www.imdb.com/title/tt0047478/,"2018-04-26 21:32:02",no,no,no,yes
4,0,"Miyamoto Musashi",1954,http://www.icheckmovies.com/movies/miyamoto+musashi/,1291,75,6,5,100,"Samurai I: Musashi Miyamoto",http://www.imdb.com/title/tt0047444/,"2018-10-17 22:28:22",no,no,no,no
5,0,"Zoku Miyamoto Musashi: Ichijôji no kettô",1955,http://www.icheckmovies.com/movies/zoku+miyamoto+musashi+ichijoji+no+ketto/,926,57,5,3,73,"Samurai II: Duel at Ichijoji Temple",http://www.imdb.com/title/tt0048579/,"2018-10-17 22:46:41",no,no,no,no
6,0,"Miyamoto Musashi kanketsuhen: kettô Ganryûjima",1956,http://www.icheckmovies.com/movies/miyamoto+musashi+kanketsuhen+ketto+ganryujima/,995,63,4,3,83,"Samurai III: Duel at Ganryu Island",http://www.imdb.com/title/tt0049710/,no,no,no,no,no
7,0,Kumonosu-jô,1957,http://www.icheckmovies.com/movies/kumonosu-jo/,5479,633,25,15,403,"Throne of Blood",http://www.imdb.com/title/tt0050613/,"2018-04-26 21:33:09",no,no,no,no
8,0,"Kakushi-toride no san-akunin",1958,http://www.icheckmovies.com/movies/kakushi-toride+no+san-akunin/,3880,385,16,8,277,"The Hidden Fortress",http://www.imdb.com/title/tt0051808/,"2018-04-28 15:52:42",no,no,no,no
9,0,Yôjinbô,1961,http://www.icheckmovies.com/movies/yojinbo/,12574,1492,52,19,516,Yojimbo,http://www.imdb.com/title/tt0055630/,"2018-04-28 11:47:06",no,no,no,no
10,0,"Tsubaki Sanjûrô",1962,http://www.icheckmovies.com/movies/tsubaki+sanjuro/,4185,498,10,8,236,Sanjuro,http://www.imdb.com/title/tt0056443/,"2018-06-11 13:10:38",no,no,no,no
11,0,Seppuku,1962,http://www.icheckmovies.com/movies/seppuku/,4475,1120,22,13,413,Harakiri,http://www.imdb.com/title/tt0056058/,"2018-04-28 11:49:52",no,no,no,no
12,0,"Zatôichi monogatari",1962,http://www.icheckmovies.com/movies/zatoichi+monogatari/,609,44,1,2,64,"The Tale of Zatoichi",http://www.imdb.com/title/tt0056714/,"2018-11-08 00:28:42",no,no,no,no
13,0,"Zoku Zatôichi monogatari",1962,http://www.icheckmovies.com/movies/zoku+zatoichi+monogatari/,368,12,4,2,42,"The Return of Masseur Ichi",http://www.imdb.com/title/tt0200309/,"2018-11-08 00:28:47",no,no,no,no
14,0,Kiru,1962,http://www.icheckmovies.com/movies/kiru-1962/,110,8,1,2,34,,http://www.imdb.com/title/tt0056144/,no,no,no,no,no
15,0,Chûshingura,1962,http://www.icheckmovies.com/movies/chushingura/,204,19,3,2,71,"47 Samurai",http://www.imdb.com/title/tt0055850/,no,no,no,no,no
16,0,"Shin Zatôichi monogatari",1963,http://www.icheckmovies.com/movies/shin+zatoichi+monogatari/,319,14,2,2,41,"New Tale of Zatoichi",http://www.imdb.com/title/tt0057503/,"2018-11-08 00:27:29",no,no,no,no
17,0,"Nemuri Kyoshiro 1: Sappocho",1963,http://www.icheckmovies.com/movies/nemuri+kyoshiro+1+sappocho/,45,0,0,1,14,"Enter Kyoshiro Nemuri the Swordman",http://www.imdb.com/title/tt0148940/,no,no,no,no,no
18,0,"Zatoichi sekisho yaburi",1964,http://www.icheckmovies.com/movies/zatoichi+sekisho+yaburi/,223,5,1,2,36,"Adventures of Zatoichi",http://www.imdb.com/title/tt0164984/,"2018-11-08 00:28:43",no,no,no,no
19,0,Kaidan,1964,http://www.icheckmovies.com/movies/kaidan/,2671,298,26,12,310,Kwaidan,http://www.imdb.com/title/tt0058279/,"2018-11-08 00:21:32",no,no,no,no
20,0,"Sanbiki no samurai",1964,http://www.icheckmovies.com/movies/sanbiki+no+samurai/,519,35,0,2,77,"Three Outlaw Samurai",http://www.imdb.com/title/tt0058652/,no,no,no,no,no
21,0,"Nemuri Kyoshiro 4: Joyoken",1964,http://www.icheckmovies.com/movies/nemuri+kyoshiro+4+joyoken/,33,2,1,1,12,"Kyoshiro Nemuri at Bay",http://www.imdb.com/title/tt0123188/,no,no,no,no,no
22,0,Samurai,1965,http://www.icheckmovies.com/movies/samurai/,173,16,1,1,65,,http://www.imdb.com/title/tt0059673/,no,no,no,no,no
