rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Antos pierwszy raz w Warszawie",1908,http://www.icheckmovies.com/movies/antos+pierwszy+raz+w+warszawie/,8,0,3,1,13,,http://www.imdb.com/title/tt1029260/,no,no,no,no,no
2,0,"Pruska kultura",1908,http://www.icheckmovies.com/movies/pruska+kultura/,245,0,4,1,11,"Prussian Culture",http://www.imdb.com/title/tt1059291/,no,no,no,no,no
3,0,"Niewolnica zmyslów",1914,http://www.icheckmovies.com/movies/niewolnica+zmyslow/,1,0,2,1,8,"Slave of Passion, Slave of Vice",http://www.imdb.com/title/tt0209268/,no,no,no,no,no
4,0,"Legion ulicy",1932,http://www.icheckmovies.com/movies/legion+ulicy/,1,0,2,1,5,Ulica,http://www.imdb.com/title/tt0023127/,no,no,no,no,no
5,0,"Mlody las",1934,http://www.icheckmovies.com/movies/mlody+las/,15,0,0,1,4,,http://www.imdb.com/title/tt0280954/,no,no,no,no,no
6,0,Jadzia,1936,http://www.icheckmovies.com/movies/jadzia/,12,0,0,1,6,,http://www.imdb.com/title/tt0027813/,no,no,no,no,no
7,0,"Der Dibuk",1937,http://www.icheckmovies.com/movies/der+dibuk/,78,6,1,1,47,"The Dybbuk",http://www.imdb.com/title/tt0030092/,no,no,no,no,no
8,0,"Dziewczeta z Nowolipek",1937,http://www.icheckmovies.com/movies/dziewczeta+z+nowolipek/,11,0,0,1,4,"Girls of Nowolipek",http://www.imdb.com/title/tt0285537/,no,no,no,no,no
9,0,"Pawel i Gawel",1938,http://www.icheckmovies.com/movies/pawel+i+gawel/,16,1,0,1,7,,http://www.imdb.com/title/tt0151923/,no,no,no,no,no
10,0,Strachy,1938,http://www.icheckmovies.com/movies/strachy/,17,0,0,1,6,,http://www.imdb.com/title/tt0286163/,no,no,no,no,no
11,0,"Zakazane piosenki",1947,http://www.icheckmovies.com/movies/zakazane+piosenki/,46,3,0,2,11,"Forbidden Songs",http://www.imdb.com/title/tt0040012/,no,no,no,no,no
12,0,"Ostatni etap",1948,http://www.icheckmovies.com/movies/ostatni+etap/,40,3,0,3,32,"The Last Stage",http://www.imdb.com/title/tt0040674/,no,no,no,no,no
13,0,Skarb,1949,http://www.icheckmovies.com/movies/skarb/,17,1,0,1,5,,http://www.imdb.com/title/tt0041880/,no,no,no,no,no
14,0,"Godziny nadziei",1955,http://www.icheckmovies.com/movies/godziny+nadziei/,8,0,1,1,5,"The Hours of Hope",http://www.imdb.com/title/tt0048126/,no,no,no,no,no
15,0,"Czlowiek na torze",1957,http://www.icheckmovies.com/movies/czlowiek+na+torze/,84,9,0,2,34,,http://www.imdb.com/title/tt0050282/,no,no,no,no,no
16,0,Kanal,1957,http://www.icheckmovies.com/movies/kanal/,1121,151,5,10,205,Canal,http://www.imdb.com/title/tt0050585/,"2018-11-18 19:00:30",no,no,no,no
17,0,"Zimowy zmierzch",1957,http://www.icheckmovies.com/movies/zimowy+zmierzch/,26,1,1,2,18,"Winter Twilight",http://www.imdb.com/title/tt0051224/,no,no,no,no,no
18,0,Eroica,1958,http://www.icheckmovies.com/movies/eroica/,185,10,3,4,57,Heroism,http://www.imdb.com/title/tt0050359/,no,no,no,no,no
19,0,"Ewa chce spac",1958,http://www.icheckmovies.com/movies/ewa+chce+spac/,51,5,0,1,21,"Eva Wants to Sleep",http://www.imdb.com/title/tt0051598/,no,no,no,no,no
20,0,"Zagubione uczucia",1957,http://www.icheckmovies.com/movies/zagubione+uczucia/,7,0,0,1,6,"Lost Affections",http://www.imdb.com/title/tt0051218/,no,no,no,no,no
21,0,"Popiól i diament",1958,http://www.icheckmovies.com/movies/popiol+i+diament/,2288,201,16,16,307,"Ashes and Diamonds",http://www.imdb.com/title/tt0052080/,"2018-10-29 22:11:54",no,no,no,no
22,0,Pozegnania,1958,http://www.icheckmovies.com/movies/pozegnania/,45,5,0,2,23,"Lydia Ate the Apple",http://www.imdb.com/title/tt0052083/,no,no,no,no,no
23,0,"Baza ludzi umarlych",1959,http://www.icheckmovies.com/movies/baza+ludzi+umarlych/,42,2,1,2,18,"The Depot of the Dead",http://www.imdb.com/title/tt0052608/,no,no,no,no,no
24,0,"Krzyz Walecznych",1959,http://www.icheckmovies.com/movies/krzyz+walecznych/,11,0,0,1,14,"Cross of Valor",http://www.imdb.com/title/tt0052980/,no,no,no,no,no
25,0,"Male dramaty",1960,http://www.icheckmovies.com/movies/male+dramaty/,7,1,0,1,9,"Little Dramas",http://www.imdb.com/title/tt0054055/,no,no,no,no,no
26,0,"Ostatni dzien lata",1958,http://www.icheckmovies.com/movies/ostatni+dzien+lata/,103,6,2,2,32,"The Last Day of Summer",http://www.imdb.com/title/tt0052037/,no,no,no,no,no
27,0,"Do widzenia, do jutra...",1960,http://www.icheckmovies.com/movies/do+widzenia+do+jutra.../,96,6,1,2,41,"Good Bye, Till Tomorrow",http://www.imdb.com/title/tt0053774/,no,no,no,no,no
