rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Os Verdes Anos",1963,http://www.icheckmovies.com/movies/os+verdes+anos/,138,25,1,3,71,"The Green Years",http://www.imdb.com/title/tt0057642/,no,no,no,no,no
2,0,Belarmino,1964,http://www.icheckmovies.com/movies/belarmino/,84,12,1,1,23,,http://www.imdb.com/title/tt0057880/,no,no,no,no,no
3,0,"Recordações da Casa Amarela",1989,http://www.icheckmovies.com/movies/recordacoes+da+casa+amarela/,240,24,4,3,60,"Recollections of the Yellow House",http://www.imdb.com/title/tt0098175/,no,no,no,no,no
4,0,"Aniki Bóbó",1942,http://www.icheckmovies.com/movies/aniki+bobo/,398,38,0,4,97,Aniki-Bóbó,http://www.imdb.com/title/tt0034461/,no,no,no,no,no
5,0,"O Sangue",1989,http://www.icheckmovies.com/movies/o+sangue/,206,23,3,2,81,Blood,http://www.imdb.com/title/tt0098252/,no,no,no,no,no
6,0,"Brandos Costumes",1975,http://www.icheckmovies.com/movies/brandos+costumes/,24,2,0,1,11,"Gentle Costume",http://www.imdb.com/title/tt0072731/,no,no,no,no,no
7,0,"Conversa Acabada",1981,http://www.icheckmovies.com/movies/conversa+acabada/,25,0,0,1,8,,http://www.imdb.com/title/tt0080563/,no,no,no,no,no
8,0,"Douro, Faina Fluvial",1931,http://www.icheckmovies.com/movies/douro+faina+fluvial/,319,12,3,2,80,"Labor on the Douro River",http://www.imdb.com/title/tt0021810/,no,no,no,no,no
9,0,"Os Mutantes",1998,http://www.icheckmovies.com/movies/os+mutantes/,65,8,0,1,30,"The Mutants",http://www.imdb.com/title/tt0120763/,no,no,no,no,no
10,0,"Uma Abelha na Chuva",1972,http://www.icheckmovies.com/movies/uma+abelha+na+chuva/,91,8,2,2,52,"A Bee in the Rain",http://www.imdb.com/title/tt0066739/,no,no,no,no,no
11,0,"A Caça",1964,http://www.icheckmovies.com/movies/a+caca/,137,5,2,2,29,"The Hunt",http://www.imdb.com/title/tt0057928/,no,no,no,no,no
12,0,"Filme do Desassossego",2010,http://www.icheckmovies.com/movies/filme+do+desassossego/,70,10,2,1,26,Disquiet,http://www.imdb.com/title/tt1499678/,no,no,no,no,no
13,0,"Manhã Submersa",1980,http://www.icheckmovies.com/movies/manha+submersa/,18,2,0,1,12,"Morning Undersea",http://www.imdb.com/title/tt0081113/,no,no,no,no,no
14,0,"No Quarto da Vanda",2000,http://www.icheckmovies.com/movies/no+quarto+da+vanda/,423,33,11,6,127,"In Vanda's Room",http://www.imdb.com/title/tt0139500/,"2018-11-25 20:31:00",no,no,no,no
15,0,"O Pai Tirano",1941,http://www.icheckmovies.com/movies/o+pai+tirano/,103,9,0,2,22,"The Tyrannical Father",http://www.imdb.com/title/tt0033994/,no,no,no,no,no
16,0,"O Processo do Rei",1990,http://www.icheckmovies.com/movies/o+processo+do+rei/,9,0,0,1,11,"The King's Trial",http://www.imdb.com/title/tt0100420/,no,no,no,no,no
17,0,"Sem Sombra de Pecado",1983,http://www.icheckmovies.com/movies/sem+sombra+de+pecado/,10,0,0,1,13,"No Trace of Sin",http://www.imdb.com/title/tt0084657/,no,no,no,no,no
18,0,"Vale Abraão",1993,http://www.icheckmovies.com/movies/vale+abraao/,287,19,6,4,135,"Abraham's Valley",http://www.imdb.com/title/tt0108471/,no,no,no,no,no
19,0,"A Canção de Lisboa",1933,http://www.icheckmovies.com/movies/a+cancao+de+lisboa/,222,16,0,2,23,"A Song of Lisbon",http://www.imdb.com/title/tt0023871/,no,no,no,no,no
20,0,"A Comédia de Deus",1995,http://www.icheckmovies.com/movies/a+comedia+de+deus/,179,26,2,3,91,"God's Comedy",http://www.imdb.com/title/tt0112710/,no,no,no,no,no
