rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Rio Bravo",1959,http://www.icheckmovies.com/movies/rio+bravo/,8485,774,40,18,476,,http://www.imdb.com/title/tt0053221/,"2018-04-26 21:33:57",no,no,no,no
2,,"Taxi Driver",1976,http://www.icheckmovies.com/movies/taxi+driver/,66370,6938,287,32,1276,,http://www.imdb.com/title/tt0075314/,"2018-01-10 16:56:48",no,no,no,no
3,,"Blow Out",1981,http://www.icheckmovies.com/movies/blow+out/,5431,474,29,4,253,,http://www.imdb.com/title/tt0082085/,"2018-06-14 00:47:55",no,no,no,no
4,,"One-Eyed Jacks",1961,http://www.icheckmovies.com/movies/one-eyed+jacks/,1229,40,14,9,158,,http://www.imdb.com/title/tt0055257/,"2018-12-04 14:52:56",no,no,no,no
5,,Breathless,1983,http://www.icheckmovies.com/movies/breathless/,1127,50,30,2,61,,http://www.imdb.com/title/tt0085276/,no,no,no,no,no
6,,"His Girl Friday",1940,http://www.icheckmovies.com/movies/his+girl+friday/,10774,1076,69,19,547,,http://www.imdb.com/title/tt0032599/,"2018-06-11 13:03:51",no,no,no,no
7,,"Rolling Thunder",1977,http://www.icheckmovies.com/movies/rolling+thunder/,1004,63,7,3,93,,http://www.imdb.com/title/tt0076637/,"2018-10-17 22:36:16",no,no,no,no
8,,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,11090,1262,47,20,519,,http://www.imdb.com/title/tt0069762/,"2018-04-26 21:38:45",no,no,no,no
9,,"Casualties of War",1989,http://www.icheckmovies.com/movies/casualties+of+war/,2059,92,20,2,81,,http://www.imdb.com/title/tt0097027/,"2018-11-08 00:24:10",no,no,no,no
10,,"Used Cars",1980,http://www.icheckmovies.com/movies/used+cars/,970,40,19,1,63,,http://www.imdb.com/title/tt0081698/,"2018-11-08 01:18:47",no,no,no,no
11,,"It's a Mad Mad Mad Mad World",1963,http://www.icheckmovies.com/movies/its+a+mad+mad+mad+mad+world/,5360,294,60,5,200,,http://www.imdb.com/title/tt0057193/,"2018-10-17 01:44:10",no,no,no,no
12,,"The Life and Times of Judge Roy Bean",1972,http://www.icheckmovies.com/movies/the+life+and+times+of+judge+roy+bean/,680,31,8,2,90,,http://www.imdb.com/title/tt0068853/,"2018-11-08 00:28:08",no,no,no,no
13,,"Where Eagles Dare",1968,http://www.icheckmovies.com/movies/where+eagles+dare/,3405,222,13,5,156,,http://www.imdb.com/title/tt0065207/,"2018-01-31 11:41:52",no,no,no,yes
