rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Letyat zhuravli",1957,http://www.icheckmovies.com/movies/letyat+zhuravli/,2934,522,17,16,344,"The Cranes Are Flying",http://www.imdb.com/title/tt0050634/,"2018-10-30 01:08:11",no,no,no,no
2,0,Chapaev,1934,http://www.icheckmovies.com/movies/chapaev/,277,13,1,2,61,Chapayev,http://www.imdb.com/title/tt0024966/,no,no,no,no,no
3,0,"Ivan Groznyy",1945,http://www.icheckmovies.com/movies/ivan+groznyy/,2343,182,27,18,282,"Ivan the Terrible, Part I",http://www.imdb.com/title/tt0037824/,"2018-10-29 22:12:20",no,no,no,no
4,0,Okraina,1933,http://www.icheckmovies.com/movies/okraina/,328,12,6,4,96,"The Patriots",http://www.imdb.com/title/tt0024402/,no,no,no,no,no
5,0,"Bronenosets Potemkin",1925,http://www.icheckmovies.com/movies/bronenosets+potemkin/,12525,810,78,26,641,"Battleship Potemkin",http://www.imdb.com/title/tt0015648/,"2018-04-26 21:25:25",no,no,no,yes
6,0,"Tretya meshchanskaya",1927,http://www.icheckmovies.com/movies/tretya+meshchanskaya/,359,31,0,6,139,"Bed and Sofa",http://www.imdb.com/title/tt0018505/,"2018-10-17 22:42:34",no,no,no,no
7,0,Schaste,1935,http://www.icheckmovies.com/movies/schaste/,330,27,3,4,132,Happiness,http://www.imdb.com/title/tt0017961/,no,no,no,no,no
8,0,"Vesna na Zarechnoy ulitse",1956,http://www.icheckmovies.com/movies/vesna+na+zarechnoy+ulitse/,334,17,2,3,34,"Spring on Zarechnaya Street",http://www.imdb.com/title/tt0049917/,no,no,no,no,no
9,0,"Po zakonu",1926,http://www.icheckmovies.com/movies/po+zakonu/,439,52,1,8,151,"By the Law",http://www.imdb.com/title/tt0017271/,no,no,no,no,no
10,0,Mashenka,1942,http://www.icheckmovies.com/movies/mashenka/,85,1,0,1,38,,http://www.imdb.com/title/tt0035044/,no,no,no,no,no
11,0,"Strogiy yunosha",1935,http://www.icheckmovies.com/movies/strogiy+yunosha/,74,1,1,1,20,"A Severe Young Man",http://www.imdb.com/title/tt0025841/,no,no,no,no,no
12,0,Shinel,1926,http://www.icheckmovies.com/movies/shinel-1926/,126,2,3,2,27,,http://www.imdb.com/title/tt0017378/,no,no,no,no,no
13,0,Stachka,1925,http://www.icheckmovies.com/movies/stachka/,2171,159,21,13,241,Strike,http://www.imdb.com/title/tt0015361/,"2018-06-09 19:25:24",no,no,no,no
14,0,Mechta,1943,http://www.icheckmovies.com/movies/mechta/,49,3,0,1,22,Dream,http://www.imdb.com/title/tt0033889/,no,no,no,no,no
15,0,"Otets Sergiy",1918,http://www.icheckmovies.com/movies/otets+sergiy/,137,2,2,3,28,"Father Sergius",http://www.imdb.com/title/tt0008395/,no,no,no,no,no
16,0,"Dom na Trubnoy",1928,http://www.icheckmovies.com/movies/dom+na+trubnoy/,194,13,1,3,79,Parasha,http://www.imdb.com/title/tt0018841/,no,no,no,no,no
17,0,"Sorok pervyy",1956,http://www.icheckmovies.com/movies/sorok+pervyy/,281,31,3,4,115,"The Forty-First",http://www.imdb.com/title/tt0049783/,no,no,no,no,no
18,0,"Potomok Chingis-Khana",1928,http://www.icheckmovies.com/movies/potomok+chingis-khana/,733,38,13,8,152,"Storm Over Asia",http://www.imdb.com/title/tt0019286/,no,no,no,no,no
19,0,Zolushka,1947,http://www.icheckmovies.com/movies/zolushka/,369,14,2,1,36,Cinderella,http://www.imdb.com/title/tt0168269/,no,no,no,no,no
20,0,"Putyovka v zhizn",1931,http://www.icheckmovies.com/movies/putyovka+v+zhizn/,101,3,1,1,40,,http://www.imdb.com/title/tt0022289/,no,no,no,no,no
21,0,"Vesyolye rebyata",1934,http://www.icheckmovies.com/movies/vesyolye+rebyata/,397,12,7,4,41,"Moscow Laughs",http://www.imdb.com/title/tt0025946/,no,no,no,no,no
22,0,"Oblomok imperii",1929,http://www.icheckmovies.com/movies/oblomok+imperii/,86,5,1,2,34,"Fragment of an Empire",http://www.imdb.com/title/tt0020232/,no,no,no,no,no
23,0,"Karnavalnaya noch",1956,http://www.icheckmovies.com/movies/karnavalnaya+noch/,567,17,1,2,34,"Carnival in Moscow",http://www.imdb.com/title/tt0049397/,no,no,no,no,no
