rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Actress",1953,http://www.icheckmovies.com/movies/the+actress/,100,4,2,0,31,,http://www.imdb.com/title/tt0045471/,no,no,no,no,no
2,0,"Adieu Philippine",1962,http://www.icheckmovies.com/movies/adieu+philippine/,177,8,2,3,63,,http://www.imdb.com/title/tt0143088/,no,no,no,no,no
3,0,"The Adventures of Hajji Baba",1954,http://www.icheckmovies.com/movies/the+adventures+of+hajji+baba/,77,2,3,1,14,,http://www.imdb.com/title/tt0046683/,no,no,no,no,no
4,0,"Avanti popolo",1986,http://www.icheckmovies.com/movies/avanti+popolo/,28,1,0,1,30,,http://www.imdb.com/title/tt0090677/,no,no,no,no,no
5,0,"Bari Zôgon",1996,http://www.icheckmovies.com/movies/bari+zogon/,0,0,0,0,2,,http://www.imdb.com/title/tt0204875/,no,no,no,no,no
6,0,"Baksa Badal",1970,http://www.icheckmovies.com/movies/baksa+badal/,3,0,0,0,2,,http://www.imdb.com/title/tt0457554/,no,no,no,no,no
7,0,"Blow Out",1981,http://www.icheckmovies.com/movies/blow+out/,5433,474,29,4,254,,http://www.imdb.com/title/tt0082085/,"2018-06-14 00:47:55",no,no,no,no
8,0,"Le pont des Arts",2004,http://www.icheckmovies.com/movies/le+pont+des+arts/,84,16,1,1,46,,http://www.imdb.com/title/tt0410466/,no,no,no,no,no
9,0,Mandala,1981,http://www.icheckmovies.com/movies/mandala-1981/,94,7,0,4,71,,http://www.imdb.com/title/tt0082704/,no,no,no,no,no
10,0,Queimada,1969,http://www.icheckmovies.com/movies/queimada/,213,20,0,0,62,Burn!,http://www.imdb.com/title/tt0064866/,no,no,no,no,no
11,0,Chaos,2001,http://www.icheckmovies.com/movies/chaos-2001-2/,77,3,3,0,26,,http://www.imdb.com/title/tt0265116/,no,no,no,no,no
12,0,"Kuruizaki sanda rodo",1980,http://www.icheckmovies.com/movies/kuruizaki+sanda+rodo/,83,1,2,2,33,"Crazy Thunder Road",http://www.imdb.com/title/tt0081019/,no,no,no,no,no
13,0,"Deep End",1970,http://www.icheckmovies.com/movies/deep+end/,1156,112,16,5,164,,http://www.imdb.com/title/tt0066122/,no,no,no,no,no
14,0,"Docteur Jekyll et les femmes",1981,http://www.icheckmovies.com/movies/docteur+jekyll+et+les+femmes/,101,13,1,0,61,"The Strange Case of Dr. Jekyll and Miss Osbourne",http://www.imdb.com/title/tt0082272/,no,no,no,no,no
15,0,El,1953,http://www.icheckmovies.com/movies/el/,877,116,4,5,148,Torments,http://www.imdb.com/title/tt0045361/,no,no,no,no,no
16,0,"Le plein de super",1976,http://www.icheckmovies.com/movies/le+plein+de+super/,28,0,1,1,16,"Fill 'er Up with Super",http://www.imdb.com/title/tt0075076/,no,no,no,no,no
17,0,"Force of Evil",1948,http://www.icheckmovies.com/movies/force+of+evil/,1543,79,10,11,199,,http://www.imdb.com/title/tt0040366/,"2018-04-28 22:54:46",no,no,no,no
18,0,"No habrá más penas ni olvido",1983,http://www.icheckmovies.com/movies/no+habra+mas+penas+ni+olvido/,36,2,0,1,20,"Funny Dirty Little War",http://www.imdb.com/title/tt0086017/,no,no,no,no,no
19,0,"La fille de Carthage",1924,http://www.icheckmovies.com/movies/la+fille+de+carthage/,1,0,0,0,3,"The Girl from Carthage",http://www.imdb.com/title/tt0256753/,no,no,no,no,no
20,0,"The Gold Diggers",1983,http://www.icheckmovies.com/movies/the+gold+diggers/,103,4,1,1,32,,http://www.imdb.com/title/tt0085606/,no,no,no,no,no
21,0,Subarnarekha,1965,http://www.icheckmovies.com/movies/subarnarekha/,333,26,3,7,134,"The Golden Thread",http://www.imdb.com/title/tt0056537/,no,no,no,no,no
22,0,"Grace of My Heart",1996,http://www.icheckmovies.com/movies/grace+of+my+heart/,122,7,2,0,21,,http://www.imdb.com/title/tt0116442/,no,no,no,no,no
23,0,"Kuam rak krang sutai",1975,http://www.icheckmovies.com/movies/kuam+rak+krang+sutai/,0,0,0,0,1,"The Last Love",http://www.imdb.com/title/tt0249666/,no,no,no,no,no
24,0,Hustle,1975,http://www.icheckmovies.com/movies/hustle-1975-1/,203,3,3,2,46,,http://www.imdb.com/title/tt0073133/,"2018-04-28 23:28:34",no,no,no,no
25,0,"Nippon konchûki",1963,http://www.icheckmovies.com/movies/nippon+konchuki/,484,27,2,6,120,"The Insect Woman",http://www.imdb.com/title/tt0057363/,no,no,no,no,no
26,0,"Intimní osvetlení",1965,http://www.icheckmovies.com/movies/intimni+osvetleni/,238,22,0,4,97,"Intimate Lighting",http://www.imdb.com/title/tt0060543/,no,no,no,no,no
27,0,"Iracema - Uma Transa Amazônica",1975,http://www.icheckmovies.com/movies/iracema+-+uma+transa+amazonica/,54,6,1,1,42,,http://www.imdb.com/title/tt0126968/,no,no,no,no,no
28,0,"Khon jorn",1999,http://www.icheckmovies.com/movies/khon+jorn/,0,0,0,0,2,,http://www.imdb.com/title/tt0780057/,no,no,no,no,no
29,0,"Le roi et l'oiseau",1980,http://www.icheckmovies.com/movies/le+roi+et+loiseau/,1302,121,12,3,67,"The King and the Mockingbird",http://www.imdb.com/title/tt0079820/,"2018-10-17 02:19:25",no,no,no,no
30,0,Kukuli,1961,http://www.icheckmovies.com/movies/kukuli/,36,3,0,1,24,,http://www.imdb.com/title/tt0133904/,no,no,no,no,no
31,0,"The Last of the Mohicans",1920,http://www.icheckmovies.com/movies/the+last+of+the+mohicans-1920/,828,16,5,4,74,,http://www.imdb.com/title/tt0011387/,no,no,no,no,no
32,0,LBJ,1968,http://www.icheckmovies.com/movies/lbj/,369,13,7,2,40,,http://www.imdb.com/title/tt0151275/,no,no,no,no,no
33,0,"Leo the Last",1970,http://www.icheckmovies.com/movies/leo+the+last/,45,2,0,0,24,,http://www.imdb.com/title/tt0065974/,no,no,no,no,no
34,0,Léolo,1992,http://www.icheckmovies.com/movies/leolo/,842,78,22,3,127,,http://www.imdb.com/title/tt0104782/,no,no,no,no,no
35,0,Monpti,1957,http://www.icheckmovies.com/movies/monpti/,22,2,2,0,6,,http://www.imdb.com/title/tt0050721/,no,no,no,no,no
36,0,"Koiya koi nasuna koi",1962,http://www.icheckmovies.com/movies/koiya+koi+nasuna+koi/,3,0,0,0,8,"Love, Thy Name Be Sorrow",http://www.imdb.com/title/tt0203629/,no,no,no,no,no
37,0,"The Magic Face",1951,http://www.icheckmovies.com/movies/the+magic+face/,3,0,0,0,5,,http://www.imdb.com/title/tt0043771/,no,no,no,no,no
38,0,"Make Way for Tomorrow",1937,http://www.icheckmovies.com/movies/make+way+for+tomorrow/,2224,342,16,15,275,,http://www.imdb.com/title/tt0029192/,"2018-10-30 01:08:09",no,no,no,no
39,0,"Marketa Lazarová",1967,http://www.icheckmovies.com/movies/marketa+lazarova/,1075,159,14,7,236,,http://www.imdb.com/title/tt0063278/,"2018-12-13 09:30:38",no,no,no,no
40,0,Andaz,1949,http://www.icheckmovies.com/movies/andaz/,130,3,4,3,21,"A Matter of Style",http://www.imdb.com/title/tt0041123/,no,no,no,no,no
41,0,"Model Shop",1969,http://www.icheckmovies.com/movies/model+shop/,124,10,2,1,36,,http://www.imdb.com/title/tt0064679/,"2018-11-19 21:33:28",no,no,no,no
42,0,"The Moises Padilla Story",1961,http://www.icheckmovies.com/movies/the+moises+padilla+story/,1,0,0,0,13,,http://www.imdb.com/title/tt0356901/,no,no,no,no,no
43,0,"New Rose Hotel",1998,http://www.icheckmovies.com/movies/new+rose+hotel/,413,22,31,1,75,,http://www.imdb.com/title/tt0133122/,no,no,no,no,no
44,0,"An shab ke barun amad",1967,http://www.icheckmovies.com/movies/an+shab+ke+barun+amad/,252,13,4,1,71,"The Night It Rained",http://www.imdb.com/title/tt0930760/,no,no,no,no,no
45,0,"Paris 1900",1947,http://www.icheckmovies.com/movies/paris+1900/,18,0,0,0,10,,http://www.imdb.com/title/tt0040683/,no,no,no,no,no
46,0,"Patti Rocks",1988,http://www.icheckmovies.com/movies/patti+rocks/,9,0,0,0,9,,http://www.imdb.com/title/tt0095835/,no,no,no,no,no
47,0,"Peter Ibbetson",1935,http://www.icheckmovies.com/movies/peter+ibbetson/,434,13,7,2,91,,http://www.imdb.com/title/tt0026866/,"2018-11-08 00:27:07",no,no,no,no
48,0,"The Phynx",1970,http://www.icheckmovies.com/movies/the+phynx/,15,2,0,0,13,,http://www.imdb.com/title/tt0066221/,no,no,no,no,no
49,0,"The Pumpkin Eater",1964,http://www.icheckmovies.com/movies/the+pumpkin+eater/,226,20,2,1,92,,http://www.imdb.com/title/tt0058500/,no,no,no,no,no
50,0,"Cría cuervos",1976,http://www.icheckmovies.com/movies/cria+cuervos/,1693,255,5,10,260,"Cria Cuervos",http://www.imdb.com/title/tt0074360/,"2018-11-17 19:17:48",no,no,no,no
51,0,Fuefukigawa,1960,http://www.icheckmovies.com/movies/fuefukigawa/,50,6,0,1,42,"The River Fuefuki",http://www.imdb.com/title/tt0053842/,no,no,no,no,no
52,0,"The Ruling Class",1972,http://www.icheckmovies.com/movies/the+ruling+class/,905,74,8,4,117,,http://www.imdb.com/title/tt0069198/,no,no,no,no,no
53,0,"Elle est des nôtres",2003,http://www.icheckmovies.com/movies/elle+est+des+notres/,8,1,0,0,5,"She's One of Us",http://www.imdb.com/title/tt0370531/,no,no,no,no,no
