rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Chelovek s kino-apparatom",1929,http://www.icheckmovies.com/movies/chelovek+s+kino-apparatom/,5777,800,46,21,505,"Man with a Movie Camera",http://www.imdb.com/title/tt0019760/,"2018-10-17 21:58:59",no,no,no,no
2,0,Shoah,1985,http://www.icheckmovies.com/movies/shoah/,1760,223,12,17,353,,http://www.imdb.com/title/tt0090015/,"2018-04-26 21:44:02",no,no,no,no
3,0,"Sans soleil",1983,http://www.icheckmovies.com/movies/sans+soleil/,2894,441,33,15,330,"Sans Soleil",http://www.imdb.com/title/tt0084628/,"2018-04-26 21:43:02",no,no,no,no
4,0,"Nuit et brouillard",1956,http://www.icheckmovies.com/movies/nuit+et+brouillard/,6394,570,25,16,361,"Night and Fog",http://www.imdb.com/title/tt0048434/,"2018-04-26 21:32:28",no,no,no,no
5,0,"The Thin Blue Line",1988,http://www.icheckmovies.com/movies/the+thin+blue+line/,5951,466,19,11,303,,http://www.imdb.com/title/tt0096257/,"2018-11-08 00:21:52",no,no,no,no
6,0,"Nanook of the North",1922,http://www.icheckmovies.com/movies/nanook+of+the+north/,4991,217,30,16,300,,http://www.imdb.com/title/tt0013427/,"2018-10-17 22:30:20",no,no,no,no
7,0,"Chronique d'un été (Paris 1960)",1961,http://www.icheckmovies.com/movies/chronique+dun+ete+paris+1960/,1024,85,9,8,177,"Chronicle of a Summer",http://www.imdb.com/title/tt0054745/,"2018-10-17 21:59:20",no,no,no,no
8,0,"Dont Look Back",1967,http://www.icheckmovies.com/movies/dont+look+back/,1986,176,8,9,184,,http://www.imdb.com/title/tt0061589/,"2018-11-25 14:44:50",no,no,no,no
9,0,"Les glaneurs et la glaneuse",2000,http://www.icheckmovies.com/movies/les+glaneurs+et+la+glaneuse/,1817,178,10,11,201,"The Gleaners & I",http://www.imdb.com/title/tt0247380/,"2018-11-16 13:56:07",no,no,no,no
10,0,"Grey Gardens",1975,http://www.icheckmovies.com/movies/grey+gardens/,3258,268,26,10,211,,http://www.imdb.com/title/tt0073076/,"2018-11-19 21:31:45",no,no,no,no
11,0,"Le chagrin et la pitié",1969,http://www.icheckmovies.com/movies/le+chagrin+et+la+pitie/,933,89,7,11,236,"The Sorrow and the Pity",http://www.imdb.com/title/tt0066904/,"2018-11-19 21:31:35",no,no,no,no
12,0,"Grizzly Man",2005,http://www.icheckmovies.com/movies/grizzly+man/,10316,793,51,9,297,,http://www.imdb.com/title/tt0427312/,"2018-10-17 22:11:11",no,no,no,no
13,0,Salesman,1969,http://www.icheckmovies.com/movies/salesman/,1524,114,9,10,154,,http://www.imdb.com/title/tt0064921/,"2018-11-19 21:31:51",no,no,no,no
14,0,"Las Hurdes",1933,http://www.icheckmovies.com/movies/las+hurdes/,1977,94,18,12,166,"Land Without Bread",http://www.imdb.com/title/tt0023037/,"2018-11-08 00:21:50",no,no,no,no
15,0,"Titicut Follies",1967,http://www.icheckmovies.com/movies/titicut+follies/,1031,82,5,7,156,,http://www.imdb.com/title/tt0062374/,"2018-12-02 23:20:02",no,no,no,no
16,0,"Hoop Dreams",1994,http://www.icheckmovies.com/movies/hoop+dreams/,6142,524,23,13,330,,http://www.imdb.com/title/tt0110057/,"2018-04-26 21:47:50",no,no,no,no
17,0,"Seven Up!",1964,http://www.icheckmovies.com/movies/seven+upexclamation/,2229,134,5,5,105,,http://www.imdb.com/title/tt0058578/,no,no,no,no,no
18,0,"7 Plus Seven",1970,http://www.icheckmovies.com/movies/7+plus+seven/,1653,81,3,2,84,,http://www.imdb.com/title/tt0066356/,no,no,no,no,no
19,0,"21 Up",1977,http://www.icheckmovies.com/movies/21+up/,1832,92,6,2,83,,http://www.imdb.com/title/tt0075610/,no,no,no,no,no
20,0,"28 Up",1984,http://www.icheckmovies.com/movies/28+up/,1547,112,4,5,100,,http://www.imdb.com/title/tt0088650/,no,no,no,no,no
21,0,"35 Up",1991,http://www.icheckmovies.com/movies/35+up/,1312,85,5,2,78,,http://www.imdb.com/title/tt0101254/,no,no,no,no,no
22,0,"42 Up",1998,http://www.icheckmovies.com/movies/42+up/,1253,76,6,3,78,,http://www.imdb.com/title/tt0164312/,no,no,no,no,no
23,0,"49 Up",2005,http://www.icheckmovies.com/movies/49+up/,1245,74,7,4,79,,http://www.imdb.com/title/tt0473434/,no,no,no,no,no
24,0,"56 Up",2012,http://www.icheckmovies.com/movies/56+up/,659,37,2,2,77,,http://www.imdb.com/title/tt2147134/,no,no,no,no,no
25,0,"La batalla de Chile: La lucha de un pueblo sin armas - Primera parte: La insurrección de la burguesía",1975,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+primera+parte+la+insurreccion+de+la+burguesia/,454,39,1,7,119,"The Battle of Chile: Part I",http://www.imdb.com/title/tt0072685/,"2018-12-02 14:13:16",no,no,no,no
26,0,"La batalla de Chile: La lucha de un pueblo sin armas - Segunda parte: El golpe de estado",1976,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+segunda+parte+el+golpe+de+estado/,394,29,2,5,119,"The Battle of Chile: Part II",http://www.imdb.com/title/tt0074187/,"2018-12-02 14:13:23",no,no,no,no
27,0,"La batalla de Chile: La lucha de un pueblo sin armas - Tercera parte: El poder popular",1979,http://www.icheckmovies.com/movies/la+batalla+de+chile+la+lucha+de+un+pueblo+sin+armas+-+tercera+parte+el+poder+popular/,317,20,1,4,92,"The Battle of Chile: Part 3",http://www.imdb.com/title/tt0078831/,"2018-12-02 14:13:45",no,no,no,no
28,0,"Tiexi qu",2002,http://www.icheckmovies.com/movies/tiexi+qu/,274,30,8,8,166,"Tie Xi Qu: West of the Tracks",http://www.imdb.com/title/tt0389448/,"2018-12-02 14:36:39",no,no,no,no
29,0,"The Act of Killing",2012,http://www.icheckmovies.com/movies/the+act+of+killing/,5288,659,24,4,364,,http://www.imdb.com/title/tt2375605/,"2018-04-26 21:55:18",no,no,no,no
30,0,"Nostalgia de la luz",2010,http://www.icheckmovies.com/movies/nostalgia+de+la+luz/,1160,120,11,5,164,"Nostalgia for the Light",http://www.imdb.com/title/tt1556190/,no,no,no,no,no
31,0,"Khaneh siah ast",1963,http://www.icheckmovies.com/movies/khaneh+siah+ast/,1755,194,12,10,189,"The House Is Black",http://www.imdb.com/title/tt0336693/,"2018-11-18 19:00:33",no,no,no,no
32,0,"F for Fake",1973,http://www.icheckmovies.com/movies/f+for+fake/,3551,448,33,10,279,"F For Fake",http://www.imdb.com/title/tt0072962/,"2018-04-26 21:39:31",no,no,no,no
33,0,"Harlan County U.S.A.",1976,http://www.icheckmovies.com/movies/harlan+county+u.s.a./,1684,180,5,8,205,,http://www.imdb.com/title/tt0074605/,"2018-12-03 15:26:53",no,no,no,no
34,0,"Listen to Britain",1942,http://www.icheckmovies.com/movies/listen+to+britain/,1225,28,23,8,110,,http://www.imdb.com/title/tt0034978/,"2018-12-12 16:04:02",no,no,no,no
35,0,"Yuki yukite, shingun",1987,http://www.icheckmovies.com/movies/yuki+yukite+shingun/,450,70,1,7,167,"The Emperor's Naked Army Marches On",http://www.imdb.com/title/tt0092963/,no,no,no,no,no
36,0,"Gimme Shelter",1970,http://www.icheckmovies.com/movies/gimme+shelter/,3471,227,9,9,197,,http://www.imdb.com/title/tt0065780/,"2018-11-25 14:39:01",no,no,no,no
