rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Il buono, il brutto, il cattivo",1966,http://www.icheckmovies.com/movies/il+buono+il+brutto+il+cattivo/,46006,6590,143,23,1034,"The Good, the Bad and the Ugly",http://www.imdb.com/title/tt0060196/,"2018-04-26 21:36:33",no,no,no,yes
2,0,"C'era una volta il West",1968,http://www.icheckmovies.com/movies/cera+una+volta+il+west/,26007,3332,105,25,858,"Once Upon a Time in the West",http://www.imdb.com/title/tt0064116/,"2018-04-26 21:37:13",no,no,no,yes
3,0,"Per qualche dollaro in più",1965,http://www.icheckmovies.com/movies/per+qualche+dollaro+in+piu/,19954,1719,44,9,429,"For a Few Dollars More",http://www.imdb.com/title/tt0059578/,"2018-04-28 15:53:06",no,no,no,no
4,0,"Il grande silenzio",1968,http://www.icheckmovies.com/movies/il+grande+silenzio/,1975,270,17,5,200,"The Great Silence",http://www.imdb.com/title/tt0063032/,"2018-10-17 22:15:17",no,no,no,no
5,0,"Per un pugno di dollari",1964,http://www.icheckmovies.com/movies/per+un+pugno+di+dollari/,16989,1241,45,8,412,"A Fistful of Dollars",http://www.imdb.com/title/tt0058461/,"2018-04-28 15:48:37",no,no,no,no
6,0,Django,1966,http://www.icheckmovies.com/movies/django/,3162,227,15,4,170,,http://www.imdb.com/title/tt0060315/,"2018-04-28 22:53:15",no,no,no,no
7,0,"La resa dei conti",1966,http://www.icheckmovies.com/movies/la+resa+dei+conti/,617,62,3,1,84,"The Big Gundown",http://www.imdb.com/title/tt0063501/,"2018-11-08 01:12:27",no,no,no,no
8,0,"Il mercenario",1968,http://www.icheckmovies.com/movies/il+mercenario/,518,39,1,1,72,"The Mercenary",http://www.imdb.com/title/tt0063293/,no,no,no,no,no
9,0,"Vamos a matar, compañeros",1970,http://www.icheckmovies.com/movies/vamos+a+matar+companeros/,591,69,3,1,105,Companeros,http://www.imdb.com/title/tt0066612/,no,no,no,no,no
10,0,"Da uomo a uomo",1967,http://www.icheckmovies.com/movies/da+uomo+a+uomo/,764,41,4,1,78,"Death Rides a Horse",http://www.imdb.com/title/tt0064208/,no,no,no,no,no
11,0,"Faccia a faccia",1967,http://www.icheckmovies.com/movies/faccia+a+faccia/,354,24,4,4,98,"Face to Face",http://www.imdb.com/title/tt0061636/,no,no,no,no,no
12,0,"Giù la testa",1971,http://www.icheckmovies.com/movies/giu+la+testa/,2743,241,23,2,157,"Duck, You Sucker",http://www.imdb.com/title/tt0067140/,no,no,no,no,no
13,0,"Quién sabe?",1967,http://www.icheckmovies.com/movies/quien+sabequestion/,575,42,8,3,76,"A Bullet for the General",http://www.imdb.com/title/tt0061429/,no,no,no,no,no
14,0,"I giorni dell'ira",1967,http://www.icheckmovies.com/movies/i+giorni+dellira/,364,19,2,1,67,"Day of Anger",http://www.imdb.com/title/tt0061709/,no,no,no,no,no
15,0,Keoma,1976,http://www.icheckmovies.com/movies/keoma/,672,48,6,1,75,"Django Rides Again",http://www.imdb.com/title/tt0074740/,"2018-11-08 01:17:32",no,no,no,no
16,0,"Une corde... un Colt...",1969,http://www.icheckmovies.com/movies/une+corde...+un+colt.../,279,22,5,1,75,"Cemetery Without Crosses",http://www.imdb.com/title/tt0063740/,no,no,no,no,no
17,1,"Il ritorno di Ringo",1965,http://www.icheckmovies.com/movies/il+ritorno+di+ringo/,202,6,2,1,34,"The Return of Ringo",http://www.imdb.com/title/tt0060903/,no,no,no,no,no
18,-1,"Il mio nome è Nessuno",1973,http://www.icheckmovies.com/movies/il+mio+nome+e+nessuno/,1793,119,17,1,87,"My Name Is Nobody",http://www.imdb.com/title/tt0070215/,"2018-11-08 00:37:05",no,no,no,no
19,0,"Se sei vivo spara",1967,http://www.icheckmovies.com/movies/se+sei+vivo+spara/,426,21,12,3,66,"Django Kill... If You Live, Shoot!",http://www.imdb.com/title/tt0062082/,no,no,no,no,no
20,0,"Corri uomo corri",1968,http://www.icheckmovies.com/movies/corri+uomo+corri/,245,6,2,1,30,"Run, Man, Run",http://www.imdb.com/title/tt0062825/,no,no,no,no,no
21,0,"Se incontri Sartana prega per la tua morte",1968,http://www.icheckmovies.com/movies/se+incontri+sartana+prega+per+la+tua+morte/,157,5,1,1,34,"If You Meet Sartana Pray for Your Death",http://www.imdb.com/title/tt0063568/,no,no,no,no,no
22,0,Blindman,1971,http://www.icheckmovies.com/movies/blindman/,184,3,3,1,34,,http://www.imdb.com/title/tt0066844/,no,no,no,no,no
