rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Bad Lieutenant",1992,http://www.icheckmovies.com/movies/bad+lieutenant/,3333,215,45,4,194,,http://www.imdb.com/title/tt0103759/,"2018-04-28 22:49:29",no,no,no,no
2,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
3,0,Yôjinbô,1961,http://www.icheckmovies.com/movies/yojinbo/,12574,1492,52,19,516,Yojimbo,http://www.imdb.com/title/tt0055630/,"2018-04-28 11:47:06",no,no,no,no
4,0,Ran,1985,http://www.icheckmovies.com/movies/ran/,12319,1450,76,22,597,,http://www.imdb.com/title/tt0089881/,"2018-04-26 21:43:39",no,no,no,no
5,0,"Rear Window",1954,http://www.icheckmovies.com/movies/rear+window/,45119,5546,111,29,1056,,http://www.imdb.com/title/tt0047396/,"2018-01-10 16:55:39",no,no,no,no
6,0,Vertigo,1958,http://www.icheckmovies.com/movies/vertigo/,42253,4595,183,43,1190,,http://www.imdb.com/title/tt0052357/,"2018-01-10 16:56:26",no,no,no,no
7,0,"North by Northwest",1959,http://www.icheckmovies.com/movies/north+by+northwest/,33381,3283,88,25,877,,http://www.imdb.com/title/tt0053125/,"2018-01-10 16:56:27",no,no,no,no
8,0,"Bonnie and Clyde",1967,http://www.icheckmovies.com/movies/bonnie+and+clyde/,22311,1408,68,27,675,,http://www.imdb.com/title/tt0061418/,"2018-04-26 21:37:03",no,no,no,no
9,0,"Il conformista",1970,http://www.icheckmovies.com/movies/il+conformista/,4795,605,35,17,511,"The Conformist",http://www.imdb.com/title/tt0065571/,"2018-10-30 01:08:03",no,no,no,no
10,0,"Ultimo tango a Parigi",1972,http://www.icheckmovies.com/movies/ultimo+tango+a+parigi/,6773,414,142,15,344,"Last Tango in Paris",http://www.imdb.com/title/tt0070849/,"2018-04-28 11:46:50",no,no,no,no
11,0,"Ace in the Hole",1951,http://www.icheckmovies.com/movies/ace+in+the+hole/,5663,782,24,18,393,,http://www.imdb.com/title/tt0043338/,"2018-04-26 21:30:45",no,no,no,no
12,0,"Some Like It Hot",1959,http://www.icheckmovies.com/movies/some+like+it+hot/,33421,3346,106,32,881,,http://www.imdb.com/title/tt0053291/,"2018-04-26 21:33:42",no,no,no,no
13,0,"Killer of Sheep",1978,http://www.icheckmovies.com/movies/killer+of+sheep/,2070,164,25,11,233,,http://www.imdb.com/title/tt0076263/,"2018-11-16 10:53:47",no,no,no,no
14,0,"The Night of the Hunter",1955,http://www.icheckmovies.com/movies/the+night+of+the+hunter/,13179,1781,113,29,779,,http://www.imdb.com/title/tt0048424/,"2018-04-26 21:32:28",no,no,no,no
15,0,"Raising Arizona",1987,http://www.icheckmovies.com/movies/raising+arizona/,21098,1288,151,9,338,,http://www.imdb.com/title/tt0093822/,"2018-04-26 21:44:49",no,no,no,no
16,0,"The Bridge on the River Kwai",1957,http://www.icheckmovies.com/movies/the+bridge+on+the+river+kwai/,24796,1695,70,30,654,,http://www.imdb.com/title/tt0050212/,"2018-01-10 16:57:56",no,no,no,no
17,0,"Lawrence of Arabia",1962,http://www.icheckmovies.com/movies/lawrence+of+arabia/,28886,2663,192,40,956,,http://www.imdb.com/title/tt0056172/,"2018-01-10 16:56:42",no,no,no,no
18,0,"On the Waterfront",1954,http://www.icheckmovies.com/movies/on+the+waterfront/,18266,1615,85,32,712,,http://www.imdb.com/title/tt0047296/,"2018-04-26 21:31:51",no,no,no,no
19,0,"A Face in the Crowd",1957,http://www.icheckmovies.com/movies/a+face+in+the+crowd/,2009,306,9,12,216,,http://www.imdb.com/title/tt0050371/,"2018-06-11 13:01:32",no,no,no,no
20,,"Rue cases nègres",1983,http://www.icheckmovies.com/movies/rue+cases+negres/,191,11,2,1,59,"Black Shack Alley",http://www.imdb.com/title/tt0086213/,no,no,no,no,no
21,-1,"La strada",1954,http://www.icheckmovies.com/movies/la+strada/,8763,923,69,19,482,"La Strada",http://www.imdb.com/title/tt0047528/,"2018-04-26 21:32:01",no,no,no,no
22,-1,"La dolce vita",1960,http://www.icheckmovies.com/movies/la+dolce+vita/,12230,1236,119,20,603,"La Dolce Vita",http://www.imdb.com/title/tt0053779/,"2018-04-26 21:34:05",no,no,no,no
23,-1,8½,1963,http://www.icheckmovies.com/movies/8half/,17750,2169,265,33,816,"Federico Fellini's 8 1/2",http://www.imdb.com/title/tt0056801/,"2018-04-26 21:35:36",no,no,no,no
24,-1,"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,50611,6571,204,20,859,"City of God",http://www.imdb.com/title/tt0317248/,"2018-04-28 15:55:34",no,no,no,yes
25,-1,"The Godfather",1972,http://www.icheckmovies.com/movies/the+godfather/,91312,12304,396,38,1496,,http://www.imdb.com/title/tt0068646/,"2018-01-10 13:21:17",no,no,no,yes
26,-1,"The Godfather: Part II",1974,http://www.icheckmovies.com/movies/the+godfather+part+ii/,69212,7700,255,27,1135,,http://www.imdb.com/title/tt0071562/,"2018-01-10 13:21:19",no,no,no,yes
27,-1,"Les quatre cents coups",1959,http://www.icheckmovies.com/movies/les+quatre+cents+coups/,15278,1974,79,26,801,"The 400 Blows",http://www.imdb.com/title/tt0053198/,"2018-04-26 21:33:39",no,no,no,no
28,-1,"La nuit américaine",1973,http://www.icheckmovies.com/movies/la+nuit+americaine/,3991,446,21,18,355,"Day for Night",http://www.imdb.com/title/tt0070460/,"2018-04-28 11:42:57",no,no,no,no
29,-1,Patton,1970,http://www.icheckmovies.com/movies/patton/,13432,740,54,13,435,,http://www.imdb.com/title/tt0066206/,"2018-04-26 21:37:53",no,no,no,no
30,-1,"Mad Max",1979,http://www.icheckmovies.com/movies/mad+max/,23600,787,245,12,336,,http://www.imdb.com/title/tt0079501/,"2018-01-31 09:31:35",no,no,no,no
31,-1,"Mad Max 2",1981,http://www.icheckmovies.com/movies/mad+max+2/,19220,1085,114,11,400,"The Road Warrior",http://www.imdb.com/title/tt0082694/,"2018-06-11 13:10:09",no,no,no,no
32,-1,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,7888,975,56,25,546,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2018-04-26 21:36:15",no,no,no,no
33,-1,"The Last Detail",1973,http://www.icheckmovies.com/movies/the+last+detail/,1931,162,9,3,169,,http://www.imdb.com/title/tt0070290/,no,no,no,no,no
34,,"The Piano",1993,http://www.icheckmovies.com/movies/the+piano/,12010,733,118,13,401,,http://www.imdb.com/title/tt0107822/,"2018-04-26 21:47:45",no,no,no,no
35,-2,"À bout de souffle",1960,http://www.icheckmovies.com/movies/a+bout+de+souffle/,14613,1642,126,28,718,Breathless,http://www.imdb.com/title/tt0053472/,"2018-04-26 21:33:49",no,no,no,no
36,-2,"West Side Story",1961,http://www.icheckmovies.com/movies/west+side+story/,29823,1202,318,21,509,,http://www.imdb.com/title/tt0055614/,"2018-04-26 21:34:46",no,no,no,no
37,-2,"Stranger Than Paradise",1984,http://www.icheckmovies.com/movies/stranger+than+paradise/,5638,542,36,11,296,,http://www.imdb.com/title/tt0088184/,"2018-11-08 00:21:54",no,no,no,no
38,-2,"The Train",1964,http://www.icheckmovies.com/movies/the+train/,1110,106,4,4,139,,http://www.imdb.com/title/tt0059825/,"2018-04-28 23:11:33",no,no,no,no
39,-2,"The Maltese Falcon",1941,http://www.icheckmovies.com/movies/the+maltese+falcon/,22522,1774,111,26,725,,http://www.imdb.com/title/tt0033870/,"2018-04-26 21:28:21",no,no,no,no
40,-2,"The Treasure of the Sierra Madre",1948,http://www.icheckmovies.com/movies/the+treasure+of+the+sierra+madre/,13810,1440,59,25,626,,http://www.imdb.com/title/tt0040897/,"2018-04-26 21:30:07",no,no,no,no
41,-2,"Fat City",1972,http://www.icheckmovies.com/movies/fat+city/,1422,103,14,8,192,,http://www.imdb.com/title/tt0068575/,"2018-10-17 22:09:02",no,no,no,no
42,-2,"Midnight Cowboy",1969,http://www.icheckmovies.com/movies/midnight+cowboy/,13480,1025,77,22,514,,http://www.imdb.com/title/tt0064665/,"2018-04-26 21:37:34",no,no,no,no
43,-2,"Marathon Man",1976,http://www.icheckmovies.com/movies/marathon+man/,5320,286,25,4,187,,http://www.imdb.com/title/tt0074860/,"2018-04-28 23:03:57",no,no,no,no
44,-2,"Boyz n the Hood",1991,http://www.icheckmovies.com/movies/boyz+n+the+hood/,12776,612,42,5,274,"Boys in the Hood",http://www.imdb.com/title/tt0101507/,"2018-04-26 21:46:40",no,no,no,no
45,,"Daughters of the Dust",1991,http://www.icheckmovies.com/movies/daughters+of+the+dust/,374,15,10,3,97,,http://www.imdb.com/title/tt0104057/,no,no,no,no,no
46,,"The Hurt Locker",2008,http://www.icheckmovies.com/movies/the+hurt+locker/,42701,2160,524,11,512,,http://www.imdb.com/title/tt0887912/,"2018-04-26 21:53:03",no,no,no,no
47,,"Mimì metallurgico ferito nell'onore",1972,http://www.icheckmovies.com/movies/mimi+metallurgico+ferito+nellonore/,204,17,1,2,54,"The Seduction of Mimi",http://www.imdb.com/title/tt0068950/,no,no,no,no,no
48,,"Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...'",1973,http://www.icheckmovies.com/movies/film+damore+e+danarchia+ovvero+stamattina+alle+10+in+via+dei+fiori+nella+nota+casa+di+tolleranza.../,234,25,3,3,97,"Love & Anarchy",http://www.imdb.com/title/tt0070061/,no,no,no,no,no
49,,"Travolti da un insolito destino nell'azzurro mare d'agosto",1974,http://www.icheckmovies.com/movies/travolti+da+un+insolito+destino+nellazzurro+mare+dagosto/,461,43,9,2,76,"Swept Away",http://www.imdb.com/title/tt0073817/,no,no,no,no,no
50,,"Pasqualino Settebellezze",1975,http://www.icheckmovies.com/movies/pasqualino+settebellezze/,512,54,7,3,143,"Seven Beauties",http://www.imdb.com/title/tt0075040/,no,no,no,no,no
