rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Dangal,2016,http://www.icheckmovies.com/movies/dangal/,1004,75,21,3,46,,http://www.imdb.com/title/tt5074352/,"2018-10-17 22:02:47",no,no,no,no
2,0,"Flåklypa Grand Prix",1975,http://www.icheckmovies.com/movies/flaklypa+grand+prix/,4980,366,30,7,132,"Pinchcliffe Grand Prix",http://www.imdb.com/title/tt0073000/,"2018-11-27 15:02:30",no,no,no,no
3,0,"Rocco e i suoi fratelli",1960,http://www.icheckmovies.com/movies/rocco+e+i+suoi+fratelli/,2886,366,27,18,300,"Rocco and His Brothers",http://www.imdb.com/title/tt0054248/,"2018-04-26 21:34:01",no,no,no,no
4,5,"Raging Bull",1980,http://www.icheckmovies.com/movies/raging+bull/,33534,2843,213,30,902,,http://www.imdb.com/title/tt0081398/,"2018-04-26 21:41:53",no,no,no,no
5,3,"Jo Jeeta Wohi Sikandar",1992,http://www.icheckmovies.com/movies/jo+jeeta+wohi+sikandar/,537,46,15,1,28,,http://www.imdb.com/title/tt0104561/,no,no,no,no,no
6,1,"Chak De! India",2007,http://www.icheckmovies.com/movies/chak+deexclamation+india/,1391,103,26,1,46,,http://www.imdb.com/title/tt0871510/,no,no,no,no,no
7,-1,Warrior,2011,http://www.icheckmovies.com/movies/warrior/,19815,1657,138,3,311,,http://www.imdb.com/title/tt1291584/,"2018-04-28 15:48:51",no,no,no,no
8,-3,"Paan Singh Tomar",2010,http://www.icheckmovies.com/movies/paan+singh+tomar/,422,33,9,2,31,,http://www.imdb.com/title/tt1620933/,no,no,no,no,no
9,-5,"Bhaag Milkha Bhaag",2013,http://www.icheckmovies.com/movies/bhaag+milkha+bhaag/,452,29,22,1,39,,http://www.imdb.com/title/tt2356180/,"2018-04-28 15:46:27",no,no,no,no
10,4,Rocky,1976,http://www.icheckmovies.com/movies/rocky/,67536,2828,331,20,639,,http://www.imdb.com/title/tt0075148/,"2018-04-26 21:40:19",no,no,no,no
11,2,"Lagaan: Once Upon a Time in India",2001,http://www.icheckmovies.com/movies/lagaan+once+upon+a+time+in+india/,4115,319,73,10,197,"Land Tax",http://www.imdb.com/title/tt0169102/,"2018-11-18 19:00:03",no,no,no,no
12,0,"Million Dollar Baby",2004,http://www.icheckmovies.com/movies/million+dollar+baby/,60381,3054,482,9,500,,http://www.imdb.com/title/tt0405159/,"2018-01-10 16:59:46",no,no,no,no
13,-2,Iqbal,2005,http://www.icheckmovies.com/movies/iqbal/,532,34,9,1,24,,http://www.imdb.com/title/tt0453729/,no,no,no,no,no
14,-4,Rush,2013,http://www.icheckmovies.com/movies/rush-2013/,15058,1233,64,6,282,,http://www.imdb.com/title/tt1979320/,"2018-01-10 16:59:30",no,no,no,no
15,3,"Night and the City",1950,http://www.icheckmovies.com/movies/night+and+the+city/,2506,257,13,10,231,,http://www.imdb.com/title/tt0042788/,"2018-04-28 23:05:36",no,no,no,no
16,1,"The Hustler",1961,http://www.icheckmovies.com/movies/the+hustler/,10901,796,46,14,464,,http://www.imdb.com/title/tt0054997/,"2018-04-26 21:34:46",no,no,no,no
17,-1,"Cinderella Man",2005,http://www.icheckmovies.com/movies/cinderella+man/,17278,726,78,2,168,,http://www.imdb.com/title/tt0352248/,"2018-11-08 00:22:47",no,no,no,no
18,-3,"Yip Man",2008,http://www.icheckmovies.com/movies/yip+man/,14266,1187,73,4,233,"Ip Man",http://www.imdb.com/title/tt1220719/,"2018-04-28 15:48:53",no,no,no,no
19,8,"The Set-Up",1949,http://www.icheckmovies.com/movies/the+set-up/,1554,145,9,9,178,,http://www.imdb.com/title/tt0041859/,"2018-04-28 23:09:20",no,no,no,no
20,0,"Requiem for a Heavyweight",1962,http://www.icheckmovies.com/movies/requiem+for+a+heavyweight/,434,35,3,1,60,"Blood Money",http://www.imdb.com/title/tt0056406/,no,no,no,no,no
21,-2,"The Wrestler",2008,http://www.icheckmovies.com/movies/the+wrestler/,40869,2743,253,4,420,,http://www.imdb.com/title/tt1125849/,"2018-04-26 21:52:49",no,no,no,no
22,6,"Body and Soul",1947,http://www.icheckmovies.com/movies/body+and+soul/,981,61,6,6,153,"An Affair of the Heart",http://www.imdb.com/title/tt0039204/,"2018-10-17 21:56:33",no,no,no,no
23,3,"This Sporting Life",1963,http://www.icheckmovies.com/movies/this+sporting+life/,1211,73,17,8,181,,http://www.imdb.com/title/tt0057578/,"2018-12-04 14:49:45",no,no,no,no
24,1,"The Sandlot",1993,http://www.icheckmovies.com/movies/the+sandlot/,15800,866,52,1,100,,http://www.imdb.com/title/tt0108037/,"2018-11-08 00:35:38",no,no,no,no
25,-1,"Remember the Titans",2000,http://www.icheckmovies.com/movies/remember+the+titans/,23117,1049,139,1,164,,http://www.imdb.com/title/tt0210945/,"2018-11-08 00:32:35",no,no,no,no
26,-3,"The World's Fastest Indian",2005,http://www.icheckmovies.com/movies/the+worlds+fastest+indian/,4973,278,19,1,83,,http://www.imdb.com/title/tt0412080/,"2018-11-08 00:32:04",no,no,no,no
