rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Körkarlen,1921,http://www.icheckmovies.com/movies/korkarlen/,2879,377,16,14,330,"The Phantom Carriage",http://www.imdb.com/title/tt0012364/,"2018-10-17 22:19:44",no,no,no,no
2,,Metropolis,1927,http://www.icheckmovies.com/movies/metropolis/,26148,2644,134,33,918,,http://www.imdb.com/title/tt0017136/,"2018-04-26 21:26:24",no,no,no,yes
3,,"Hell's Angels",1930,http://www.icheckmovies.com/movies/hells+angels/,398,17,4,2,106,,http://www.imdb.com/title/tt0020960/,"2018-11-08 00:26:10",no,no,no,no
4,,"Der blaue Engel",1930,http://www.icheckmovies.com/movies/der+blaue+engel/,3736,322,22,16,326,"The Blue Angel",http://www.imdb.com/title/tt0020697/,"2018-10-17 22:04:57",no,no,no,no
5,,"City Lights",1931,http://www.icheckmovies.com/movies/city+lights/,19538,2291,66,31,740,,http://www.imdb.com/title/tt0021749/,"2018-01-10 16:55:28",no,no,no,yes
6,,"The Bank Dick",1940,http://www.icheckmovies.com/movies/the+bank+dick/,1897,89,45,8,166,"The Bank Detective",http://www.imdb.com/title/tt0032234/,no,no,no,no,no
7,,"Citizen Kane",1941,http://www.icheckmovies.com/movies/citizen+kane/,47141,4422,394,36,1275,,http://www.imdb.com/title/tt0033467/,"2018-04-26 21:28:18",no,no,no,no
8,,"Roxie Hart",1942,http://www.icheckmovies.com/movies/roxie+hart/,209,14,6,1,31,,http://www.imdb.com/title/tt0035272/,no,no,no,no,no
9,,"The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France",1944,http://www.icheckmovies.com/movies/the+chronicle+history+of+king+henry+the+fifth+with+his+battell+fought+at+agincourt+in+france/,1233,47,33,12,209,"Henry V",http://www.imdb.com/title/tt0036910/,"2018-04-26 21:29:13",no,no,no,no
10,,"Les enfants du paradis",1945,http://www.icheckmovies.com/movies/les+enfants+du+paradis/,3930,606,35,20,537,"Children of Paradise",http://www.imdb.com/title/tt0037674/,"2018-04-26 21:29:13",no,no,no,no
11,,"La belle et la bête",1946,http://www.icheckmovies.com/movies/la+belle+et+la+bete/,8076,670,48,24,470,"Beauty and the Beast",http://www.imdb.com/title/tt0038348/,"2018-04-26 21:29:31",no,no,no,no
12,,"The Treasure of the Sierra Madre",1948,http://www.icheckmovies.com/movies/the+treasure+of+the+sierra+madre/,13810,1440,59,25,626,,http://www.imdb.com/title/tt0040897/,"2018-04-26 21:30:07",no,no,no,no
13,,"La kermesse héroïque",1935,http://www.icheckmovies.com/movies/la+kermesse+heroique/,298,23,4,3,130,"Carnival in Flanders",http://www.imdb.com/title/tt0026564/,no,no,no,no,no
14,,"Pacific 231",1949,http://www.icheckmovies.com/movies/pacific+231/,290,6,3,1,27,,http://www.imdb.com/title/tt0263830/,no,no,no,no,no
15,,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
16,,"La Ronde",1950,http://www.icheckmovies.com/movies/la+ronde/,1284,120,9,8,198,"La Ronde",http://www.imdb.com/title/tt0042906/,no,no,no,no,no
17,,"Le plaisir",1952,http://www.icheckmovies.com/movies/le+plaisir/,1059,93,6,6,172,"Le Plaisir",http://www.imdb.com/title/tt0045034/,no,no,no,no,no
18,,"Madame de...",1953,http://www.icheckmovies.com/movies/madame+de.../,2455,252,16,12,336,"The Earrings of Madame de...",http://www.imdb.com/title/tt0046022/,"2018-11-08 00:21:41",no,no,no,no
19,,"Fröken Julie",1951,http://www.icheckmovies.com/movies/froken+julie/,580,43,2,8,122,"Miss Julie",http://www.imdb.com/title/tt0043567/,"2018-12-02 22:14:12",no,no,no,no
20,,"Édouard et Caroline",1951,http://www.icheckmovies.com/movies/edouard+et+caroline/,86,12,0,2,46,"Edward and Caroline",http://www.imdb.com/title/tt0042429/,"2018-11-08 00:25:48",no,no,no,no
21,,"Casque d'or",1952,http://www.icheckmovies.com/movies/casque+dor/,1063,86,6,9,180,"Casque d'Or",http://www.imdb.com/title/tt0043386/,"2018-04-28 23:23:09",no,no,no,no
