rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Blood Simple.",1984,http://www.icheckmovies.com/movies/blood+simple./,9958,881,49,7,339,,http://www.imdb.com/title/tt0086979/,"2018-04-28 16:00:02",no,no,no,no
2,1,"Smooth Talk",1985,http://www.icheckmovies.com/movies/smooth+talk/,261,4,6,1,41,,http://www.imdb.com/title/tt0090037/,"2018-11-08 01:22:11",no,no,no,no
3,1,"American Playhouse: Waiting for the Moon",1987,http://www.icheckmovies.com/movies/american+playhouse+waiting+for+the+moon/,60,0,1,1,17,,http://www.imdb.com/title/tt0094286/,no,no,no,no,no
4,1,"The Trouble with Dick",1986,http://www.icheckmovies.com/movies/the+trouble+with+dick/,89,1,4,1,23,,http://www.imdb.com/title/tt0094187/,no,no,no,no,no
5,1,"Heat and Sunlight",1987,http://www.icheckmovies.com/movies/heat+and+sunlight/,73,1,8,2,20,,http://www.imdb.com/title/tt0093165/,no,no,no,no,no
6,1,"True Love",1989,http://www.icheckmovies.com/movies/true+love/,252,5,5,2,31,,http://www.imdb.com/title/tt0098528/,no,no,no,no,no
7,1,"Chameleon Street",1989,http://www.icheckmovies.com/movies/chameleon+street/,169,18,3,2,48,,http://www.imdb.com/title/tt0101561/,no,no,no,no,no
8,1,Poison,1991,http://www.icheckmovies.com/movies/poison/,630,29,15,2,95,,http://www.imdb.com/title/tt0102687/,no,no,no,no,no
9,1,"In the Soup",1992,http://www.icheckmovies.com/movies/in+the+soup/,345,15,2,1,35,,http://www.imdb.com/title/tt0104503/,no,no,no,no,no
10,1,"Ruby in Paradise",1993,http://www.icheckmovies.com/movies/ruby+in+paradise/,268,17,4,2,41,,http://www.imdb.com/title/tt0108000/,no,no,no,no,no
11,1,"Public Access",1993,http://www.icheckmovies.com/movies/public+access/,139,1,7,1,16,,http://www.imdb.com/title/tt0107895/,no,no,no,no,no
12,1,"What Happened Was...",1994,http://www.icheckmovies.com/movies/what+happened+was.../,184,20,1,1,45,,http://www.imdb.com/title/tt0111689/,no,no,no,no,no
13,1,"The Brothers McMullen",1995,http://www.icheckmovies.com/movies/the+brothers+mcmullen/,925,12,14,1,24,,http://www.imdb.com/title/tt0112585/,no,no,no,no,no
14,1,"The Young Poisoner's Handbook",1995,http://www.icheckmovies.com/movies/the+young+poisoners+handbook/,238,15,2,1,29,,http://www.imdb.com/title/tt0115033/,no,no,no,no,no
15,1,"Welcome to the Dollhouse",1995,http://www.icheckmovies.com/movies/welcome+to+the+dollhouse/,4490,383,54,3,162,"Middle Child",http://www.imdb.com/title/tt0114906/,"2018-12-02 22:14:50",no,no,no,no
16,1,Sunday,1997,http://www.icheckmovies.com/movies/sunday/,101,4,1,1,22,,http://www.imdb.com/title/tt0120244/,no,no,no,no,no
17,1,Slam,1998,http://www.icheckmovies.com/movies/slam/,322,17,5,3,62,,http://www.imdb.com/title/tt0139615/,no,no,no,no,no
18,1,"Three Seasons",1999,http://www.icheckmovies.com/movies/three+seasons/,201,11,1,1,33,,http://www.imdb.com/title/tt0138874/,no,no,no,no,no
19,1,"You Can Count on Me",2000,http://www.icheckmovies.com/movies/you+can+count+on+me/,2640,198,23,3,154,,http://www.imdb.com/title/tt0203230/,"2018-10-17 22:46:21",no,no,no,no
20,1,Girlfight,2000,http://www.icheckmovies.com/movies/girlfight/,1135,37,7,1,51,,http://www.imdb.com/title/tt0210075/,no,no,no,no,no
21,1,"The Believer",2001,http://www.icheckmovies.com/movies/the+believer/,2734,167,19,1,64,,http://www.imdb.com/title/tt0247199/,no,no,no,no,no
22,1,"Personal Velocity: Three Portraits",2002,http://www.icheckmovies.com/movies/personal+velocity+three+portraits/,283,10,7,1,30,,http://www.imdb.com/title/tt0295238/,no,no,no,no,no
23,1,"American Splendor",2003,http://www.icheckmovies.com/movies/american+splendor/,7411,505,51,3,195,,http://www.imdb.com/title/tt0305206/,"2018-12-02 21:50:44",no,no,no,no
24,1,Primer,2004,http://www.icheckmovies.com/movies/primer/,15627,1442,225,6,308,,http://www.imdb.com/title/tt0390384/,"2018-10-17 22:34:44",no,no,no,no
25,1,"Forty Shades of Blue",2005,http://www.icheckmovies.com/movies/forty+shades+of+blue/,143,1,9,1,23,,http://www.imdb.com/title/tt0395543/,no,no,no,no,no
26,1,Quinceañera,2006,http://www.icheckmovies.com/movies/quinceanera/,498,19,4,1,45,"Echo Park, L.A.",http://www.imdb.com/title/tt0451176/,no,no,no,no,no
27,1,"Padre Nuestro",2007,http://www.icheckmovies.com/movies/padre+nuestro/,120,3,1,1,18,,http://www.imdb.com/title/tt0834938/,no,no,no,no,no
28,1,"Frozen River",2008,http://www.icheckmovies.com/movies/frozen+river/,2571,91,29,2,99,,http://www.imdb.com/title/tt0978759/,"2018-11-08 00:24:14",no,no,no,no
29,1,Precious,2009,http://www.icheckmovies.com/movies/precious/,13707,482,197,3,207,,http://www.imdb.com/title/tt0929632/,"2018-04-26 21:53:10",no,no,no,no
30,1,"Winter's Bone",2010,http://www.icheckmovies.com/movies/winters+bone/,15898,867,187,3,303,,http://www.imdb.com/title/tt1399683/,"2018-10-17 22:45:54",no,no,no,no
31,1,"Like Crazy",2011,http://www.icheckmovies.com/movies/like+crazy/,4780,355,74,1,115,,http://www.imdb.com/title/tt1758692/,"2018-11-08 01:41:00",no,no,no,no
32,1,"Beasts of the Southern Wild",2012,http://www.icheckmovies.com/movies/beasts+of+the+southern+wild/,9543,869,139,4,303,,http://www.imdb.com/title/tt2125435/,"2018-10-17 21:54:44",no,no,no,no
33,1,"Fruitvale Station",2013,http://www.icheckmovies.com/movies/fruitvale+station/,4127,299,29,2,167,,http://www.imdb.com/title/tt2334649/,"2018-11-08 00:22:45",no,no,no,no
34,1,Whiplash,2014,http://www.icheckmovies.com/movies/whiplash-2014/,25116,3628,129,9,627,,http://www.imdb.com/title/tt2582802/,"2018-04-26 21:55:45",no,no,no,no
35,1,"Me and Earl and the Dying Girl",2015,http://www.icheckmovies.com/movies/me+and+earl+and+the+dying+girl/,4279,450,34,1,141,,http://www.imdb.com/title/tt2582496/,no,no,no,no,no
36,1,"The Birth of a Nation",2016,http://www.icheckmovies.com/movies/the+birth+of+a+nation-2016/,709,15,14,1,33,,http://www.imdb.com/title/tt4196450/,no,no,no,no,no
37,1,"I Don't Feel at Home in This World Anymore.",2017,http://www.icheckmovies.com/movies/i+dont+feel+at+home+in+this+world+anymore./,1661,77,13,1,51,,http://www.imdb.com/title/tt5710514/,no,no,no,no,no
38,,"The Miseducation of Cameron Post",2018,http://www.icheckmovies.com/movies/the+miseducation+of+cameron+post/,307,14,3,1,21,,http://www.imdb.com/title/tt6257174/,no,no,no,no,no
