rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,55,"M - Eine Stadt sucht einen Mörder",1931,http://www.icheckmovies.com/movies/m+-+eine+stadt+sucht+einen+morder/,18921,2564,80,34,896,M,http://www.imdb.com/title/tt0022100/,"2018-04-26 21:26:57",no,no,no,yes
2,19,"Das Cabinet des Dr. Caligari",1920,http://www.icheckmovies.com/movies/das+cabinet+des+dr.+caligari/,14539,1237,68,26,698,"The Cabinet of Dr. Caligari",http://www.imdb.com/title/tt0010323/,"2018-04-26 21:19:40",no,no,no,yes
3,13,"Berlin: Die Sinfonie der Grosstadt",1927,http://www.icheckmovies.com/movies/berlin+die+sinfonie+der+grosstadt/,1447,85,10,11,184,"Berlin: Symphony of a Great City",http://www.imdb.com/title/tt0017668/,"2018-10-17 21:55:19",no,no,no,no
4,60,"Nosferatu, eine Symphonie des Grauens",1922,http://www.icheckmovies.com/movies/nosferatu+eine+symphonie+des+grauens/,20687,1264,110,26,750,Nosferatu,http://www.imdb.com/title/tt0013442/,"2018-04-26 21:20:32",no,no,no,yes
5,65,"Menschen am Sonntag",1930,http://www.icheckmovies.com/movies/menschen+am+sonntag/,941,79,10,10,176,"People on Sunday",http://www.imdb.com/title/tt0020163/,"2018-11-19 21:31:52",no,no,no,no
6,56,"Die Mörder sind unter uns",1946,http://www.icheckmovies.com/movies/die+morder+sind+unter+uns/,436,28,3,4,112,"Murderers Among Us",http://www.imdb.com/title/tt0038769/,no,no,no,no,no
7,11,"Der blaue Engel",1930,http://www.icheckmovies.com/movies/der+blaue+engel/,3736,322,22,16,326,"The Blue Angel",http://www.imdb.com/title/tt0020697/,"2018-10-17 22:04:57",no,no,no,no
8,,Metropolis,1927,http://www.icheckmovies.com/movies/metropolis/,26148,2644,134,33,918,,http://www.imdb.com/title/tt0017136/,"2018-04-26 21:26:24",no,no,no,yes
9,69,"Die freudlose Gasse",1925,http://www.icheckmovies.com/movies/die+freudlose+gasse/,439,22,4,7,141,"The Joyless Street",http://www.imdb.com/title/tt0015842/,"2018-12-02 21:31:33",no,no,no,no
10,38,"Der Untertan",1951,http://www.icheckmovies.com/movies/der+untertan/,154,7,0,3,53,"Man of Straw",http://www.imdb.com/title/tt0044170/,no,no,no,no,no
11,74,"Kuhle Wampe oder: Wem gehört die Welt?",1932,http://www.icheckmovies.com/movies/kuhle+wampe+oder+wem+gehort+die+weltquestion/,208,16,0,3,73,,http://www.imdb.com/title/tt0023104/,no,no,no,no,no
12,68,"Der Student von Prag",1913,http://www.icheckmovies.com/movies/der+student+von+prag/,405,5,3,5,76,"The Student of Prague",http://www.imdb.com/title/tt0003419/,no,no,no,no,no
13,7,"Die Brücke",1959,http://www.icheckmovies.com/movies/die+brucke/,739,89,1,6,153,"The Bridge",http://www.imdb.com/title/tt0052654/,"2018-10-17 22:06:28",no,no,no,no
14,89,"Abschied von gestern - (Anita G.)",1966,http://www.icheckmovies.com/movies/abschied+von+gestern+-+anita+g./,320,18,11,4,95,"Yesterday Girl",http://www.imdb.com/title/tt0060063/,no,no,no,no,no
15,46,"Mutter Krausens Fahrt ins Glück",1929,http://www.icheckmovies.com/movies/mutter+krausens+fahrt+ins+gluck/,89,8,0,3,49,"Mother Krause's Journey to Happiness",http://www.imdb.com/title/tt0020193/,no,no,no,no,no
