rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Xiao cheng zhi chun",1948,http://www.icheckmovies.com/movies/xiao+cheng+zhi+chun/,941,68,6,9,172,"Spring in a Small Town",http://www.imdb.com/title/tt0189219/,"2018-12-03 15:50:54",no,no,no,no
2,0,"Ying hung boon sik",1986,http://www.icheckmovies.com/movies/ying+hung+boon+sik/,1299,81,17,7,132,"A Better Tomorrow",http://www.imdb.com/title/tt0092263/,no,no,no,no,no
3,0,"Ah fei zing zyun",1990,http://www.icheckmovies.com/movies/ah+fei+zing+zyun/,2434,229,18,10,174,"Days of Being Wild",http://www.imdb.com/title/tt0101258/,"2018-04-28 22:47:23",no,no,no,no
4,0,"Huang tu di",1985,http://www.icheckmovies.com/movies/huang+tu+di/,562,40,7,9,135,"Yellow Earth",http://www.imdb.com/title/tt0087433/,"2018-12-03 15:26:38",no,no,no,no
5,0,"Beiqíng chéngshì",1989,http://www.icheckmovies.com/movies/beiqing+chengshi/,860,72,5,9,202,"A City of Sadness",http://www.imdb.com/title/tt0096908/,"2018-11-25 20:34:44",no,no,no,no
6,0,"Saang gong kei bing",1984,http://www.icheckmovies.com/movies/saang+gong+kei+bing/,89,3,1,3,28,"Long Arm of the Law",http://www.imdb.com/title/tt0088107/,no,no,no,no,no
7,0,"Long men kezhan",1967,http://www.icheckmovies.com/movies/long+men+kezhan/,508,31,0,7,99,"Dragon Inn",http://www.imdb.com/title/tt0060635/,"2018-10-17 22:26:09",no,no,no,no
8,0,"Tau ban no hoi",1982,http://www.icheckmovies.com/movies/tau+ban+no+hoi/,180,13,2,5,98,"Boat People",http://www.imdb.com/title/tt0084807/,no,no,no,no,no
9,0,"Xia nü",1971,http://www.icheckmovies.com/movies/xia+nu/,1161,103,14,14,229,"A Touch of Zen",http://www.imdb.com/title/tt0064451/,"2018-04-26 21:37:31",no,no,no,no
10,0,"Wo hu cang long",2000,http://www.icheckmovies.com/movies/wo+hu+cang+long/,34846,1998,230,23,615,"Crouching Tiger, Hidden Dragon",http://www.imdb.com/title/tt0190332/,"2018-04-26 21:50:35",no,no,no,no
11,0,"Malu tianshi",1937,http://www.icheckmovies.com/movies/malu+tianshi/,271,8,1,6,80,"Street Angel",http://www.imdb.com/title/tt0183828/,no,no,no,no,no
12,0,"Gu ling jie shao nian sha ren shi jian",1991,http://www.icheckmovies.com/movies/gu+ling+jie+shao+nian+sha+ren+shi+jian/,1125,166,13,13,264,"A Brighter Summer Day",http://www.imdb.com/title/tt0101985/,"2018-11-08 00:21:44",no,no,no,no
13,0,"Ban jin ba liang",1976,http://www.icheckmovies.com/movies/ban+jin+ba+liang/,115,9,0,4,43,"The Private Eyes",http://www.imdb.com/title/tt0074179/,no,no,no,no,no
14,0,"Cheung foh",1999,http://www.icheckmovies.com/movies/cheung+foh/,475,50,8,4,82,"The Mission",http://www.imdb.com/title/tt0220644/,no,no,no,no,no
15,0,"Du bei dao",1967,http://www.icheckmovies.com/movies/du+bei+dao/,673,36,5,4,68,"The One-Armed Swordsman",http://www.imdb.com/title/tt0061597/,"2018-12-13 09:33:15",no,no,no,no
16,0,"Jing wu men",1972,http://www.icheckmovies.com/movies/jing+wu+men/,2070,88,19,6,122,"The Chinese Connection",http://www.imdb.com/title/tt0068767/,"2018-10-17 22:18:05",no,no,no,no
17,0,"Yang guang can lan de ri zi",1994,http://www.icheckmovies.com/movies/yang+guang+can+lan+de+ri+zi/,228,29,1,3,124,"In the Heat of the Sun",http://www.imdb.com/title/tt0111786/,no,no,no,no,no
