rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"À nous la liberté",1931,http://www.icheckmovies.com/movies/a+nous+la+liberte/,1339,97,12,5,212,"À Nous la Liberté",http://www.imdb.com/title/tt0022599/,no,no,no,no,no
2,0,"About Schmidt",2002,http://www.icheckmovies.com/movies/about+schmidt/,13146,505,118,4,181,,http://www.imdb.com/title/tt0257360/,no,no,no,no,no
3,0,"Absence of Malice",1981,http://www.icheckmovies.com/movies/absence+of+malice/,1084,35,11,1,70,,http://www.imdb.com/title/tt0081974/,"2018-06-11 12:53:05",no,no,no,no
4,0,"Adam's Rib",1949,http://www.icheckmovies.com/movies/adams+rib/,3915,231,33,7,267,,http://www.imdb.com/title/tt0041090/,"2018-04-26 21:30:14",no,no,no,no
5,0,Adaptation.,2002,http://www.icheckmovies.com/movies/adaptation./,25170,2467,293,9,525,,http://www.imdb.com/title/tt0268126/,"2018-04-26 21:51:05",no,no,no,no
6,0,"The Adjuster",1991,http://www.icheckmovies.com/movies/the+adjuster/,404,24,6,3,62,,http://www.imdb.com/title/tt0101273/,no,no,no,no,no
7,0,"The Adventures of Robin Hood",1938,http://www.icheckmovies.com/movies/the+adventures+of+robin+hood/,13599,648,46,16,439,,http://www.imdb.com/title/tt0029843/,"2018-04-26 21:27:42",no,no,no,no
8,0,Affliction,1997,http://www.icheckmovies.com/movies/affliction/,1185,55,16,1,94,,http://www.imdb.com/title/tt0118564/,no,no,no,no,no
9,0,"The African Queen",1951,http://www.icheckmovies.com/movies/the+african+queen/,11508,613,84,10,373,,http://www.imdb.com/title/tt0043265/,"2018-04-26 21:30:54",no,no,no,no
10,0,"L'âge d'or",1930,http://www.icheckmovies.com/movies/lage+dor/,3716,218,57,15,305,"L'Age d'Or",http://www.imdb.com/title/tt0021577/,"2018-10-17 01:06:00",no,no,no,no
11,214,"Le journal d'une femme de chambre",1964,http://www.icheckmovies.com/movies/le+journal+dune+femme+de+chambre/,1261,87,7,3,120,"Diary of a Chambermaid",http://www.imdb.com/title/tt0058249/,"2018-06-11 12:53:53",no,no,no,no
12,-1,"Aguirre, der Zorn Gottes",1972,http://www.icheckmovies.com/movies/aguirre+der+zorn+gottes/,9412,1316,82,19,607,"Aguirre, the Wrath of God",http://www.imdb.com/title/tt0068182/,"2018-04-26 21:38:26",no,no,no,no
13,-1,"Artificial Intelligence: AI",2001,http://www.icheckmovies.com/movies/artificial+intelligence+ai/,49202,2047,714,11,399,,http://www.imdb.com/title/tt0212720/,"2018-04-26 21:50:54",no,no,no,no
14,-1,Airplane!,1980,http://www.icheckmovies.com/movies/airplaneexclamation/,45595,3032,219,13,516,,http://www.imdb.com/title/tt0080339/,"2018-04-26 21:41:49",no,no,no,no
15,-1,Aladdin,1992,http://www.icheckmovies.com/movies/aladdin/,92603,3642,156,13,460,,http://www.imdb.com/title/tt0103639/,"2018-01-31 08:56:27",no,no,no,no
16,-1,"Aleksandr Nevskiy",1938,http://www.icheckmovies.com/movies/aleksandr+nevskiy/,2181,115,20,13,227,"Alexander Nevsky",http://www.imdb.com/title/tt0029850/,"2018-11-08 00:21:28",no,no,no,no
17,-1,"Alice Doesn't Live Here Anymore",1974,http://www.icheckmovies.com/movies/alice+doesnt+live+here+anymore/,2968,151,23,3,156,,http://www.imdb.com/title/tt0071115/,"2018-06-11 12:53:57",no,no,no,no
18,-1,"Alice's Restaurant",1969,http://www.icheckmovies.com/movies/alices+restaurant/,691,14,10,1,69,,http://www.imdb.com/title/tt0064002/,no,no,no,no,no
19,-1,Aliens,1986,http://www.icheckmovies.com/movies/aliens/,62716,4388,243,21,847,,http://www.imdb.com/title/tt0090605/,"2018-01-10 16:56:20",no,no,no,no
20,-1,"All About Eve",1950,http://www.icheckmovies.com/movies/all+about+eve/,15894,1860,63,23,716,,http://www.imdb.com/title/tt0042192/,"2018-04-26 21:30:37",no,no,no,no
21,-1,"Todo sobre mi madre",1999,http://www.icheckmovies.com/movies/todo+sobre+mi+madre/,11719,1127,55,15,443,"All About My Mother",http://www.imdb.com/title/tt0185125/,"2018-04-26 21:50:05",no,no,no,no
22,-1,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,12673,696,62,17,485,,http://www.imdb.com/title/tt0020629/,"2018-04-26 21:26:45",no,no,no,yes
23,-1,"All That Heaven Allows",1955,http://www.icheckmovies.com/movies/all+that+heaven+allows/,3466,288,21,11,294,,http://www.imdb.com/title/tt0047811/,"2018-04-26 21:32:45",no,no,no,no
24,-1,"All the King's Men",1949,http://www.icheckmovies.com/movies/all+the+kings+men/,2437,99,14,8,186,,http://www.imdb.com/title/tt0041113/,"2018-06-11 12:53:57",no,no,no,no
25,-1,"All the President's Men",1976,http://www.icheckmovies.com/movies/all+the+presidents+men/,15730,1097,60,20,497,,http://www.imdb.com/title/tt0074119/,"2018-04-26 21:40:19",no,no,no,no
