rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Cabiria,1914,http://www.icheckmovies.com/movies/cabiria/,983,38,11,9,134,,http://www.imdb.com/title/tt0003740/,"2018-10-17 21:57:48",no,no,no,no
2,,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8327,161,266,21,384,,http://www.imdb.com/title/tt0004972/,"2018-06-09 19:24:58",no,no,no,no
3,,"The Cheat",1915,http://www.icheckmovies.com/movies/the+cheat/,646,20,9,5,97,,http://www.imdb.com/title/tt0005078/,no,no,no,no,no
4,,"Les vampires",1915,http://www.icheckmovies.com/movies/les+vampires/,1901,127,26,13,248,,http://www.imdb.com/title/tt0006206/,"2018-12-05 21:23:43",no,no,no,no
5,,"Intolerance: Love's Struggle Throughout the Ages",1916,http://www.icheckmovies.com/movies/intolerance+loves+struggle+throughout+the+ages/,4235,263,77,23,386,,http://www.imdb.com/title/tt0006864/,"2018-10-14 16:19:08",no,no,no,no
6,,Judex,1916,http://www.icheckmovies.com/movies/judex-1916/,239,21,0,4,105,,http://www.imdb.com/title/tt0006886/,no,no,no,no,no
7,,J'accuse,1919,http://www.icheckmovies.com/movies/jaccuse/,439,46,5,5,141,J'accuse!,http://www.imdb.com/title/tt0010307/,"2018-04-28 23:15:36",no,no,no,no
8,,"Tih Minh",1918,http://www.icheckmovies.com/movies/tih+minh/,115,14,0,6,111,,http://www.imdb.com/title/tt0009701/,no,no,no,no,no
9,,"Karin Ingmarsdotter",1920,http://www.icheckmovies.com/movies/karin+ingmarsdotter/,35,1,1,1,16,"God's Way",http://www.imdb.com/title/tt0011362/,no,no,no,no,no
10,,"True Heart Susie",1919,http://www.icheckmovies.com/movies/true+heart+susie/,638,37,10,7,104,,http://www.imdb.com/title/tt0010806/,"2018-12-05 09:42:55",no,no,no,no
11,,"Die Austernprinzessin",1919,http://www.icheckmovies.com/movies/die+austernprinzessin/,723,55,7,8,116,"The Oyster Princess",http://www.imdb.com/title/tt0009893/,"2018-12-04 14:55:47",no,no,no,no
12,,"Das Cabinet des Dr. Caligari",1920,http://www.icheckmovies.com/movies/das+cabinet+des+dr.+caligari/,14539,1237,68,26,698,"The Cabinet of Dr. Caligari",http://www.imdb.com/title/tt0010323/,"2018-04-26 21:19:40",no,no,no,yes
13,,"La roue",1923,http://www.icheckmovies.com/movies/la+roue/,706,75,10,7,191,"The Wheel",http://www.imdb.com/title/tt0014417/,no,no,no,no,no
14,,"Foolish Wives",1922,http://www.icheckmovies.com/movies/foolish+wives/,1097,47,18,10,190,,http://www.imdb.com/title/tt0013140/,"2018-11-17 19:17:58",no,no,no,no
15,,"Gunnar Hedes saga",1923,http://www.icheckmovies.com/movies/gunnar+hedes+saga/,53,5,2,2,41,"The Blizzard",http://www.imdb.com/title/tt0014108/,no,no,no,no,no
16,,"Die Nibelungen: Siegfried",1924,http://www.icheckmovies.com/movies/die+nibelungen+siegfried/,1334,152,11,11,231,,http://www.imdb.com/title/tt0015175/,"2018-06-09 19:25:13",no,no,no,no
17,,"Die Nibelungen: Kriemhilds Rache",1924,http://www.icheckmovies.com/movies/die+nibelungen+kriemhilds+rache/,992,98,11,11,200,"Die Nibelungen: Kriemhild's Revenge",http://www.imdb.com/title/tt0015174/,"2018-06-09 19:25:14",no,no,no,no
18,,"Der letzte Mann",1924,http://www.icheckmovies.com/movies/der+letzte+mann/,3159,349,23,16,331,"The Last Laugh",http://www.imdb.com/title/tt0015064/,"2018-10-17 22:23:44",no,no,no,no
19,,"The Navigator",1924,http://www.icheckmovies.com/movies/the+navigator/,2783,190,13,12,177,,http://www.imdb.com/title/tt0015163/,"2018-04-28 11:45:50",no,no,no,no
20,,L'inhumaine,1924,http://www.icheckmovies.com/movies/linhumaine/,260,22,1,7,116,"The Inhuman Woman",http://www.imdb.com/title/tt0015014/,no,no,no,no,no
21,,"Neobychainye priklyucheniya mistera Vesta v strane bolshevikov",1924,http://www.icheckmovies.com/movies/neobychainye+priklyucheniya+mistera+vesta+v+strane+bolshevikov/,269,10,2,4,65,"The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks",http://www.imdb.com/title/tt0015167/,no,no,no,no,no
22,,Greed,1924,http://www.icheckmovies.com/movies/greed/,2412,242,29,20,364,,http://www.imdb.com/title/tt0015881/,"2018-05-22 07:19:31",no,no,no,no
23,,Stachka,1925,http://www.icheckmovies.com/movies/stachka/,2171,159,21,13,241,Strike,http://www.imdb.com/title/tt0015361/,"2018-06-09 19:25:24",no,no,no,no
24,,"The Gold Rush",1925,http://www.icheckmovies.com/movies/the+gold+rush/,15185,1133,76,28,601,,http://www.imdb.com/title/tt0015864/,"2018-01-10 16:57:52",no,no,no,yes
25,,"The Freshman",1925,http://www.icheckmovies.com/movies/the+freshman/,1911,115,8,7,137,"College Days",http://www.imdb.com/title/tt0015841/,"2018-12-02 21:20:16",no,no,no,no
26,,"Visages d'enfants",1925,http://www.icheckmovies.com/movies/visages+denfants/,224,27,2,5,129,Mother,http://www.imdb.com/title/tt0016491/,no,no,no,no,no
27,,"The Unholy Three",1925,http://www.icheckmovies.com/movies/the+unholy+three/,377,14,2,3,70,,http://www.imdb.com/title/tt0016473/,no,no,no,no,no
28,,Varieté,1925,http://www.icheckmovies.com/movies/variete/,339,27,1,7,135,Variety,http://www.imdb.com/title/tt0016481/,no,no,no,no,no
29,,Tumbleweeds,1925,http://www.icheckmovies.com/movies/tumbleweeds/,241,4,2,2,57,,http://www.imdb.com/title/tt0016461/,no,no,no,no,no
30,,"Bronenosets Potemkin",1925,http://www.icheckmovies.com/movies/bronenosets+potemkin/,12525,810,78,26,641,"Battleship Potemkin",http://www.imdb.com/title/tt0015648/,"2018-04-26 21:25:25",no,no,no,yes
31,,Metropolis,1927,http://www.icheckmovies.com/movies/metropolis/,26148,2644,134,33,918,,http://www.imdb.com/title/tt0017136/,"2018-04-26 21:26:24",no,no,no,yes
32,,Mat,1926,http://www.icheckmovies.com/movies/mat/,671,43,6,7,147,Mother,http://www.imdb.com/title/tt0017128/,"2018-10-17 22:27:09",no,no,no,no
33,,"Po zakonu",1926,http://www.icheckmovies.com/movies/po+zakonu/,439,52,1,8,151,"By the Law",http://www.imdb.com/title/tt0017271/,no,no,no,no,no
34,,"Hands Up!",1926,http://www.icheckmovies.com/movies/hands+upexclamation/,95,4,2,4,38,,http://www.imdb.com/title/tt0016947/,no,no,no,no,no
35,,"Flesh and the Devil",1926,http://www.icheckmovies.com/movies/flesh+and+the+devil/,846,65,7,8,126,,http://www.imdb.com/title/tt0016884/,"2018-12-02 22:06:07",no,no,no,no
36,,"The Lodger: A Story of the London Fog",1927,http://www.icheckmovies.com/movies/the+lodger+a+story+of+the+london+fog/,2127,119,12,10,181,"The Lodger",http://www.imdb.com/title/tt0017075/,"2018-04-28 23:03:20",no,no,no,no
37,,"The Strong Man",1926,http://www.icheckmovies.com/movies/the+strong+man/,222,4,3,4,51,,http://www.imdb.com/title/tt0017437/,no,no,no,no,no
38,,"Geheimnisse einer Seele",1926,http://www.icheckmovies.com/movies/geheimnisse+einer+seele/,157,3,1,2,47,"Secrets of a Soul",http://www.imdb.com/title/tt0016914/,no,no,no,no,no
39,,"Faust: Eine deutsche Volkssage",1926,http://www.icheckmovies.com/movies/faust+eine+deutsche+volkssage/,3618,376,18,15,335,Faust,http://www.imdb.com/title/tt0016847/,"2018-04-28 11:47:09",no,no,no,no
40,,"Kurutta ippêji",1926,http://www.icheckmovies.com/movies/kurutta+ippeji/,861,104,9,10,231,"A Page of Madness",http://www.imdb.com/title/tt0017048/,"2018-12-05 22:05:00",no,no,no,no
41,,"Napoléon vu par Abel Gance",1927,http://www.icheckmovies.com/movies/napoleon+vu+par+abel+gance/,1784,188,23,18,387,Napoleon,http://www.imdb.com/title/tt0018192/,"2018-04-26 21:26:34",no,no,no,yes
42,,"Sunrise: A Song of Two Humans",1927,http://www.icheckmovies.com/movies/sunrise+a+song+of+two+humans/,8624,1369,74,33,707,,http://www.imdb.com/title/tt0018455/,"2018-04-26 21:26:26",no,no,no,yes
43,,"Un chapeau de paille d'Italie",1928,http://www.icheckmovies.com/movies/un+chapeau+de+paille+ditalie/,334,9,6,6,116,"The Horse Ate the Hat",http://www.imdb.com/title/tt0018523/,no,no,no,no,no
44,,"Berlin: Die Sinfonie der Grosstadt",1927,http://www.icheckmovies.com/movies/berlin+die+sinfonie+der+grosstadt/,1447,85,10,11,184,"Berlin: Symphony of a Great City",http://www.imdb.com/title/tt0017668/,"2018-10-17 21:55:19",no,no,no,no
45,,"The Crowd",1928,http://www.icheckmovies.com/movies/the+crowd/,2291,301,17,18,295,,http://www.imdb.com/title/tt0018806/,"2018-11-08 00:21:10",no,no,no,no
46,,Love,1927,http://www.icheckmovies.com/movies/love/,130,9,3,1,36,,http://www.imdb.com/title/tt0018107/,no,no,no,no,no
47,,"La passion de Jeanne d'Arc",1928,http://www.icheckmovies.com/movies/la+passion+de+jeanne+darc/,9619,1242,82,27,675,"The Passion of Joan of Arc",http://www.imdb.com/title/tt0019254/,"2018-06-09 19:24:22",no,no,no,no
48,,"The Man Who Laughs",1928,http://www.icheckmovies.com/movies/the+man+who+laughs/,1614,142,9,7,155,,http://www.imdb.com/title/tt0019130/,no,no,no,no,no
49,,"The Docks of New York",1928,http://www.icheckmovies.com/movies/the+docks+of+new+york/,1541,133,9,10,187,,http://www.imdb.com/title/tt0018839/,"2018-11-25 14:57:44",no,no,no,no
50,,"Steamboat Bill, Jr.",1928,http://www.icheckmovies.com/movies/steamboat+bill+jr./,4616,366,13,13,268,,http://www.imdb.com/title/tt0019421/,"2018-10-17 22:39:20",no,no,no,no
51,,"Dom na Trubnoy",1928,http://www.icheckmovies.com/movies/dom+na+trubnoy/,194,13,1,3,79,Parasha,http://www.imdb.com/title/tt0018841/,no,no,no,no,no
52,,Oktyabr,1928,http://www.icheckmovies.com/movies/oktyabr/,1756,65,20,13,207,"October (Ten Days that Shook the World)",http://www.imdb.com/title/tt0018217/,"2018-10-17 22:32:19",no,no,no,no
53,,"The Wind",1928,http://www.icheckmovies.com/movies/the+wind/,1601,217,10,14,255,,http://www.imdb.com/title/tt0019585/,"2018-11-16 13:55:15",no,no,no,no
54,,"Queen Kelly",1929,http://www.icheckmovies.com/movies/queen+kelly/,658,26,6,8,101,,http://www.imdb.com/title/tt0020298/,"2018-12-03 15:27:01",no,no,no,no
55,,Heimkehr,1928,http://www.icheckmovies.com/movies/heimkehr/,52,1,0,2,30,Homecoming,http://www.imdb.com/title/tt0018990/,no,no,no,no,no
56,,"Chelovek s kino-apparatom",1929,http://www.icheckmovies.com/movies/chelovek+s+kino-apparatom/,5777,800,46,21,505,"Man with a Movie Camera",http://www.imdb.com/title/tt0019760/,"2018-10-17 21:58:59",no,no,no,no
57,,L'argent,1928,http://www.icheckmovies.com/movies/largent-1928-1/,407,42,0,7,151,,http://www.imdb.com/title/tt0019646/,"2018-12-05 22:11:11",no,no,no,no
58,,Asphalt,1929,http://www.icheckmovies.com/movies/asphalt/,408,30,2,5,101,,http://www.imdb.com/title/tt0019655/,"2018-10-17 21:53:35",no,no,no,no
59,,Spione,1928,http://www.icheckmovies.com/movies/spione/,800,65,3,9,165,Spies,http://www.imdb.com/title/tt0019415/,no,no,no,no,no
60,,Blackmail,1929,http://www.icheckmovies.com/movies/blackmail/,2422,80,13,7,172,,http://www.imdb.com/title/tt0019702/,no,no,no,no,no
61,,"Die wunderbare Lüge der Nina Petrowna",1929,http://www.icheckmovies.com/movies/die+wunderbare+luge+der+nina+petrowna/,89,9,1,3,36,"The Wonderful Lies of Nina Petrovna",http://www.imdb.com/title/tt0020608/,no,no,no,no,no
62,,Piccadilly,1929,http://www.icheckmovies.com/movies/piccadilly/,325,16,4,5,77,,http://www.imdb.com/title/tt0020269/,no,no,no,no,no
63,,"Die Büchse der Pandora",1929,http://www.icheckmovies.com/movies/die+buchse+der+pandora/,2951,282,21,16,356,"Pandora's Box",http://www.imdb.com/title/tt0018737/,"2018-06-14 00:48:54",no,no,no,no
64,,"Menschen am Sonntag",1930,http://www.icheckmovies.com/movies/menschen+am+sonntag/,941,79,10,10,176,"People on Sunday",http://www.imdb.com/title/tt0020163/,"2018-11-19 21:31:52",no,no,no,no
65,,Applause,1929,http://www.icheckmovies.com/movies/applause/,370,16,1,4,71,,http://www.imdb.com/title/tt0019644/,no,no,no,no,no
66,,"The Big Trail",1930,http://www.icheckmovies.com/movies/the+big+trail/,407,26,1,4,103,,http://www.imdb.com/title/tt0020691/,"2018-10-17 21:55:43",no,no,no,no
67,,Zemlya,1930,http://www.icheckmovies.com/movies/zemlya/,1722,105,39,15,270,Earth,http://www.imdb.com/title/tt0021571/,"2018-10-30 01:08:16",no,no,no,no
68,,"Der blaue Engel",1930,http://www.icheckmovies.com/movies/der+blaue+engel/,3736,322,22,16,326,"The Blue Angel",http://www.imdb.com/title/tt0020697/,"2018-10-17 22:04:57",no,no,no,no
69,,"L'âge d'or",1930,http://www.icheckmovies.com/movies/lage+dor/,3716,218,57,15,305,"L'Age d'Or",http://www.imdb.com/title/tt0021577/,"2018-10-17 01:06:00",no,no,no,no
70,,"Little Caesar",1931,http://www.icheckmovies.com/movies/little+caesar/,2513,94,15,9,243,,http://www.imdb.com/title/tt0021079/,"2018-06-11 13:05:35",no,no,no,no
71,,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,12673,696,62,17,485,,http://www.imdb.com/title/tt0020629/,"2018-04-26 21:26:45",no,no,no,yes
72,,Ariane,1931,http://www.icheckmovies.com/movies/ariane/,21,0,0,1,13,,http://www.imdb.com/title/tt0021616/,no,no,no,no,no
73,,Frankenstein,1931,http://www.icheckmovies.com/movies/frankenstein/,18420,705,66,19,592,,http://www.imdb.com/title/tt0021884/,"2018-04-26 21:26:48",no,no,no,yes
