rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Cannibal Holocaust",1980,http://www.icheckmovies.com/movies/cannibal+holocaust/,5971,233,244,3,241,,http://www.imdb.com/title/tt0078935/,no,no,no,no,no
2,0,"Paura nella città dei morti viventi",1980,http://www.icheckmovies.com/movies/paura+nella+citta+dei+morti+viventi/,1052,60,34,2,125,"City of the Living Dead",http://www.imdb.com/title/tt0081318/,no,no,no,no,no
3,0,Coffy,1973,http://www.icheckmovies.com/movies/coffy/,1459,84,10,2,110,,http://www.imdb.com/title/tt0069897/,"2018-11-08 00:25:34",no,no,no,no
4,0,"Dawn of the Dead",1978,http://www.icheckmovies.com/movies/dawn+of+the+dead/,28359,1578,143,16,571,"Dawn of the Living Dead",http://www.imdb.com/title/tt0077402/,"2018-04-26 21:41:04",no,no,no,no
5,0,"Dirty Mary Crazy Larry",1974,http://www.icheckmovies.com/movies/dirty+mary+crazy+larry/,757,38,13,2,57,,http://www.imdb.com/title/tt0071424/,no,no,no,no,no
6,0,"Faster, Pussycat! Kill! Kill!",1965,http://www.icheckmovies.com/movies/faster+pussycatexclamation+killexclamation+killexclamation/,3959,251,62,7,168,"The Leather Girls",http://www.imdb.com/title/tt0059170/,"2018-10-17 01:31:57",no,no,no,no
7,0,"Joshû 701-gô: Sasori",1972,http://www.icheckmovies.com/movies/joshu+701-go+sasori/,439,41,4,1,95,"Female Prisoner #701: Scorpion",http://www.imdb.com/title/tt0226872/,no,no,no,no,no
8,0,"Fight for Your Life",1977,http://www.icheckmovies.com/movies/fight+for+your+life/,235,12,9,1,53,"Blood Bath at 1313 Fury Road",http://www.imdb.com/title/tt0076023/,no,no,no,no,no
9,0,"Tian xia di yi quan",1972,http://www.icheckmovies.com/movies/tian+xia+di+yi+quan/,784,31,4,5,83,"Five Fingers of Death",http://www.imdb.com/title/tt0070800/,no,no,no,no,no
10,0,Halloween,1978,http://www.icheckmovies.com/movies/halloween/,34610,1639,189,14,667,,http://www.imdb.com/title/tt0077651/,"2018-04-26 21:41:09",no,no,no,no
