rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"10 Things I Hate About You",1999,http://www.icheckmovies.com/movies/10+things+i+hate+about+you/,31309,2018,183,1,206,,http://www.imdb.com/title/tt0147800/,no,no,no,no,no
2,0,"2001: A Space Odyssey",1968,http://www.icheckmovies.com/movies/2001+a+space+odyssey/,65079,7556,828,42,1443,,http://www.imdb.com/title/tt0062622/,"2018-01-10 16:56:52",no,no,no,no
3,0,"24 Hour Party People",2002,http://www.icheckmovies.com/movies/24+hour+party+people/,6102,447,35,4,149,,http://www.imdb.com/title/tt0274309/,no,no,no,no,no
4,0,"37°2 le matin",1986,http://www.icheckmovies.com/movies/372+le+matin/,1870,164,28,6,197,"Betty Blue",http://www.imdb.com/title/tt0090563/,"2018-01-31 09:27:16",no,no,no,no
5,0,"The 39 Steps",1935,http://www.icheckmovies.com/movies/the+39+steps/,10659,671,45,14,391,,http://www.imdb.com/title/tt0026029/,"2018-04-26 21:27:23",no,no,no,no
6,0,"8 Mile",2002,http://www.icheckmovies.com/movies/8+mile/,40003,915,321,3,178,,http://www.imdb.com/title/tt0298203/,"2018-04-28 22:47:19",no,no,no,no
7,0,8½,1963,http://www.icheckmovies.com/movies/8half/,17750,2169,265,33,816,"Federico Fellini's 8 1/2",http://www.imdb.com/title/tt0056801/,"2018-04-26 21:35:36",no,no,no,no
8,0,"À bout de souffle",1960,http://www.icheckmovies.com/movies/a+bout+de+souffle/,14613,1642,126,28,718,Breathless,http://www.imdb.com/title/tt0053472/,"2018-04-26 21:33:49",no,no,no,no
9,0,"Ah fei zing zyun",1990,http://www.icheckmovies.com/movies/ah+fei+zing+zyun/,2434,229,18,10,174,"Days of Being Wild",http://www.imdb.com/title/tt0101258/,"2018-04-28 22:47:23",no,no,no,no
10,0,"Ace in the Hole",1951,http://www.icheckmovies.com/movies/ace+in+the+hole/,5663,782,24,18,393,,http://www.imdb.com/title/tt0043338/,"2018-04-26 21:30:45",no,no,no,no
11,0,"Ace Ventura: Pet Detective",1994,http://www.icheckmovies.com/movies/ace+ventura+pet+detective/,27046,732,320,2,164,,http://www.imdb.com/title/tt0109040/,"2018-04-28 22:47:27",no,no,no,no
12,0,"The Addiction",1995,http://www.icheckmovies.com/movies/the+addiction/,1207,72,43,4,130,,http://www.imdb.com/title/tt0112288/,no,no,no,no,no
13,0,"The Adjuster",1991,http://www.icheckmovies.com/movies/the+adjuster/,404,24,6,3,62,,http://www.imdb.com/title/tt0101273/,no,no,no,no,no
