rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Donnie Darko",2001,http://www.icheckmovies.com/movies/donnie+darko/,86525,9466,952,18,887,,http://www.imdb.com/title/tt0246578/,"2018-04-28 15:55:59",no,no,no,no
2,0,"Morvern Callar",2002,http://www.icheckmovies.com/movies/morvern+callar/,1942,114,38,4,125,,http://www.imdb.com/title/tt0300214/,"2018-11-25 20:33:33",no,no,no,no
3,0,"Irma Vep",1996,http://www.icheckmovies.com/movies/irma+vep/,1250,91,13,6,150,,http://www.imdb.com/title/tt0116650/,"2018-10-17 22:17:36",no,no,no,no
4,0,"Miami Blues",1990,http://www.icheckmovies.com/movies/miami+blues/,939,43,13,2,63,,http://www.imdb.com/title/tt0100143/,"2018-11-08 00:26:54",no,no,no,no
5,0,"Babe: Pig in the City",1998,http://www.icheckmovies.com/movies/babe+pig+in+the+city/,15059,139,251,1,84,,http://www.imdb.com/title/tt0120595/,no,no,no,no,no
6,0,"They Live",1988,http://www.icheckmovies.com/movies/they+live/,9412,889,63,6,319,,http://www.imdb.com/title/tt0096256/,"2018-10-17 22:40:49",no,no,no,no
7,0,Clerks,1994,http://www.icheckmovies.com/movies/clerks-1994/,35304,2881,270,5,384,,http://www.imdb.com/title/tt0109445/,"2018-04-26 21:47:51",no,no,no,no
8,0,Primer,2004,http://www.icheckmovies.com/movies/primer/,15627,1442,225,6,308,,http://www.imdb.com/title/tt0390384/,"2018-10-17 22:34:44",no,no,no,no
9,0,Pi,1998,http://www.icheckmovies.com/movies/pi/,20916,1702,268,5,322,,http://www.imdb.com/title/tt0138704/,"2018-04-26 21:49:39",no,no,no,no
10,0,"The Blair Witch Project",1999,http://www.icheckmovies.com/movies/the+blair+witch+project/,49006,1359,1112,11,470,,http://www.imdb.com/title/tt0185937/,"2018-04-26 21:50:01",no,no,no,no
11,0,"Soy Cuba",1964,http://www.icheckmovies.com/movies/soy+cuba/,1873,333,11,12,278,"I Am Cuba",http://www.imdb.com/title/tt0058604/,"2018-11-08 00:21:34",no,no,no,no
12,0,"The Rules of Attraction",2002,http://www.icheckmovies.com/movies/the+rules+of+attraction/,5945,290,116,2,111,,http://www.imdb.com/title/tt0292644/,no,no,no,no,no
13,0,"Kiss Kiss Bang Bang",2005,http://www.icheckmovies.com/movies/kiss+kiss+bang+bang/,26292,2347,152,5,324,,http://www.imdb.com/title/tt0373469/,"2018-10-17 01:44:47",no,no,no,no
14,0,"Fast, Cheap & Out of Control",1997,http://www.icheckmovies.com/movies/fast+cheap+and+out+of+control/,986,74,11,5,100,,http://www.imdb.com/title/tt0119107/,no,no,no,no,no
15,0,"Batoru rowaiaru",2000,http://www.icheckmovies.com/movies/batoru+rowaiaru/,22515,2066,161,8,474,"Battle Royale",http://www.imdb.com/title/tt0266308/,"2018-04-28 22:49:44",no,no,no,no
16,0,"Dead Man",1995,http://www.icheckmovies.com/movies/dead+man/,11129,1208,114,12,394,,http://www.imdb.com/title/tt0112817/,"2018-04-26 21:48:38",no,no,no,no
17,0,"Wet Hot American Summer",2001,http://www.icheckmovies.com/movies/wet+hot+american+summer/,7378,502,113,1,120,,http://www.imdb.com/title/tt0243655/,"2018-11-08 00:36:14",no,no,no,no
18,0,"The Boondock Saints",1999,http://www.icheckmovies.com/movies/the+boondock+saints/,26062,2135,501,2,207,,http://www.imdb.com/title/tt0144117/,"2018-10-17 21:56:55",no,no,no,no
19,0,"Punch-Drunk Love",2002,http://www.icheckmovies.com/movies/punch-drunk+love/,21444,1688,363,10,385,,http://www.imdb.com/title/tt0272338/,"2018-11-08 00:21:58",no,no,no,no
20,0,"Wild Things",1998,http://www.icheckmovies.com/movies/wild+things/,9135,190,142,1,69,,http://www.imdb.com/title/tt0120890/,"2018-11-08 01:35:12",no,no,no,no
21,0,"Road House",1989,http://www.icheckmovies.com/movies/road+house-1989/,4993,161,57,3,73,,http://www.imdb.com/title/tt0098206/,no,no,no,no,no
