rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Traffic Crossing Leeds Bridge",1888,http://www.icheckmovies.com/movies/traffic+crossing+leeds+bridge/,1455,16,15,1,38,,http://www.imdb.com/title/tt0343112/,"2018-11-08 01:55:50",no,no,no,no
2,0,"Annabelle Serpentine Dance",1895,http://www.icheckmovies.com/movies/annabelle+serpentine+dance/,2086,46,13,2,46,,http://www.imdb.com/title/tt0154152/,no,no,no,no,no
3,0,"La sortie des usines Lumière",1895,http://www.icheckmovies.com/movies/la+sortie+des+usines+lumiere/,5371,76,28,9,120,"Employees Leaving the Lumière Factory",http://www.imdb.com/title/tt0000010/,"2018-11-25 14:34:46",no,no,no,no
4,0,Sandow,1896,http://www.icheckmovies.com/movies/sandow/,1257,10,20,2,21,,http://www.imdb.com/title/tt1428455/,no,no,no,no,no
5,0,"L'arrivée d'un train à La Ciotat",1896,http://www.icheckmovies.com/movies/larrivee+dun+train+a+la+ciotat/,6407,109,31,11,175,"The Arrival of a Train",http://www.imdb.com/title/tt0000012/,"2018-06-07 13:31:35",no,no,no,no
6,0,"The Kiss",1896,http://www.icheckmovies.com/movies/the+kiss/,3058,35,37,4,58,"The May Irwin Kiss",http://www.imdb.com/title/tt0139738/,no,no,no,no,no
7,0,"The Corbett-Fitzsimmons Fight",1897,http://www.icheckmovies.com/movies/the+corbett-fitzsimmons+fight/,478,2,7,2,21,,http://www.imdb.com/title/tt0000147/,no,no,no,no,no
8,0,"La lune à un mètre",1898,http://www.icheckmovies.com/movies/la+lune+a+un+metre/,1184,35,6,1,46,"A Trip to the Moon",http://www.imdb.com/title/tt0000211/,no,no,no,no,no
9,0,Cendrillon,1899,http://www.icheckmovies.com/movies/cendrillon/,888,14,7,2,34,Cinderella,http://www.imdb.com/title/tt0000230/,no,no,no,no,no
10,0,"The Kiss in the Tunnel",1899,http://www.icheckmovies.com/movies/the+kiss+in+the+tunnel/,1033,11,9,1,31,,http://www.imdb.com/title/tt0000248/,no,no,no,no,no
11,0,"What Happened on Twenty-third Street, New York City",1901,http://www.icheckmovies.com/movies/what+happened+on+twenty-third+street+new+york+city/,892,14,11,1,20,,http://www.imdb.com/title/tt0312017/,no,no,no,no,no
12,0,"Life of an American Fireman",1903,http://www.icheckmovies.com/movies/life+of+an+american+fireman/,1635,18,13,4,59,,http://www.imdb.com/title/tt0000447/,no,no,no,no,no
13,0,"The Great Train Robbery",1903,http://www.icheckmovies.com/movies/the+great+train+robbery/,10376,231,26,11,249,,http://www.imdb.com/title/tt0000439/,"2018-06-09 19:24:55",no,no,no,no
14,0,"The Sick Kitten",1903,http://www.icheckmovies.com/movies/the+sick+kitten-1903/,901,18,6,1,26,,http://www.imdb.com/title/tt0000469/,no,no,no,no,no
15,0,"The Story of the Kelly Gang",1906,http://www.icheckmovies.com/movies/the+story+of+the+kelly+gang/,321,5,3,3,44,,http://www.imdb.com/title/tt0000574/,no,no,no,no,no
16,0,"L'assassinat du duc de Guise",1908,http://www.icheckmovies.com/movies/lassassinat+du+duc+de+guise/,544,3,4,1,36,"The Assassination of the Duke de Guise",http://www.imdb.com/title/tt0000637/,no,no,no,no,no
17,0,"Rescued from an Eagle's Nest",1908,http://www.icheckmovies.com/movies/rescued+from+an+eagles+nest/,487,2,10,1,28,,http://www.imdb.com/title/tt0000749/,no,no,no,no,no
18,0,"The Mended Lute",1909,http://www.icheckmovies.com/movies/the+mended+lute/,290,0,8,1,16,,http://www.imdb.com/title/tt0000960/,no,no,no,no,no
19,0,"Those Awful Hats",1909,http://www.icheckmovies.com/movies/those+awful+hats/,749,21,11,1,30,,http://www.imdb.com/title/tt0001062/,no,no,no,no,no
20,0,Afgrunden,1910,http://www.icheckmovies.com/movies/afgrunden/,369,11,4,2,62,"The Woman Always Pays",http://www.imdb.com/title/tt0001105/,no,no,no,no,no
21,0,"The House with Closed Shutters",1910,http://www.icheckmovies.com/movies/the+house+with+closed+shutters/,286,4,4,1,21,,http://www.imdb.com/title/tt0001256/,no,no,no,no,no
22,0,"Falling Leaves",1912,http://www.icheckmovies.com/movies/falling+leaves/,414,9,4,1,35,,http://www.imdb.com/title/tt0210675/,"2018-12-03 16:28:35",no,no,no,no
23,0,"Ingeborg Holm",1913,http://www.icheckmovies.com/movies/ingeborg+holm/,403,16,1,5,85,,http://www.imdb.com/title/tt0003014/,no,no,no,no,no
24,,"Die Katastrophe der Titanic",1912,http://www.icheckmovies.com/movies/die+katastrophe+der+titanic/,316,2,1,1,6,,http://www.imdb.com/title/tt1056202/,no,no,no,no,no
25,-1,"Raja Harishchandra",1913,http://www.icheckmovies.com/movies/raja+harishchandra/,182,1,3,3,31,Harischandra,http://www.imdb.com/title/tt0003311/,no,no,no,no,no
26,-1,Suspense,1913,http://www.icheckmovies.com/movies/suspense-1913/,655,66,0,1,79,,http://www.imdb.com/title/tt0003424/,no,no,no,no,no
27,-1,Cabiria,1914,http://www.icheckmovies.com/movies/cabiria/,983,38,11,9,134,,http://www.imdb.com/title/tt0003740/,"2018-10-17 21:57:48",no,no,no,no
28,-1,"Gertie the Dinosaur",1914,http://www.icheckmovies.com/movies/gertie+the+dinosaur/,3557,98,15,5,99,"Gertie the Trained Dinosaur",http://www.imdb.com/title/tt0004008/,"2018-11-25 21:45:20",no,no,no,no
29,-1,"Det hemmelighedsfulde X",1914,http://www.icheckmovies.com/movies/det+hemmelighedsfulde+x/,195,5,3,3,61,"The Mysterious X",http://www.imdb.com/title/tt0004066/,no,no,no,no,no
30,-1,"The Squaw Man",1914,http://www.icheckmovies.com/movies/the+squaw+man/,123,1,1,1,30,"The White Man",http://www.imdb.com/title/tt0004635/,no,no,no,no,no
31,-1,"Posle smerti",1916,http://www.icheckmovies.com/movies/posle+smerti/,390,21,3,3,82,"After Death",http://www.imdb.com/title/tt0005916/,no,no,no,no,no
32,-1,"Robert und Bertram, die lustigen Vagabunden",1915,http://www.icheckmovies.com/movies/robert+und+bertram+die+lustigen+vagabunden/,7,0,3,1,9,"Robert and Beltran",http://www.imdb.com/title/tt0338389/,no,no,no,no,no
33,-1,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8327,161,266,21,384,,http://www.imdb.com/title/tt0004972/,"2018-06-09 19:24:58",no,no,no,no
34,-1,"Intolerance: Love's Struggle Throughout the Ages",1916,http://www.icheckmovies.com/movies/intolerance+loves+struggle+throughout+the+ages/,4235,263,77,23,386,,http://www.imdb.com/title/tt0006864/,"2018-10-14 16:19:08",no,no,no,no
35,-1,"Luke's Movie Muddle",1916,http://www.icheckmovies.com/movies/lukes+movie+muddle/,292,0,7,1,16,"Director of the Cinema",http://www.imdb.com/title/tt0006978/,no,no,no,no,no
36,-1,"Blind Husbands",1919,http://www.icheckmovies.com/movies/blind+husbands/,371,17,1,5,84,,http://www.imdb.com/title/tt0009937/,no,no,no,no,no
37,-1,"Die Austernprinzessin",1919,http://www.icheckmovies.com/movies/die+austernprinzessin/,723,55,7,8,116,"The Oyster Princess",http://www.imdb.com/title/tt0009893/,"2018-12-04 14:55:47",no,no,no,no
38,-1,Præsidenten,1919,http://www.icheckmovies.com/movies/praesidenten/,141,8,2,1,28,"The President",http://www.imdb.com/title/tt0010598/,no,no,no,no,no
39,-1,"Haunted Spooks",1920,http://www.icheckmovies.com/movies/haunted+spooks/,305,6,3,1,31,,http://www.imdb.com/title/tt0011263/,no,no,no,no,no
