rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"The Kiss",1896,http://www.icheckmovies.com/movies/the+kiss/,3058,35,37,4,58,"The May Irwin Kiss",http://www.imdb.com/title/tt0139738/,no,no,no,no,no
2,0,"The Birth of a Nation",1915,http://www.icheckmovies.com/movies/the+birth+of+a+nation/,8327,161,266,21,384,,http://www.imdb.com/title/tt0004972/,"2018-06-09 19:24:58",no,no,no,no
3,,"L'âge d'or",1930,http://www.icheckmovies.com/movies/lage+dor/,3716,218,57,15,305,"L'Age d'Or",http://www.imdb.com/title/tt0021577/,"2018-10-17 01:06:00",no,no,no,no
4,-1,"All Quiet on the Western Front",1930,http://www.icheckmovies.com/movies/all+quiet+on+the+western+front/,12673,696,62,17,485,,http://www.imdb.com/title/tt0020629/,"2018-04-26 21:26:45",no,no,no,yes
5,-1,Freaks,1932,http://www.icheckmovies.com/movies/freaks/,10789,1044,51,16,518,"The Monster Show",http://www.imdb.com/title/tt0022913/,"2018-10-17 22:09:43",no,no,no,no
6,-1,Scarface,1932,http://www.icheckmovies.com/movies/scarface-1932-1/,8661,417,37,14,345,,http://www.imdb.com/title/tt0023427/,"2018-10-17 22:37:08",no,no,no,no
7,-1,Ekstase,1933,http://www.icheckmovies.com/movies/ekstase/,427,22,5,5,119,Ecstasy,http://www.imdb.com/title/tt0022867/,no,no,no,no,no
8,-1,"Triumph des Willens",1935,http://www.icheckmovies.com/movies/triumph+des+willens/,3915,119,66,16,269,"Triumph of the Will",http://www.imdb.com/title/tt0025913/,"2018-04-26 21:27:15",no,no,no,yes
9,-1,"Child Bride",1938,http://www.icheckmovies.com/movies/child+bride/,152,0,10,1,25,,http://www.imdb.com/title/tt0029989/,no,no,no,no,no
10,-1,"Citizen Kane",1941,http://www.icheckmovies.com/movies/citizen+kane/,47141,4422,394,36,1275,,http://www.imdb.com/title/tt0033467/,"2018-04-26 21:28:18",no,no,no,no
11,-1,"The Outlaw",1943,http://www.icheckmovies.com/movies/the+outlaw/,417,5,21,2,83,,http://www.imdb.com/title/tt0036241/,no,no,no,no,no
12,-1,"Song of the South",1946,http://www.icheckmovies.com/movies/song+of+the+south/,2210,41,21,2,80,,http://www.imdb.com/title/tt0038969/,no,no,no,no,no
13,,L'amore,1948,http://www.icheckmovies.com/movies/lamore/,293,12,7,4,69,,http://www.imdb.com/title/tt0040092/,no,no,no,no,no
14,-2,"The Moon Is Blue",1953,http://www.icheckmovies.com/movies/the+moon+is+blue/,297,22,10,3,84,,http://www.imdb.com/title/tt0046094/,"2018-11-08 00:28:11",no,no,no,no
15,-2,"Baby Doll",1956,http://www.icheckmovies.com/movies/baby+doll/,1076,73,9,5,174,,http://www.imdb.com/title/tt0048973/,"2018-12-02 14:10:56",no,no,no,no
16,-2,"Peeping Tom",1960,http://www.icheckmovies.com/movies/peeping+tom/,6944,659,40,20,471,"Face of Fear",http://www.imdb.com/title/tt0054167/,"2018-04-26 21:34:10",no,no,no,no
17,-2,Psycho,1960,http://www.icheckmovies.com/movies/psycho/,68008,6069,125,38,1387,,http://www.imdb.com/title/tt0054215/,"2018-01-10 16:55:24",no,no,no,no
18,-2,Victim,1961,http://www.icheckmovies.com/movies/victim/,834,78,6,7,153,,http://www.imdb.com/title/tt0055597/,no,no,no,no,no
19,-2,Viridiana,1961,http://www.icheckmovies.com/movies/viridiana/,4430,554,30,23,427,,http://www.imdb.com/title/tt0055601/,"2018-06-11 13:14:32",no,no,no,no
20,-2,Lolita,1962,http://www.icheckmovies.com/movies/lolita/,16102,969,101,11,391,,http://www.imdb.com/title/tt0056193/,"2018-04-26 21:35:27",no,no,no,no
21,-2,"Mondo cane",1962,http://www.icheckmovies.com/movies/mondo+cane/,812,33,19,2,98,"A Dog's Life",http://www.imdb.com/title/tt0057318/,no,no,no,no,no
22,-2,"Bonnie and Clyde",1967,http://www.icheckmovies.com/movies/bonnie+and+clyde/,22311,1408,68,27,675,,http://www.imdb.com/title/tt0061418/,"2018-04-26 21:37:03",no,no,no,no
23,-2,"Jag är nyfiken - en film i gult",1967,http://www.icheckmovies.com/movies/jag+ar+nyfiken+-+en+film+i+gult/,810,39,26,5,112,"I Am Curious (Yellow)",http://www.imdb.com/title/tt0061834/,no,no,no,no,no
24,-2,"Titicut Follies",1967,http://www.icheckmovies.com/movies/titicut+follies/,1031,82,5,7,156,,http://www.imdb.com/title/tt0062374/,"2018-12-02 23:20:02",no,no,no,no
