rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Brief Encounter",1945,http://www.icheckmovies.com/movies/brief+encounter/,7316,857,53,21,462,,http://www.imdb.com/title/tt0037558/,"2018-04-26 21:29:24",no,no,no,no
2,,Casablanca,1942,http://www.icheckmovies.com/movies/casablanca/,54363,5711,258,36,1206,,http://www.imdb.com/title/tt0034583/,"2018-04-26 21:28:37",no,no,no,no
3,,"Faa yeung nin wa",2000,http://www.icheckmovies.com/movies/faa+yeung+nin+wa/,12528,2148,94,26,690,"In the Mood for Love",http://www.imdb.com/title/tt0118694/,"2018-01-31 08:54:55",no,no,no,no
4,,"Annie Hall",1977,http://www.icheckmovies.com/movies/annie+hall/,38021,4263,351,31,967,,http://www.imdb.com/title/tt0075686/,"2018-01-31 08:55:45",no,no,no,no
5,,"Harold and Maude",1971,http://www.icheckmovies.com/movies/harold+and+maude/,14407,1975,133,17,456,,http://www.imdb.com/title/tt0067185/,"2018-04-26 21:38:12",no,no,no,no
6,,"Brokeback Mountain",2005,http://www.icheckmovies.com/movies/brokeback+mountain/,42496,2577,389,20,583,,http://www.imdb.com/title/tt0388795/,"2018-04-26 21:51:42",no,no,no,no
7,,"The Apartment",1960,http://www.icheckmovies.com/movies/the+apartment/,19885,2605,72,26,763,,http://www.imdb.com/title/tt0053604/,"2018-04-26 21:34:16",no,no,no,no
8,,"A Matter of Life and Death",1946,http://www.icheckmovies.com/movies/a+matter+of+life+and+death/,4017,500,31,22,385,"Stairway to Heaven",http://www.imdb.com/title/tt0038733/,"2018-06-11 13:12:13",no,no,no,no
9,,"Eternal Sunshine of the Spotless Mind",2004,http://www.icheckmovies.com/movies/eternal+sunshine+of+the+spotless+mind/,93255,13133,748,25,1122,,http://www.imdb.com/title/tt0338013/,"2018-04-28 11:49:11",no,no,no,no
10,,"Punch-Drunk Love",2002,http://www.icheckmovies.com/movies/punch-drunk+love/,21444,1688,363,10,385,,http://www.imdb.com/title/tt0272338/,"2018-11-08 00:21:58",no,no,no,no
11,,WALL·E,2008,http://www.icheckmovies.com/movies/walle/,113346,9528,554,22,863,,http://www.imdb.com/title/tt0910970/,"2018-01-10 16:56:11",no,no,no,yes
12,,"Gone with the Wind",1939,http://www.icheckmovies.com/movies/gone+with+the+wind/,40913,2690,395,30,823,,http://www.imdb.com/title/tt0031381/,"2018-01-10 16:58:26",no,no,no,no
13,,"'I Know Where I'm Going!'",1945,http://www.icheckmovies.com/movies/i+know+where+im+goingexclamation/,1889,148,25,12,184,,http://www.imdb.com/title/tt0037800/,"2018-10-17 22:13:45",no,no,no,no
14,,"Letter from an Unknown Woman",1948,http://www.icheckmovies.com/movies/letter+from+an+unknown+woman/,2786,395,21,14,304,,http://www.imdb.com/title/tt0040536/,"2018-11-08 00:21:19",no,no,no,no
15,,Badlands,1973,http://www.icheckmovies.com/movies/badlands/,11090,1262,47,20,519,,http://www.imdb.com/title/tt0069762/,"2018-04-26 21:38:45",no,no,no,no
16,,"Wild at Heart",1990,http://www.icheckmovies.com/movies/wild+at+heart/,8978,649,116,5,291,,http://www.imdb.com/title/tt0100935/,"2018-01-31 09:31:32",no,no,no,no
17,,"La belle et la bête",1946,http://www.icheckmovies.com/movies/la+belle+et+la+bete/,8076,670,48,24,470,"Beauty and the Beast",http://www.imdb.com/title/tt0038348/,"2018-04-26 21:29:31",no,no,no,no
18,,"True Romance",1993,http://www.icheckmovies.com/movies/true+romance/,16949,1653,73,5,348,,http://www.imdb.com/title/tt0108399/,"2018-04-28 16:06:08",no,no,no,no
19,,Manhattan,1979,http://www.icheckmovies.com/movies/manhattan/,21897,2093,143,19,601,,http://www.imdb.com/title/tt0079522/,"2018-04-26 21:41:36",no,no,no,no
20,,L'Atalante,1934,http://www.icheckmovies.com/movies/latalante/,3961,495,35,20,456,"Le chaland qui passe",http://www.imdb.com/title/tt0024844/,"2018-06-09 19:25:50",no,no,no,no
21,,"Sunrise: A Song of Two Humans",1927,http://www.icheckmovies.com/movies/sunrise+a+song+of+two+humans/,8624,1369,74,33,707,,http://www.imdb.com/title/tt0018455/,"2018-04-26 21:26:26",no,no,no,yes
22,,"Les amants du Pont-Neuf",1991,http://www.icheckmovies.com/movies/les+amants+du+pont-neuf/,1828,189,19,10,203,"The Lovers on the Bridge",http://www.imdb.com/title/tt0101318/,"2018-11-18 19:00:21",no,no,no,no
23,,Up,2009,http://www.icheckmovies.com/movies/up/,112779,9069,394,16,722,,http://www.imdb.com/title/tt1049413/,"2018-01-10 16:57:32",no,no,no,yes
24,,"Before Sunrise",1995,http://www.icheckmovies.com/movies/before+sunrise/,23501,3097,157,11,500,,http://www.imdb.com/title/tt0112471/,"2018-04-28 16:06:05",no,no,no,no
25,,"When Harry Met Sally...",1989,http://www.icheckmovies.com/movies/when+harry+met+sally.../,31262,1908,147,12,403,,http://www.imdb.com/title/tt0098635/,"2018-04-26 21:45:59",no,no,no,no
26,,"Les parapluies de Cherbourg",1964,http://www.icheckmovies.com/movies/les+parapluies+de+cherbourg/,4967,541,62,16,427,"The Umbrellas of Cherbourg",http://www.imdb.com/title/tt0058450/,"2018-04-26 21:35:54",no,no,no,no
