rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Le fabuleux destin d'Amélie Poulain",2001,http://www.icheckmovies.com/movies/le+fabuleux+destin+damelie+poulain/,74518,10475,610,24,923,Amélie,http://www.imdb.com/title/tt0211915/,"2018-01-10 16:56:39",no,no,no,no
2,0,"Les nuits fauves",1992,http://www.icheckmovies.com/movies/les+nuits+fauves/,310,12,6,4,54,"Savage Nights",http://www.imdb.com/title/tt0105032/,no,no,no,no,no
3,0,"Les roseaux sauvages",1994,http://www.icheckmovies.com/movies/les+roseaux+sauvages/,714,41,13,6,141,"Wild Reeds",http://www.imdb.com/title/tt0111019/,"2018-04-26 21:48:05",no,no,no,no
4,0,"Nelly & Monsieur Arnaud",1995,http://www.icheckmovies.com/movies/nelly+and+monsieur+arnaud/,259,13,3,1,51,"Nelly and Mr. Arnaud",http://www.imdb.com/title/tt0113947/,no,no,no,no,no
5,0,"La vie rêvée des anges",1998,http://www.icheckmovies.com/movies/la+vie+revee+des+anges/,737,57,7,5,80,"The Dreamlife of Angels",http://www.imdb.com/title/tt0120449/,no,no,no,no,no
6,0,"Beau travail",1999,http://www.icheckmovies.com/movies/beau+travail/,1984,218,24,12,285,,http://www.imdb.com/title/tt0209933/,"2018-11-08 00:21:43",no,no,no,no
7,0,"Le temps retrouvé, d'après l'oeuvre de Marcel Proust",1999,http://www.icheckmovies.com/movies/le+temps+retrouve+dapres+loeuvre+de+marcel+proust/,369,32,7,4,93,"Marcel Proust's Time Regained",http://www.imdb.com/title/tt0189142/,no,no,no,no,no
8,0,"À ma soeur!",2001,http://www.icheckmovies.com/movies/a+ma+soeurexclamation/,1832,117,60,3,142,"Fat Girl",http://www.imdb.com/title/tt0243255/,no,no,no,no,no
9,0,"L'emploi du temps",2001,http://www.icheckmovies.com/movies/lemploi+du+temps/,923,75,10,5,111,"Time Out",http://www.imdb.com/title/tt0279065/,"2018-11-25 21:20:37",no,no,no,no
10,0,L'esquive,2003,http://www.icheckmovies.com/movies/lesquive/,475,21,9,3,57,"Games of Love and Chance",http://www.imdb.com/title/tt0338977/,no,no,no,no,no
11,0,"Le grand bleu",1988,http://www.icheckmovies.com/movies/le+grand+bleu/,2392,173,21,2,105,"The Big Blue",http://www.imdb.com/title/tt0095250/,"2018-04-26 21:57:33",no,no,no,no
12,0,Delicatessen,1991,http://www.icheckmovies.com/movies/delicatessen/,13077,1224,106,12,364,,http://www.imdb.com/title/tt0101700/,"2018-04-26 21:46:44",no,no,no,no
13,0,"La cité des enfants perdus",1995,http://www.icheckmovies.com/movies/la+cite+des+enfants+perdus/,6624,680,71,3,256,"The City of Lost Children",http://www.imdb.com/title/tt0112682/,"2018-04-28 16:02:39",no,no,no,no
14,0,"Comment je me suis disputé... (ma vie sexuelle)",1996,http://www.icheckmovies.com/movies/comment+je+me+suis+dispute...+ma+vie+sexuelle/,232,16,9,4,89,"My Sex Life... or How I Got Into an Argument",http://www.imdb.com/title/tt0115928/,no,no,no,no,no
15,0,"Seul contre tous",1998,http://www.icheckmovies.com/movies/seul+contre+tous/,1573,192,31,4,139,"I Stand Alone",http://www.imdb.com/title/tt0157016/,no,no,no,no,no
16,0,"Le dîner de cons",1998,http://www.icheckmovies.com/movies/le+diner+de+cons/,3734,315,27,2,91,"The Dinner Game",http://www.imdb.com/title/tt0119038/,"2018-11-08 00:22:36",no,no,no,no
17,0,"Harry, un ami qui vous veut du bien",2000,http://www.icheckmovies.com/movies/harry+un+ami+qui+vous+veut+du+bien/,871,50,12,2,72,"With a Friend Like Harry...",http://www.imdb.com/title/tt0216800/,no,no,no,no,no
18,0,Demonlover,2002,http://www.icheckmovies.com/movies/demonlover/,729,29,42,3,76,,http://www.imdb.com/title/tt0284034/,no,no,no,no,no
19,0,"Les triplettes de Belleville",2003,http://www.icheckmovies.com/movies/les+triplettes+de+belleville/,11973,1195,91,8,278,"The Triplets of Belleville",http://www.imdb.com/title/tt0286244/,"2018-04-28 23:11:39",no,no,no,no
20,0,"La haine",1995,http://www.icheckmovies.com/movies/la+haine/,13680,1663,58,14,433,"The Hate",http://www.imdb.com/title/tt0113247/,"2018-04-26 21:57:36",no,no,no,no
21,0,"La grande illusion",1937,http://www.icheckmovies.com/movies/la+grande+illusion/,7196,801,31,28,580,"The Grand Illusion",http://www.imdb.com/title/tt0028950/,"2018-04-26 21:27:36",no,no,no,no
22,0,Marius,1931,http://www.icheckmovies.com/movies/marius/,403,36,5,6,119,,http://www.imdb.com/title/tt0022125/,"2018-10-17 22:26:53",no,no,no,no
