rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Mother India",1957,http://www.icheckmovies.com/movies/mother+india/,965,45,20,9,152,,http://www.imdb.com/title/tt0050188/,"2018-10-17 22:28:35",no,no,no,no
2,0,Sholay,1975,http://www.icheckmovies.com/movies/sholay/,1934,152,56,13,141,Embers,http://www.imdb.com/title/tt0073707/,"2018-10-17 22:37:45",no,no,no,no
3,0,Mughal-E-Azam,1960,http://www.icheckmovies.com/movies/mughal-e-azam/,594,42,7,6,100,"The Emperor of the Mughals",http://www.imdb.com/title/tt0054098/,no,no,no,no,no
4,0,Pyaasa,1957,http://www.icheckmovies.com/movies/pyaasa/,720,88,7,8,162,,http://www.imdb.com/title/tt0050870/,"2018-12-02 14:22:47",no,no,no,no
5,0,"Sahib Bibi Aur Ghulam",1962,http://www.icheckmovies.com/movies/sahib+bibi+aur+ghulam/,164,13,1,3,40,"King, Queen and Slave",http://www.imdb.com/title/tt0056436/,no,no,no,no,no
6,0,"Do Bigha Zamin",1953,http://www.icheckmovies.com/movies/do+bigha+zamin/,161,15,1,4,71,,http://www.imdb.com/title/tt0045693/,no,no,no,no,no
7,0,"Kaagaz Ke Phool",1959,http://www.icheckmovies.com/movies/kaagaz+ke+phool/,350,23,4,6,102,"Paper Flowers",http://www.imdb.com/title/tt0052954/,"2018-12-01 09:48:24",no,no,no,no
8,0,Deewaar,1975,http://www.icheckmovies.com/movies/deewaar/,726,37,9,2,55,"I'll Die for Mama",http://www.imdb.com/title/tt0072860/,no,no,no,no,no
9,0,Awaara,1951,http://www.icheckmovies.com/movies/awaara/,525,32,2,6,99,"The Tramp",http://www.imdb.com/title/tt0043306/,"2018-12-01 09:38:01",no,no,no,no
10,0,"Lagaan: Once Upon a Time in India",2001,http://www.icheckmovies.com/movies/lagaan+once+upon+a+time+in+india/,4115,319,73,10,197,"Land Tax",http://www.imdb.com/title/tt0169102/,"2018-11-18 19:00:03",no,no,no,no
11,0,Guide,1965,http://www.icheckmovies.com/movies/guide/,408,30,2,3,66,,http://www.imdb.com/title/tt0059246/,no,no,no,no,no
12,0,Bandini,1963,http://www.icheckmovies.com/movies/bandini/,109,7,1,2,25,,http://www.imdb.com/title/tt0056850/,no,no,no,no,no
13,0,"Gunga Jumna",1961,http://www.icheckmovies.com/movies/gunga+jumna/,103,4,3,1,13,"The Confluence",http://www.imdb.com/title/tt0054910/,no,no,no,no,no
14,0,Madhumati,1958,http://www.icheckmovies.com/movies/madhumati/,137,9,1,2,29,,http://www.imdb.com/title/tt0050665/,no,no,no,no,no
15,0,Sujata,1960,http://www.icheckmovies.com/movies/sujata/,72,4,1,2,17,"Untouchable Girl",http://www.imdb.com/title/tt0053319/,no,no,no,no,no
16,0,"Garm Hava",1974,http://www.icheckmovies.com/movies/garm+hava/,91,7,1,2,51,"Scorching Winds",http://www.imdb.com/title/tt0073034/,no,no,no,no,no
17,0,Anand,1971,http://www.icheckmovies.com/movies/anand/,602,71,4,2,55,,http://www.imdb.com/title/tt0066763/,no,no,no,no,no
18,0,"Amar Akbar Anthony",1977,http://www.icheckmovies.com/movies/amar+akbar+anthony/,722,28,9,3,44,,http://www.imdb.com/title/tt0075669/,no,no,no,no,no
19,0,Ankur,1974,http://www.icheckmovies.com/movies/ankur/,123,9,2,3,43,"Ankur: The Seedling",http://www.imdb.com/title/tt0071145/,no,no,no,no,no
20,0,"Ardh Satya",1983,http://www.icheckmovies.com/movies/ardh+satya/,133,19,1,1,27,"Half Truth",http://www.imdb.com/title/tt0085178/,no,no,no,no,no
21,0,"Bhuvan Shome",1969,http://www.icheckmovies.com/movies/bhuvan+shome/,79,5,1,4,40,"Mr. Shome",http://www.imdb.com/title/tt0064086/,no,no,no,no,no
22,0,"Chalti Ka Naam Gaadi",1958,http://www.icheckmovies.com/movies/chalti+ka+naam+gaadi/,213,11,0,1,14,"That Which Runs Is a Car",http://www.imdb.com/title/tt0128985/,no,no,no,no,no
23,0,"Jaane Bhi Do Yaaro",1983,http://www.icheckmovies.com/movies/jaane+bhi+do+yaaro/,453,81,13,2,58,"Who Pays the Piper",http://www.imdb.com/title/tt0085743/,no,no,no,no,no
24,0,"Do Ankhen Barah Haath",1957,http://www.icheckmovies.com/movies/do+ankhen+barah+haath/,169,14,3,2,23,"Two Eyes, Twelve Hands",http://www.imdb.com/title/tt0050322/,no,no,no,no,no
25,0,Manthan,1976,http://www.icheckmovies.com/movies/manthan/,62,4,1,2,35,"The Churning",http://www.imdb.com/title/tt0074858/,no,no,no,no,no
26,0,Masoom,1983,http://www.icheckmovies.com/movies/masoom/,308,19,2,1,23,Innocent,http://www.imdb.com/title/tt0085913/,no,no,no,no,no
27,0,Satya,1998,http://www.icheckmovies.com/movies/satya/,659,56,3,2,37,,http://www.imdb.com/title/tt0195231/,no,no,no,no,no
28,0,Andaz,1949,http://www.icheckmovies.com/movies/andaz/,130,3,4,3,21,"A Matter of Style",http://www.imdb.com/title/tt0041123/,no,no,no,no,no
29,0,Bobby,1973,http://www.icheckmovies.com/movies/bobby/,360,4,5,1,16,,http://www.imdb.com/title/tt0069810/,no,no,no,no,no
30,0,"Chaudhvin Ka Chand",1961,http://www.icheckmovies.com/movies/chaudhvin+ka+chand/,100,3,1,2,17,"Full Moon",http://www.imdb.com/title/tt0053706/,no,no,no,no,no
31,0,Lamhe,1991,http://www.icheckmovies.com/movies/lamhe/,266,15,4,1,16,Moments,http://www.imdb.com/title/tt0102258/,no,no,no,no,no
