rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,Limite,1931,http://www.icheckmovies.com/movies/limite/,640,77,16,8,156,,http://www.imdb.com/title/tt0022080/,"2018-11-26 13:17:52",no,no,no,no
2,,"Deus e o Diabo na Terra do Sol",1964,http://www.icheckmovies.com/movies/deus+e+o+diabo+na+terra+do+sol/,1204,103,33,9,207,"Black God, White Devil",http://www.imdb.com/title/tt0058006/,"2018-12-02 23:22:59",no,no,no,no
3,,"Vidas Secas",1963,http://www.icheckmovies.com/movies/vidas+secas/,770,47,9,8,149,"Barren Lives",http://www.imdb.com/title/tt0057654/,"2018-12-02 14:54:08",no,no,no,no
4,,"Cabra Marcado Para Morrer",1984,http://www.icheckmovies.com/movies/cabra+marcado+para+morrer/,247,27,2,7,93,"Twenty Years Later",http://www.imdb.com/title/tt0134402/,no,no,no,no,no
5,,"Terra em Transe",1967,http://www.icheckmovies.com/movies/terra+em+transe/,720,61,16,7,133,"Entranced Earth",http://www.imdb.com/title/tt0062352/,no,no,no,no,no
6,,"O Bandido da Luz Vermelha",1968,http://www.icheckmovies.com/movies/o+bandido+da+luz+vermelha/,232,33,6,3,70,"The Red Light Bandit",http://www.imdb.com/title/tt0144782/,no,no,no,no,no
7,,"São Paulo, Sociedade Anônima",1965,http://www.icheckmovies.com/movies/sao+paulo+sociedade+anonima/,122,19,0,2,56,"São Paulo S/A",http://www.imdb.com/title/tt0195324/,no,no,no,no,no
8,,"Cidade de Deus",2002,http://www.icheckmovies.com/movies/cidade+de+deus/,50611,6571,204,20,859,"City of God",http://www.imdb.com/title/tt0317248/,"2018-04-28 15:55:34",no,no,no,yes
9,,"O Pagador de Promessas",1962,http://www.icheckmovies.com/movies/o+pagador+de+promessas/,719,107,6,8,156,"The Given Word",http://www.imdb.com/title/tt0056322/,no,no,no,no,no
10,,Macunaíma,1969,http://www.icheckmovies.com/movies/macunaima/,326,34,7,4,105,Macunaima,http://www.imdb.com/title/tt0064616/,no,no,no,no,no
11,,"Central do Brasil",1998,http://www.icheckmovies.com/movies/central+do+brasil/,3184,271,20,7,207,"Central Station",http://www.imdb.com/title/tt0140888/,"2018-11-08 00:22:02",no,no,no,no
12,,"Pixote: A Lei do Mais Fraco",1981,http://www.icheckmovies.com/movies/pixote+a+lei+do+mais+fraco/,855,96,7,6,155,Pixote,http://www.imdb.com/title/tt0082912/,"2018-12-02 14:48:28",no,no,no,no
13,,"Ilha das Flores",1989,http://www.icheckmovies.com/movies/ilha+das+flores/,3740,402,19,4,98,"Isle of Flowers",http://www.imdb.com/title/tt0097564/,"2018-12-10 11:16:52",no,no,no,no
14,,"Eles Não Usam Black-Tie",1981,http://www.icheckmovies.com/movies/eles+nao+usam+black-tie/,135,12,1,3,55,"They Don't Wear Black Tie",http://www.imdb.com/title/tt0082317/,no,no,no,no,no
15,,"O Som ao Redor",2012,http://www.icheckmovies.com/movies/o+som+ao+redor/,525,51,10,1,92,"Neighboring Sounds",http://www.imdb.com/title/tt2190367/,no,no,no,no,no
16,,"Lavoura Arcaica",2001,http://www.icheckmovies.com/movies/lavoura+arcaica/,206,40,7,2,81,"To the Left of the Father",http://www.imdb.com/title/tt0241663/,no,no,no,no,no
17,,"Jogo de Cena",2007,http://www.icheckmovies.com/movies/jogo+de+cena/,225,28,1,2,50,Playing,http://www.imdb.com/title/tt1165293/,no,no,no,no,no
18,,"Bye Bye Brasil",1980,http://www.icheckmovies.com/movies/bye+bye+brasil/,249,19,2,3,83,"Bye Bye Brazil",http://www.imdb.com/title/tt0080482/,no,no,no,no,no
19,,"Assalto ao Trem Pagador",1962,http://www.icheckmovies.com/movies/assalto+ao+trem+pagador/,145,19,0,2,65,"Assault on the Pay Train",http://www.imdb.com/title/tt0056582/,no,no,no,no,no
