rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,4,Atanarjuat,2001,http://www.icheckmovies.com/movies/atanarjuat/,825,57,8,5,145,"The Fast Runner",http://www.imdb.com/title/tt0285441/,no,no,no,no,no
2,-1,"Mon oncle Antoine",1971,http://www.icheckmovies.com/movies/mon+oncle+antoine/,766,46,7,6,127,"My Uncle Antoine",http://www.imdb.com/title/tt0067439/,no,no,no,no,no
3,1,"The Sweet Hereafter",1997,http://www.icheckmovies.com/movies/the+sweet+hereafter/,3454,325,32,7,291,,http://www.imdb.com/title/tt0120255/,"2018-04-26 21:49:20",no,no,no,no
4,-2,"Jésus de Montréal",1989,http://www.icheckmovies.com/movies/jesus+de+montreal/,793,71,6,6,138,"Jesus of Montreal",http://www.imdb.com/title/tt0097635/,no,no,no,no,no
5,-2,"Goin' Down the Road",1970,http://www.icheckmovies.com/movies/goin+down+the+road/,141,9,1,2,57,,http://www.imdb.com/title/tt0065788/,no,no,no,no,no
6,6,Léolo,1992,http://www.icheckmovies.com/movies/leolo/,842,78,22,3,127,,http://www.imdb.com/title/tt0104782/,no,no,no,no,no
7,,"My Winnipeg",2007,http://www.icheckmovies.com/movies/my+winnipeg/,1644,208,27,8,206,,http://www.imdb.com/title/tt1093842/,no,no,no,no,no
8,-2,"Dead Ringers",1988,http://www.icheckmovies.com/movies/dead+ringers/,6332,473,60,12,299,,http://www.imdb.com/title/tt0094964/,"2018-06-11 12:59:56",no,no,no,no
9,,C.R.A.Z.Y.,2005,http://www.icheckmovies.com/movies/c.r.a.z.y./,2972,348,27,2,152,,http://www.imdb.com/title/tt0401085/,no,no,no,no,no
10,-2,"Les ordres",1974,http://www.icheckmovies.com/movies/les+ordres/,133,22,0,3,94,Orderers,http://www.imdb.com/title/tt0071949/,no,no,no,no,no
11,,"Stories We Tell",2012,http://www.icheckmovies.com/movies/stories+we+tell/,1635,170,15,5,182,,http://www.imdb.com/title/tt2366450/,"2018-10-17 22:39:34",no,no,no,no
12,,Incendies,2010,http://www.icheckmovies.com/movies/incendies/,7994,1201,60,8,328,,http://www.imdb.com/title/tt1255953/,"2018-04-28 15:48:32",no,no,no,no
13,-4,"Le déclin de l'empire américain",1986,http://www.icheckmovies.com/movies/le+declin+de+lempire+americain/,1218,89,28,4,133,"The Decline of the American Empire",http://www.imdb.com/title/tt0090985/,"2018-04-26 21:44:14",no,no,no,no
14,0,Wavelength,1967,http://www.icheckmovies.com/movies/wavelength/,1406,62,113,9,170,,http://www.imdb.com/title/tt0127354/,"2018-12-01 09:43:51",no,no,no,no
15,-5,"Les invasions barbares",2003,http://www.icheckmovies.com/movies/les+invasions+barbares/,2723,228,33,7,212,"The Barbarian Invasions",http://www.imdb.com/title/tt0338135/,"2018-04-26 21:51:02",no,no,no,no
16,15,Videodrome,1983,http://www.icheckmovies.com/movies/videodrome/,13330,1205,110,16,550,,http://www.imdb.com/title/tt0086541/,"2018-04-26 21:42:59",no,no,no,no
17,,"Away from Her",2006,http://www.icheckmovies.com/movies/away+from+her/,1829,119,9,3,146,,http://www.imdb.com/title/tt0491747/,no,no,no,no,no
18,1,"Thirty Two Short Films About Glenn Gould",1993,http://www.icheckmovies.com/movies/thirty+two+short+films+about+glenn+gould/,850,64,10,4,101,,http://www.imdb.com/title/tt0108328/,no,no,no,no,no
19,,Mommy,2014,http://www.icheckmovies.com/movies/mommy-2014-1/,3481,585,26,5,262,,http://www.imdb.com/title/tt3612616/,"2018-11-19 21:32:08",no,no,no,no
20,-9,"The Grey Fox",1982,http://www.icheckmovies.com/movies/the+grey+fox/,224,19,0,3,127,,http://www.imdb.com/title/tt0085622/,no,no,no,no,no
21,3,"Hard Core Logo",1996,http://www.icheckmovies.com/movies/hard+core+logo/,217,19,1,1,45,,http://www.imdb.com/title/tt0116488/,no,no,no,no,no
22,3,"Last Night",1998,http://www.icheckmovies.com/movies/last+night/,703,61,6,2,90,,http://www.imdb.com/title/tt0156729/,no,no,no,no,no
23,5,"I've Heard the Mermaids Singing",1987,http://www.icheckmovies.com/movies/ive+heard+the+mermaids+singing/,165,9,2,1,37,,http://www.imdb.com/title/tt0093239/,no,no,no,no,no
24,-7,"Pour la suite du monde",1963,http://www.icheckmovies.com/movies/pour+la+suite+du+monde/,176,20,1,3,77,,http://www.imdb.com/title/tt0057423/,no,no,no,no,no
25,-10,"The Apprenticeship of Duddy Kravitz",1974,http://www.icheckmovies.com/movies/the+apprenticeship+of+duddy+kravitz/,265,5,4,2,62,,http://www.imdb.com/title/tt0071155/,no,no,no,no,no
26,,"Monsieur Lazhar",2011,http://www.icheckmovies.com/movies/monsieur+lazhar/,1435,129,5,2,125,,http://www.imdb.com/title/tt2011971/,no,no,no,no,no
27,-7,Crash,1996,http://www.icheckmovies.com/movies/crash-1996/,7084,335,162,8,246,,http://www.imdb.com/title/tt0115964/,"2018-10-17 01:31:39",no,no,no,no
28,-21,"Les bons débarras",1980,http://www.icheckmovies.com/movies/les+bons+debarras/,113,7,1,1,54,"Good Riddance",http://www.imdb.com/title/tt0078894/,no,no,no,no,no
29,-13,Calendar,1993,http://www.icheckmovies.com/movies/calendar/,322,25,5,3,89,,http://www.imdb.com/title/tt0106504/,no,no,no,no,no
30,-9,Exotica,1994,http://www.icheckmovies.com/movies/exotica/,2195,179,17,6,181,,http://www.imdb.com/title/tt0109759/,"2018-04-28 11:48:45",no,no,no,no
31,19,"A Married Couple",1969,http://www.icheckmovies.com/movies/a+married+couple/,279,28,5,6,104,,http://www.imdb.com/title/tt0064640/,no,no,no,no,no
32,,"Manufactured Landscapes",2006,http://www.icheckmovies.com/movies/manufactured+landscapes/,273,25,3,1,45,,http://www.imdb.com/title/tt0832903/,no,no,no,no,no
33,-20,"The Heart of the World",2000,http://www.icheckmovies.com/movies/the+heart+of+the+world/,2096,196,33,4,106,,http://www.imdb.com/title/tt0260948/,no,no,no,no,no
34,,Water,2005,http://www.icheckmovies.com/movies/water/,775,62,7,4,77,,http://www.imdb.com/title/tt0240200/,no,no,no,no,no
35,-13,"The Saddest Music in the World",2003,http://www.icheckmovies.com/movies/the+saddest+music+in+the+world/,856,104,20,4,115,,http://www.imdb.com/title/tt0366996/,no,no,no,no,no
36,,Polytechnique,2009,http://www.icheckmovies.com/movies/polytechnique/,924,80,12,1,95,,http://www.imdb.com/title/tt1194238/,no,no,no,no,no
37,-11,"The Hart of London",1970,http://www.icheckmovies.com/movies/the+hart+of+london/,244,23,19,4,93,,http://www.imdb.com/title/tt0129134/,no,no,no,no,no
38,5,Warrendale,1967,http://www.icheckmovies.com/movies/warrendale/,255,21,1,6,99,,http://www.imdb.com/title/tt0062474/,no,no,no,no,no
39,-4,"Crime Wave",1985,http://www.icheckmovies.com/movies/crime+wave-1985/,121,16,0,2,47,,http://www.imdb.com/title/tt0088963/,no,no,no,no,no
40,-2,Neighbours,1952,http://www.icheckmovies.com/movies/neighbours/,1470,144,9,4,126,,http://www.imdb.com/title/tt0044958/,"2018-11-25 22:56:12",no,no,no,no
41,,"Kanehsatake: 270 Years of Resistance",1993,http://www.icheckmovies.com/movies/kanehsatake+270+years+of+resistance/,67,3,0,1,21,,http://www.imdb.com/title/tt0107305/,no,no,no,no,no
42,-8,"Begone Dull Care",1949,http://www.icheckmovies.com/movies/begone+dull+care/,1454,114,21,5,107,,http://www.imdb.com/title/tt0041169/,"2018-11-25 22:46:42",no,no,no,no
43,,"Eastern Promises",2007,http://www.icheckmovies.com/movies/eastern+promises/,16542,1263,77,3,274,,http://www.imdb.com/title/tt0765443/,"2018-04-28 15:51:06",no,no,no,no
44,,Fubar,2002,http://www.icheckmovies.com/movies/fubar/,235,13,6,1,24,,http://www.imdb.com/title/tt0302585/,no,no,no,no,no
