rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Mibu gishi den",2002,http://www.icheckmovies.com/movies/mibu+gishi+den/,297,21,4,2,51,"When the Last Sword is Drawn",http://www.imdb.com/title/tt0359692/,no,no,no,no,no
2,,"La main du diable",1943,http://www.icheckmovies.com/movies/la+main+du+diable/,218,22,2,2,93,"Carnival of Sinners",http://www.imdb.com/title/tt0035017/,no,no,no,no,no
3,,"Return from the Ashes",1965,http://www.icheckmovies.com/movies/return+from+the+ashes/,96,3,1,1,19,,http://www.imdb.com/title/tt0059649/,no,no,no,no,no
4,,"Cutter's Way",1981,http://www.icheckmovies.com/movies/cutters+way/,855,57,10,6,113,"Cutter and Bone",http://www.imdb.com/title/tt0082220/,no,no,no,no,no
5,,"Spalovac mrtvol",1969,http://www.icheckmovies.com/movies/spalovac+mrtvol/,1170,222,22,7,186,Cremator,http://www.imdb.com/title/tt0063633/,no,no,no,no,no
6,,"Tian long ba bu",1977,http://www.icheckmovies.com/movies/tian+long+ba+bu/,84,3,0,1,26,,http://www.imdb.com/title/tt0081631/,no,no,no,no,no
7,,Daimajin,1966,http://www.icheckmovies.com/movies/daimajin/,185,4,0,3,45,"Majin the Monster of Terror",http://www.imdb.com/title/tt0062851/,no,no,no,no,no
8,,"Rurôni Kenshin: Meiji kenkaku roman tan",2012,http://www.icheckmovies.com/movies/ruroni+kenshin+meiji+kenkaku+roman+tan/,875,68,3,1,35,"Rurouni Kenshin",http://www.imdb.com/title/tt1979319/,no,no,no,no,no
9,,"La notte dei diavoli",1972,http://www.icheckmovies.com/movies/la+notte+dei+diavoli/,124,4,2,1,43,"Night of the Devils",http://www.imdb.com/title/tt0069017/,no,no,no,no,no
10,,Viy,1967,http://www.icheckmovies.com/movies/viy/,1178,68,11,4,107,,http://www.imdb.com/title/tt0062453/,no,no,no,no,no
11,,"Killer Party",1986,http://www.icheckmovies.com/movies/killer+party/,142,2,15,1,33,,http://www.imdb.com/title/tt0091338/,no,no,no,no,no
12,,"Idi i smotri",1985,http://www.icheckmovies.com/movies/idi+i+smotri/,5146,1166,51,22,527,"Come and See",http://www.imdb.com/title/tt0091251/,"2018-04-26 21:43:42",no,no,no,no
13,,"Mr. Freedom",1968,http://www.icheckmovies.com/movies/mr.+freedom/,388,22,17,4,89,,http://www.imdb.com/title/tt0064674/,no,no,no,no,no
14,,Gwendoline,1984,http://www.icheckmovies.com/movies/gwendoline/,158,5,10,1,41,"The Perils of Gwendoline in the Land of the Yik Yak",http://www.imdb.com/title/tt0087903/,no,no,no,no,no
15,,"You gui zi",1976,http://www.icheckmovies.com/movies/you+gui+zi/,102,2,1,1,25,"The Oily Maniac",http://www.imdb.com/title/tt0075001/,no,no,no,no,no
16,,"Aachi & Ssipak",2006,http://www.icheckmovies.com/movies/aachi+and+ssipak/,197,19,3,1,46,"Aachi and Ssipak",http://www.imdb.com/title/tt0972542/,no,no,no,no,no
17,,"I quattro dell'apocalisse",1975,http://www.icheckmovies.com/movies/i+quattro+dellapocalisse/,407,17,4,2,51,"The Four of the Apocalypse...",http://www.imdb.com/title/tt0073594/,no,no,no,no,no
18,,"Kyôfu kikei ningen: Edogawa Rampo zenshû",1969,http://www.icheckmovies.com/movies/kyofu+kikei+ningen+edogawa+rampo+zenshu/,181,13,2,2,59,"Horrors of Malformed Men",http://www.imdb.com/title/tt0142257/,no,no,no,no,no
19,,"The Psychopath",1966,http://www.icheckmovies.com/movies/the+psychopath-1966-1/,89,1,2,1,20,,http://www.imdb.com/title/tt0060866/,no,no,no,no,no
20,,"Kingu Kongu no gyakushû",1967,http://www.icheckmovies.com/movies/kingu+kongu+no+gyakushu/,164,3,11,1,45,"King Kong Escapes",http://www.imdb.com/title/tt0061868/,no,no,no,no,no
21,,Vigilante,1983,http://www.icheckmovies.com/movies/vigilante/,216,10,2,1,36,"Street Gang",http://www.imdb.com/title/tt0084867/,no,no,no,no,no
22,,"The Power",1968,http://www.icheckmovies.com/movies/the+power/,91,2,5,1,22,,http://www.imdb.com/title/tt0063452/,"2018-11-08 01:12:25",no,no,no,no
23,,"Xiu hua da dao",1978,http://www.icheckmovies.com/movies/xiu+hua+da+dao/,48,2,0,1,18,"Clan of Amazons",http://www.imdb.com/title/tt0077339/,no,no,no,no,no
24,,"Scream, Pretty Peggy",1973,http://www.icheckmovies.com/movies/scream+pretty+peggy/,75,1,4,1,17,,http://www.imdb.com/title/tt0070657/,no,no,no,no,no
25,,"The Incredible Hulk Returns",1988,http://www.icheckmovies.com/movies/the+incredible+hulk+returns/,274,4,5,1,21,,http://www.imdb.com/title/tt0095368/,"2018-11-08 01:23:39",no,no,no,no
26,,"L'ultimo treno della notte",1975,http://www.icheckmovies.com/movies/lultimo+treno+della+notte/,178,5,10,1,52,"Last Stop on the Night Train",http://www.imdb.com/title/tt0073836/,no,no,no,no,no
27,,"Un tranquillo posto di campagna",1968,http://www.icheckmovies.com/movies/un+tranquillo+posto+di+campagna/,164,8,2,1,52,"A Quiet Place in the Country",http://www.imdb.com/title/tt0065119/,no,no,no,no,no
28,,Streets,1990,http://www.icheckmovies.com/movies/streets/,56,1,4,1,14,,http://www.imdb.com/title/tt0100707/,no,no,no,no,no
29,,"From Hell It Came",1957,http://www.icheckmovies.com/movies/from+hell+it+came/,135,4,15,1,39,,http://www.imdb.com/title/tt0050414/,"2018-11-08 01:08:25",no,no,no,no
30,,"Munster, Go Home!",1966,http://www.icheckmovies.com/movies/munster+go+homeexclamation/,152,6,1,1,20,,http://www.imdb.com/title/tt0060726/,no,no,no,no,no
31,,"Kyônetsu no kisetsu",1960,http://www.icheckmovies.com/movies/kyonetsu+no+kisetsu/,249,21,2,2,77,"The Warped Ones",http://www.imdb.com/title/tt0057238/,no,no,no,no,no
32,,Akahige,1965,http://www.icheckmovies.com/movies/akahige/,1994,302,11,7,232,"Red Beard",http://www.imdb.com/title/tt0058888/,"2018-04-28 11:49:27",no,no,no,no
33,,"Yesterday's Enemy",1959,http://www.icheckmovies.com/movies/yesterdays+enemy/,66,5,0,1,25,,http://www.imdb.com/title/tt0053458/,no,no,no,no,no
34,,Nightmare,1964,http://www.icheckmovies.com/movies/nightmare-1964/,164,4,0,1,40,,http://www.imdb.com/title/tt0058405/,"2018-11-08 01:11:32",no,no,no,no
35,,Leák,1981,http://www.icheckmovies.com/movies/leak/,144,9,7,1,56,"Mystics in Bali",http://www.imdb.com/title/tt0097942/,no,no,no,no,no
