rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,203,"Stranger on the Third Floor",1940,http://www.icheckmovies.com/movies/stranger+on+the+third+floor/,566,27,4,2,78,,http://www.imdb.com/title/tt0033107/,"2018-11-08 00:27:34",no,no,no,no
2,81,"High Sierra",1941,http://www.icheckmovies.com/movies/high+sierra/,2476,114,15,7,164,,http://www.imdb.com/title/tt0033717/,"2018-04-26 21:28:30",no,no,no,no
3,90,"I Wake Up Screaming",1941,http://www.icheckmovies.com/movies/i+wake+up+screaming/,513,36,2,2,69,"Hot Spot",http://www.imdb.com/title/tt0033740/,"2018-11-08 00:26:20",no,no,no,no
4,124,"The Maltese Falcon",1941,http://www.icheckmovies.com/movies/the+maltese+falcon/,22522,1774,111,26,725,,http://www.imdb.com/title/tt0033870/,"2018-04-26 21:28:21",no,no,no,no
5,73,"The Glass Key",1942,http://www.icheckmovies.com/movies/the+glass+key/,770,40,7,2,80,,http://www.imdb.com/title/tt0034798/,"2018-11-08 00:27:57",no,no,no,no
6,218,"This Gun for Hire",1942,http://www.icheckmovies.com/movies/this+gun+for+hire/,1268,82,6,4,120,,http://www.imdb.com/title/tt0035432/,"2018-10-17 22:40:54",no,no,no,no
7,181,"Shadow of a Doubt",1943,http://www.icheckmovies.com/movies/shadow+of+a+doubt/,9387,801,34,11,440,,http://www.imdb.com/title/tt0036342/,"2018-04-26 21:28:54",no,no,no,no
8,59,"Double Indemnity",1944,http://www.icheckmovies.com/movies/double+indemnity/,18862,2288,57,31,800,,http://www.imdb.com/title/tt0036775/,"2018-04-26 21:29:13",no,no,no,no
9,108,Laura,1944,http://www.icheckmovies.com/movies/laura/,7239,693,32,20,456,,http://www.imdb.com/title/tt0037008/,"2018-04-26 21:29:13",no,no,no,no
10,127,"Murder, My Sweet",1944,http://www.icheckmovies.com/movies/murder+my+sweet/,2305,123,6,5,179,"Farewell My Lovely",http://www.imdb.com/title/tt0037101/,"2018-10-17 22:29:37",no,no,no,no
11,150,"Phantom Lady",1944,http://www.icheckmovies.com/movies/phantom+lady/,599,44,2,4,119,,http://www.imdb.com/title/tt0036260/,no,no,no,no,no
12,234,"The Woman in the Window",1944,http://www.icheckmovies.com/movies/the+woman+in+the+window/,2014,140,13,6,160,,http://www.imdb.com/title/tt0037469/,no,no,no,no,no
13,53,Detour,1945,http://www.icheckmovies.com/movies/detour/,3176,235,21,12,256,,http://www.imdb.com/title/tt0037638/,"2018-10-17 22:06:10",no,no,no,no
14,57,"Fallen Angel",1945,http://www.icheckmovies.com/movies/fallen+angel/,738,39,3,2,93,,http://www.imdb.com/title/tt0037691/,"2018-11-08 00:25:53",no,no,no,no
15,103,"Leave Her to Heaven",1945,http://www.icheckmovies.com/movies/leave+her+to+heaven/,1946,172,13,9,220,,http://www.imdb.com/title/tt0037865/,"2018-04-28 23:21:24",no,no,no,no
16,115,"Mildred Pierce",1945,http://www.icheckmovies.com/movies/mildred+pierce/,4535,371,19,14,363,,http://www.imdb.com/title/tt0037913/,"2018-04-26 21:29:13",no,no,no,no
17,166,"Scarlet Street",1945,http://www.icheckmovies.com/movies/scarlet+street/,2469,269,16,9,238,,http://www.imdb.com/title/tt0038057/,"2018-11-08 00:22:01",no,no,no,no
18,-1,"The Big Sleep",1946,http://www.icheckmovies.com/movies/the+big+sleep/,13071,1059,82,19,537,,http://www.imdb.com/title/tt0038355/,"2018-04-26 21:29:33",no,no,no,no
19,-1,"Black Angel",1946,http://www.icheckmovies.com/movies/black+angel/,393,11,1,2,58,,http://www.imdb.com/title/tt0038360/,"2018-11-08 00:25:18",no,no,no,no
20,0,"The Blue Dahlia",1946,http://www.icheckmovies.com/movies/the+blue+dahlia/,1015,43,10,3,105,,http://www.imdb.com/title/tt0038369/,no,no,no,no,no
21,33,"The Dark Corner",1946,http://www.icheckmovies.com/movies/the+dark+corner/,480,32,3,2,64,,http://www.imdb.com/title/tt0038453/,"2018-11-08 00:27:49",no,no,no,no
22,33,"The Dark Mirror",1946,http://www.icheckmovies.com/movies/the+dark+mirror/,545,28,1,2,74,,http://www.imdb.com/title/tt0038455/,no,no,no,no,no
23,54,Gilda,1946,http://www.icheckmovies.com/movies/gilda/,5173,434,23,12,278,,http://www.imdb.com/title/tt0038559/,"2018-04-26 21:29:51",no,no,no,no
24,84,"The Killers",1946,http://www.icheckmovies.com/movies/the+killers/,3878,269,15,13,323,"A Man Alone",http://www.imdb.com/title/tt0038669/,"2018-04-26 21:29:34",no,no,no,no
25,129,Notorious,1946,http://www.icheckmovies.com/movies/notorious/,14389,1300,68,22,541,,http://www.imdb.com/title/tt0038787/,"2018-04-26 21:29:43",no,no,no,no
26,141,"The Postman Always Rings Twice",1946,http://www.icheckmovies.com/movies/the+postman+always+rings+twice/,4107,195,18,9,233,,http://www.imdb.com/title/tt0038854/,"2018-04-26 21:29:27",no,no,no,no
