rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"Planet Earth II",2016,http://www.icheckmovies.com/movies/planet+earth+ii/,647,92,0,1,29,,http://www.imdb.com/title/tt5491994/,"2018-06-09 19:00:12",no,no,no,no
2,0,"The Godfather: A Novel for Television",1977,http://www.icheckmovies.com/movies/the+godfather+a+novel+for+television/,1414,59,5,1,18,"The Godfather Saga",http://www.imdb.com/title/tt0809488/,"2018-11-08 01:49:56",no,no,no,no
3,0,"Band of Brothers",2001,http://www.icheckmovies.com/movies/band+of+brothers/,21261,2561,38,2,144,,http://www.imdb.com/title/tt0185906/,"2018-06-09 19:00:16",no,no,no,no
4,0,"Planet Earth",2006,http://www.icheckmovies.com/movies/planet+earth/,5699,563,10,2,89,,http://www.imdb.com/title/tt0795176/,"2018-06-09 19:00:10",no,no,no,no
5,0,"The Beatles Anthology",1995,http://www.icheckmovies.com/movies/the+beatles+anthology/,696,65,4,1,26,,http://www.imdb.com/title/tt0111893/,"2018-11-08 00:32:33",no,no,no,no
6,0,Baseball,1994,http://www.icheckmovies.com/movies/baseball/,286,41,2,1,43,,http://www.imdb.com/title/tt0108700/,"2018-11-08 01:30:14",no,no,no,no
7,0,"Human Planet",2011,http://www.icheckmovies.com/movies/human+planet/,855,71,2,1,34,,http://www.imdb.com/title/tt1806234/,"2018-11-08 00:37:57",no,no,no,no
8,0,Life,2009,http://www.icheckmovies.com/movies/life-2009-1/,868,99,3,1,38,,http://www.imdb.com/title/tt1533395/,no,no,no,no,no
9,1,"The Civil War",1990,http://www.icheckmovies.com/movies/the+civil+war/,623,71,4,3,61,,http://www.imdb.com/title/tt0098769/,"2018-10-17 21:59:42",no,no,no,no
10,1,Dekalog,1989,http://www.icheckmovies.com/movies/dekalog/,3526,627,16,12,292,,http://www.imdb.com/title/tt0092337/,"2018-06-11 13:00:03",no,no,no,no
11,1,"Apocalypse - La 2ème guerre mondiale",2009,http://www.icheckmovies.com/movies/apocalypse+-+la+2eme+guerre+mondiale/,213,35,2,1,21,,http://www.imdb.com/title/tt1508238/,no,no,no,no,no
12,-3,"The War",2007,http://www.icheckmovies.com/movies/the+war-2007/,216,18,3,1,20,,http://www.imdb.com/title/tt0996994/,"2018-11-08 01:45:54",no,no,no,no
13,0,"O Auto da Compadecida",1999,http://www.icheckmovies.com/movies/o+auto+da+compadecida/,1669,161,3,1,18,,http://www.imdb.com/title/tt0197139/,no,no,no,no,no
14,0,"Semnadtsat mgnoveniy vesny",1973,http://www.icheckmovies.com/movies/semnadtsat+mgnoveniy+vesny/,507,46,3,2,40,"Seventeen Moments of Spring",http://www.imdb.com/title/tt0069628/,"2018-11-08 00:24:52",no,no,no,no
15,0,"Over the Garden Wall",2014,http://www.icheckmovies.com/movies/over+the+garden+wall-2014/,852,186,3,3,48,,http://www.imdb.com/title/tt3718778/,no,no,no,no,no
16,0,"Frozen Planet",2011,http://www.icheckmovies.com/movies/frozen+planet/,1064,68,3,1,41,,http://www.imdb.com/title/tt2092588/,"2018-11-08 01:41:44",no,no,no,no
17,0,"The Century of the Self",2002,http://www.icheckmovies.com/movies/the+century+of+the+self/,509,91,2,4,65,,http://www.imdb.com/title/tt0432232/,no,no,no,no,no
18,0,"The Power of Nightmares: The Rise of the Politics of Fear",2004,http://www.icheckmovies.com/movies/the+power+of+nightmares+the+rise+of+the+politics+of+fear/,458,64,3,4,85,,http://www.imdb.com/title/tt0430484/,"2018-10-17 22:34:40",no,no,no,no
19,0,"The Blue Planet",2001,http://www.icheckmovies.com/movies/the+blue+planet/,1130,58,3,1,38,,http://www.imdb.com/title/tt0296310/,"2018-11-08 00:31:39",no,no,no,no
20,0,"Pride and Prejudice",1995,http://www.icheckmovies.com/movies/pride+and+prejudice/,12587,941,56,2,85,,http://www.imdb.com/title/tt0112130/,"2018-04-28 15:56:19",no,no,no,no
21,0,"Das Boot",1985,http://www.icheckmovies.com/movies/das+boot-1985-1/,4007,219,11,1,56,,http://www.imdb.com/title/tt0081834/,"2018-11-08 00:34:24",no,no,no,no
22,0,"Mesto vstrechi izmenit nelzya",1979,http://www.icheckmovies.com/movies/mesto+vstrechi+izmenit+nelzya/,574,48,3,2,31,"The Meeting Place Cannot Be Changed",http://www.imdb.com/title/tt0078655/,"2018-11-08 00:24:54",no,no,no,no
23,0,"I, Claudius",1976,http://www.icheckmovies.com/movies/i+claudius/,1480,136,6,2,62,,http://www.imdb.com/title/tt0074006/,"2018-11-08 00:22:32",no,no,no,no
24,0,"Wonders of the Solar System",2010,http://www.icheckmovies.com/movies/wonders+of+the+solar+system/,269,21,1,1,21,,http://www.imdb.com/title/tt1611787/,no,no,no,no,no
25,0,"Heimat - Eine deutsche Chronik",1984,http://www.icheckmovies.com/movies/heimat+-+eine+deutsche+chronik/,607,94,9,9,139,"Heimat: A Chronicle of Germany",http://www.imdb.com/title/tt0087400/,"2018-12-03 15:26:44",no,no,no,no
26,0,"La piovra",1984,http://www.icheckmovies.com/movies/la+piovra/,383,23,2,1,18,"""The Octopus""",http://www.imdb.com/title/tt0086779/,no,no,no,no,no
27,0,"Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley",1981,http://www.icheckmovies.com/movies/priklyucheniya+sherloka+kholmsa+i+doktora+vatsona+sobaka+baskerviley/,556,47,0,2,28,"The Adventures of Sherlock Holmes and Dr. Watson: The Hound of the Baskervilles",http://www.imdb.com/title/tt0083100/,no,no,no,no,no
28,0,"The Jinx: The Life and Deaths of Robert Durst",2015,http://www.icheckmovies.com/movies/the+jinx+the+life+and+deaths+of+robert+durst/,1050,133,3,1,44,,http://www.imdb.com/title/tt4299972/,no,no,no,no,no
29,0,"The Trap: What Happened to Our Dream of Freedom",2007,http://www.icheckmovies.com/movies/the+trap+what+happened+to+our+dream+of+freedom/,193,47,2,3,56,,http://www.imdb.com/title/tt0979263/,no,no,no,no,no
30,0,"North & South",2004,http://www.icheckmovies.com/movies/north+and+south/,2562,265,7,1,44,,http://www.imdb.com/title/tt0417349/,"2018-11-08 00:32:24",no,no,no,no
31,0,"Long Way Round",2004,http://www.icheckmovies.com/movies/long+way+round/,464,43,4,1,24,,http://www.imdb.com/title/tt0403778/,"2018-11-08 00:34:07",no,no,no,no
32,0,Kurtulus,1994,http://www.icheckmovies.com/movies/kurtulus/,253,11,4,1,4,,http://www.imdb.com/title/tt0388189/,no,no,no,no,no
33,0,"From the Earth to the Moon",1998,http://www.icheckmovies.com/movies/from+the+earth+to+the+moon/,1331,71,5,1,25,,http://www.imdb.com/title/tt0120570/,"2018-11-08 00:34:09",no,no,no,no
34,0,"Tales of the City",1993,http://www.icheckmovies.com/movies/tales+of+the+city/,317,17,2,1,30,,http://www.imdb.com/title/tt0106148/,no,no,no,no,no
35,0,"Lonesome Dove",1989,http://www.icheckmovies.com/movies/lonesome+dove/,1825,139,11,2,87,,http://www.imdb.com/title/tt0096639/,"2018-11-08 00:22:53",no,no,no,no
36,0,"The Singing Detective",1986,http://www.icheckmovies.com/movies/the+singing+detective/,1129,108,8,3,70,,http://www.imdb.com/title/tt0090521/,"2018-10-17 22:38:19",no,no,no,no
37,0,"Smiley's People",1982,http://www.icheckmovies.com/movies/smileys+people/,268,20,1,2,31,,http://www.imdb.com/title/tt0083480/,no,no,no,no,no
38,0,"Berlin Alexanderplatz",1980,http://www.icheckmovies.com/movies/berlin+alexanderplatz/,1135,176,15,9,200,,http://www.imdb.com/title/tt0080196/,"2018-10-17 21:55:16",no,no,no,no
39,0,"The Night Of",2016,http://www.icheckmovies.com/movies/the+night+of/,736,77,3,1,16,,http://www.imdb.com/title/tt2401256/,no,no,no,no,no
40,0,Watchmen,2008,http://www.icheckmovies.com/movies/watchmen-2008/,561,26,8,1,8,,http://www.imdb.com/title/tt1322240/,no,no,no,no,no
41,0,"Dr. Horrible's Sing-Along Blog",2008,http://www.icheckmovies.com/movies/dr.+horribles+sing-along+blog/,11135,1188,54,1,84,,http://www.imdb.com/title/tt1227926/,"2018-11-08 00:31:08",no,no,no,no
42,0,"Generation Kill",2008,http://www.icheckmovies.com/movies/generation+kill/,4283,507,9,1,57,,http://www.imdb.com/title/tt0995832/,"2018-11-08 00:31:11",no,no,no,no
43,0,"When the Levees Broke: A Requiem in Four Acts",2006,http://www.icheckmovies.com/movies/when+the+levees+broke+a+requiem+in+four+acts/,621,54,1,6,92,,http://www.imdb.com/title/tt0783612/,"2018-10-17 22:45:40",no,no,no,no
44,0,"John Adams",2008,http://www.icheckmovies.com/movies/john+adams/,2864,194,6,1,57,,http://www.imdb.com/title/tt0472027/,"2018-11-08 00:32:44",no,no,no,no
45,0,"Battlestar Galactica",2003,http://www.icheckmovies.com/movies/battlestar+galactica-2003/,3057,255,16,1,45,,http://www.imdb.com/title/tt0314979/,"2018-11-08 00:31:13",no,no,no,no
46,0,"The Corner",2000,http://www.icheckmovies.com/movies/the+corner/,569,55,2,2,33,,http://www.imdb.com/title/tt0224853/,"2018-11-08 00:24:46",no,no,no,no
47,0,Jazz,2001,http://www.icheckmovies.com/movies/jazz/,187,19,0,2,35,,http://www.imdb.com/title/tt0221300/,no,no,no,no,no
48,0,"Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen",1999,http://www.icheckmovies.com/movies/rurouni+kenshin+meiji+kenkaku+romantan+tsuioku+hen/,404,52,0,2,71,,http://www.imdb.com/title/tt0203082/,"2018-11-08 03:12:03",no,no,no,no
49,0,"NileCity 105.6",1995,http://www.icheckmovies.com/movies/nilecity+105.6/,478,29,3,1,9,,http://www.imdb.com/title/tt0112099/,"2018-11-08 01:30:30",no,no,no,no
50,0,"House of Cards",1990,http://www.icheckmovies.com/movies/house+of+cards/,875,98,2,2,59,,http://www.imdb.com/title/tt0098825/,"2018-11-08 00:24:14",no,no,no,no
