rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,"O Golpe",1977,http://www.icheckmovies.com/movies/o+golpe-1977/,2,0,1,1,16,,http://www.imdb.com/title/tt0076093/,no,no,no,no,no
2,0,"Carnaval da vitoria",1978,http://www.icheckmovies.com/movies/carnaval+da+vitoria/,1,0,2,1,14,,http://www.imdb.com/title/tt0077298/,no,no,no,no,no
3,0,"O Ritmo do N'Gola Ritmos",1978,http://www.icheckmovies.com/movies/o+ritmo+do+ngola+ritmos/,2,0,1,1,14,"Le rythme du N'Gola Ritmos",http://www.imdb.com/title/tt0078169/,no,no,no,no,no
4,0,"Ondyelwa: a Festa do Boi Sagrado",1979,http://www.icheckmovies.com/movies/ondyelwa+a+festa+do+boi+sagrado/,9,0,2,1,15,,http://www.imdb.com/title/tt2982354/,no,no,no,no,no
5,0,"Adeus a Hora da Partida",1979,http://www.icheckmovies.com/movies/adeus+a+hora+da+partida/,2,0,2,1,10,,http://www.imdb.com/title/tt2982378/,no,no,no,no,no
6,0,"Presente Angolano - Tempo Mumuila: Kimbanda",1979,http://www.icheckmovies.com/movies/presente+angolano+-+tempo+mumuila+kimbanda/,2,0,2,1,9,,http://www.imdb.com/title/tt2974922/,no,no,no,no,no
7,0,"No caminho das estrelas",1980,http://www.icheckmovies.com/movies/no+caminho+das+estrelas/,2,0,1,1,13,,http://www.imdb.com/title/tt0081243/,no,no,no,no,no
8,0,"Conceicao Tchiambula",1982,http://www.icheckmovies.com/movies/conceicao+tchiambula/,2,0,2,1,9,,http://www.imdb.com/title/tt2982366/,no,no,no,no,no
9,0,Nelisita,1983,http://www.icheckmovies.com/movies/nelisita/,17,0,2,1,15,,http://www.imdb.com/title/tt0084401/,no,no,no,no,no
10,0,"Balanço do Tempo na Cena de Angola",1982,http://www.icheckmovies.com/movies/balanco+do+tempo+na+cena+de+angola/,11,0,1,1,9,,http://www.imdb.com/title/tt2330190/,no,no,no,no,no
11,0,"Memoria de um Dia",1982,http://www.icheckmovies.com/movies/memoria+de+um+dia/,1,0,1,1,13,,http://www.imdb.com/title/tt0084320/,no,no,no,no,no
12,0,Marabu,1985,http://www.icheckmovies.com/movies/marabu/,1,0,2,1,10,,http://www.imdb.com/title/tt2330188/,no,no,no,no,no
13,0,"Levanta Voa e Vamos",1986,http://www.icheckmovies.com/movies/levanta+voa+e+vamos/,2,0,2,1,9,,http://www.imdb.com/title/tt2330156/,no,no,no,no,no
14,0,"Meus Irmãos Cokwes",1991,http://www.icheckmovies.com/movies/meus+irmaos+cokwes/,2,0,3,1,9,,http://www.imdb.com/title/tt2330186/,no,no,no,no,no
15,0,"Quem Faz Correr Quim",1991,http://www.icheckmovies.com/movies/quem+faz+correr+quim/,97,1,3,1,9,,http://www.imdb.com/title/tt2330184/,no,no,no,no,no
16,0,"The Story of the Kelly Gang",1906,http://www.icheckmovies.com/movies/the+story+of+the+kelly+gang/,321,5,3,3,44,,http://www.imdb.com/title/tt0000574/,no,no,no,no,no
17,0,"Dr. Mawson in the Antarctic",1913,http://www.icheckmovies.com/movies/dr.+mawson+in+the+antarctic/,3,0,2,1,13,,http://www.imdb.com/title/tt0002973/,no,no,no,no,no
18,0,"The Sentimental Bloke",1919,http://www.icheckmovies.com/movies/the+sentimental+bloke/,97,2,1,2,29,,http://www.imdb.com/title/tt0010680/,no,no,no,no,no
19,0,"For the Term of His Natural Life",1927,http://www.icheckmovies.com/movies/for+the+term+of+his+natural+life-1927-1/,72,0,0,2,23,,http://www.imdb.com/title/tt0017899/,no,no,no,no,no
20,0,"Dad and Dave Come to Town",1938,http://www.icheckmovies.com/movies/dad+and+dave+come+to+town/,15,0,0,1,13,"The Farmer Goes to Town",http://www.imdb.com/title/tt0030032/,no,no,no,no,no
21,0,"40,000 Horsemen",1940,http://www.icheckmovies.com/movies/40000+horsemen/,48,0,1,2,18,"Forty Thousand Horsemen",http://www.imdb.com/title/tt0033307/,no,no,no,no,no
22,0,"Kokoda Front Line!",1942,http://www.icheckmovies.com/movies/kokoda+front+lineexclamation/,247,0,4,1,26,,http://www.imdb.com/title/tt0034951/,no,no,no,no,no
23,0,"The Back of Beyond",1954,http://www.icheckmovies.com/movies/the+back+of+beyond/,56,1,1,2,24,,http://www.imdb.com/title/tt0346557/,no,no,no,no,no
24,0,Jedda,1955,http://www.icheckmovies.com/movies/jedda/,71,1,5,2,26,,http://www.imdb.com/title/tt0048227/,no,no,no,no,no
25,0,"Two Thousand Weeks",1969,http://www.icheckmovies.com/movies/two+thousand+weeks/,2,0,0,1,12,,http://www.imdb.com/title/tt0063971/,no,no,no,no,no
26,0,"Picnic at Hanging Rock",1975,http://www.icheckmovies.com/movies/picnic+at+hanging+rock/,5998,607,59,14,394,,http://www.imdb.com/title/tt0073540/,"2018-04-26 21:40:00",no,no,no,no
27,0,Newsfront,1978,http://www.icheckmovies.com/movies/newsfront/,116,3,1,3,58,,http://www.imdb.com/title/tt0077986/,no,no,no,no,no
28,0,"'Breaker' Morant",1980,http://www.icheckmovies.com/movies/breaker+morant/,1398,99,7,5,141,,http://www.imdb.com/title/tt0080310/,"2018-06-11 12:57:43",no,no,no,no
29,0,"Mad Max 2",1981,http://www.icheckmovies.com/movies/mad+max+2/,19220,1085,114,11,400,"The Road Warrior",http://www.imdb.com/title/tt0082694/,"2018-06-11 13:10:09",no,no,no,no
30,0,Gallipoli,1981,http://www.icheckmovies.com/movies/gallipoli/,3863,168,13,5,171,,http://www.imdb.com/title/tt0082432/,"2018-04-26 21:41:57",no,no,no,no
31,0,"Strictly Ballroom",1992,http://www.icheckmovies.com/movies/strictly+ballroom/,4520,275,35,6,138,,http://www.imdb.com/title/tt0105488/,no,no,no,no,no
32,0,"Sodom und Gomorrha",1922,http://www.icheckmovies.com/movies/sodom+und+gomorrha/,30,0,2,1,17,"Legende von Sünde und Strafe",http://www.imdb.com/title/tt0013619/,no,no,no,no,no
33,0,"Die Stadt ohne Juden",1924,http://www.icheckmovies.com/movies/die+stadt+ohne+juden/,41,1,1,1,16,"The City Without Jews",http://www.imdb.com/title/tt0016392/,no,no,no,no,no
34,0,Maskerade,1934,http://www.icheckmovies.com/movies/maskerade/,107,15,0,3,98,"Masquerade in Vienna",http://www.imdb.com/title/tt0025478/,no,no,no,no,no
35,0,Vorstadtvariete,1935,http://www.icheckmovies.com/movies/vorstadtvariete/,12,0,0,1,20,"Suburban Cabaret",http://www.imdb.com/title/tt0025952/,no,no,no,no,no
36,0,"Der Prozeß",1948,http://www.icheckmovies.com/movies/der+prozess-1948/,16,0,0,1,13,,http://www.imdb.com/title/tt0040714/,no,no,no,no,no
37,0,"Der Rabe",1951,http://www.icheckmovies.com/movies/der+rabe-1951/,135,3,3,1,31,,http://www.imdb.com/title/tt0949507/,no,no,no,no,no
38,0,"Die letzte Brücke",1954,http://www.icheckmovies.com/movies/die+letzte+brucke/,84,11,0,2,71,"The Last Bridge",http://www.imdb.com/title/tt0047172/,no,no,no,no,no
39,0,"Kassbach - Ein Portrait",1979,http://www.icheckmovies.com/movies/kassbach+-+ein+portrait/,7,0,0,1,14,,http://www.imdb.com/title/tt0079390/,no,no,no,no,no
40,0,"Geschichten aus dem Wienerwald",1979,http://www.icheckmovies.com/movies/geschichten+aus+dem+wienerwald/,9,0,0,1,22,"Tales from the Vienna Woods",http://www.imdb.com/title/tt0079203/,no,no,no,no,no
41,0,"Der Schüler Gerber",1981,http://www.icheckmovies.com/movies/der+schuler+gerber/,11,1,0,1,16,,http://www.imdb.com/title/tt0083036/,no,no,no,no,no
42,0,"Ein wenig sterben",1981,http://www.icheckmovies.com/movies/ein+wenig+sterben/,3,0,0,1,9,,http://www.imdb.com/title/tt0381156/,no,no,no,no,no
43,0,Raffl,1985,http://www.icheckmovies.com/movies/raffl/,1,0,1,1,17,,http://www.imdb.com/title/tt0087970/,no,no,no,no,no
44,0,Schmutz,1987,http://www.icheckmovies.com/movies/schmutz/,19,1,1,1,22,,http://www.imdb.com/title/tt0089972/,no,no,no,no,no
45,0,Heidenlöcher,1986,http://www.icheckmovies.com/movies/heidenlocher/,3,0,1,1,15,,http://www.imdb.com/title/tt0089266/,no,no,no,no,no
46,0,'38,1986,http://www.icheckmovies.com/movies/38/,26,0,0,2,37,"38 - Vienna Before the Fall",http://www.imdb.com/title/tt0090554/,no,no,no,no,no
47,0,"T4 - Hartheim 1 - Sterben und Leben im Schloß",1988,http://www.icheckmovies.com/movies/t4+-+hartheim+1+-+sterben+und+leben+im+schloss/,3,1,1,1,11,,http://www.imdb.com/title/tt0096207/,no,no,no,no,no
48,0,"Der siebente Kontinent",1989,http://www.icheckmovies.com/movies/der+siebente+kontinent/,1524,249,20,3,171,"The Seventh Continent",http://www.imdb.com/title/tt0098327/,no,no,no,no,no
49,0,"Die toten Fische",1989,http://www.icheckmovies.com/movies/die+toten+fische/,1,0,1,1,13,,http://www.imdb.com/title/tt0264102/,no,no,no,no,no
50,0,"Weiningers Nacht",1990,http://www.icheckmovies.com/movies/weiningers+nacht/,14,2,0,1,13,,http://www.imdb.com/title/tt0098629/,no,no,no,no,no
51,0,"Benny's Video",1992,http://www.icheckmovies.com/movies/bennys+video/,1468,120,16,1,127,,http://www.imdb.com/title/tt0103793/,no,no,no,no,no
52,0,"71 Fragmente einer Chronologie des Zufalls",1994,http://www.icheckmovies.com/movies/71+fragmente+einer+chronologie+des+zufalls/,695,46,15,1,84,"71 Fragments of a Chronology of Chance",http://www.imdb.com/title/tt0109020/,no,no,no,no,no
53,0,Hasenjagd,1994,http://www.icheckmovies.com/movies/hasenjagd/,31,3,0,1,18,"The Quality of Mercy",http://www.imdb.com/title/tt0109994/,no,no,no,no,no
54,0,"La profecía del lago",1925,http://www.icheckmovies.com/movies/la+profecia+del+lago/,2,0,1,1,14,,http://www.imdb.com/title/tt0295535/,no,no,no,no,no
55,0,"Inauguración del Estadio Hernando Siles",1927,http://www.icheckmovies.com/movies/inauguracion+del+estadio+hernando+siles/,2,0,3,1,13,,http://www.imdb.com/title/tt1720119/,no,no,no,no,no
56,0,Warawara,1930,http://www.icheckmovies.com/movies/warawara/,20,0,1,1,16,,http://www.imdb.com/title/tt0295750/,no,no,no,no,no
57,0,"Hacia la gloria",1932,http://www.icheckmovies.com/movies/hacia+la+gloria/,1,0,2,1,12,,http://www.imdb.com/title/tt0295292/,no,no,no,no,no
58,0,"La Campana del Chaco",1933,http://www.icheckmovies.com/movies/la+campana+del+chaco/,2,0,2,1,9,,http://www.imdb.com/title/tt2982686/,no,no,no,no,no
59,0,"Infierno Verde o La Guerra del Chaco",1936,http://www.icheckmovies.com/movies/infierno+verde+o+la+guerra+del+chaco/,1,0,2,1,8,,http://www.imdb.com/title/tt2982698/,no,no,no,no,no
60,0,"Al Pie del Illimani",1948,http://www.icheckmovies.com/movies/al+pie+del+illimani/,1,0,2,1,8,,http://www.imdb.com/title/tt2982672/,no,no,no,no,no
61,0,"Vuelve Sebastiana",1953,http://www.icheckmovies.com/movies/vuelve+sebastiana/,84,0,1,1,15,"Come Back, Sebastiana",http://www.imdb.com/title/tt0368419/,no,no,no,no,no
62,0,"La vertiente",1959,http://www.icheckmovies.com/movies/la+vertiente/,1,0,2,1,11,"The Source",http://www.imdb.com/title/tt0179503/,no,no,no,no,no
63,0,Aysa,1965,http://www.icheckmovies.com/movies/aysa/,1,0,2,1,9,,http://www.imdb.com/title/tt2982662/,no,no,no,no,no
64,0,Ukamau,1966,http://www.icheckmovies.com/movies/ukamau/,107,9,3,2,54,"And So It Is",http://www.imdb.com/title/tt0061136/,no,no,no,no,no
65,0,"Yawar Mallku",1969,http://www.icheckmovies.com/movies/yawar+mallku/,184,20,0,5,96,"Blood of the Condor",http://www.imdb.com/title/tt0065228/,no,no,no,no,no
66,0,"El coraje del pueblo",1971,http://www.icheckmovies.com/movies/el+coraje+del+pueblo/,34,2,1,2,28,"The Night of San Juan",http://www.imdb.com/title/tt0066947/,no,no,no,no,no
67,0,"Pueblo chico",1974,http://www.icheckmovies.com/movies/pueblo+chico-1974/,1,0,1,1,11,,http://www.imdb.com/title/tt0188163/,no,no,no,no,no
68,0,Chuquiago,1977,http://www.icheckmovies.com/movies/chuquiago/,23,1,0,1,19,,http://www.imdb.com/title/tt0125040/,no,no,no,no,no
69,0,Limite,1931,http://www.icheckmovies.com/movies/limite/,640,77,16,8,156,,http://www.imdb.com/title/tt0022080/,"2018-11-26 13:17:52",no,no,no,no
70,0,"Ganga Bruta",1933,http://www.icheckmovies.com/movies/ganga+bruta/,119,4,0,3,50,,http://www.imdb.com/title/tt0024049/,no,no,no,no,no
71,0,"O Cangaceiro",1953,http://www.icheckmovies.com/movies/o+cangaceiro-1953-1/,98,3,0,3,41,,http://www.imdb.com/title/tt0045595/,"2018-12-04 15:02:06",no,no,no,no
72,0,"O Grande Momento",1958,http://www.icheckmovies.com/movies/o+grande+momento/,28,1,0,2,21,"The Grand Moment",http://www.imdb.com/title/tt0049275/,no,no,no,no,no
73,0,"Porto das Caixas",1963,http://www.icheckmovies.com/movies/porto+das+caixas/,23,0,0,2,21,,http://www.imdb.com/title/tt0145401/,no,no,no,no,no
74,0,"O Pagador de Promessas",1962,http://www.icheckmovies.com/movies/o+pagador+de+promessas/,719,107,6,8,156,"The Given Word",http://www.imdb.com/title/tt0056322/,no,no,no,no,no
75,0,"Vidas Secas",1963,http://www.icheckmovies.com/movies/vidas+secas/,770,47,9,8,149,"Barren Lives",http://www.imdb.com/title/tt0057654/,"2018-12-02 14:54:08",no,no,no,no
76,0,"Noite Vazia",1964,http://www.icheckmovies.com/movies/noite+vazia/,133,16,0,3,67,"Men and Women",http://www.imdb.com/title/tt0189814/,no,no,no,no,no
77,0,"Deus e o Diabo na Terra do Sol",1964,http://www.icheckmovies.com/movies/deus+e+o+diabo+na+terra+do+sol/,1204,103,33,9,207,"Black God, White Devil",http://www.imdb.com/title/tt0058006/,"2018-12-02 23:22:59",no,no,no,no
78,0,"São Paulo, Sociedade Anônima",1965,http://www.icheckmovies.com/movies/sao+paulo+sociedade+anonima/,122,19,0,2,56,"São Paulo S/A",http://www.imdb.com/title/tt0195324/,no,no,no,no,no
79,0,"A Grande Cidade ou As Aventuras e Desventuras de Luzia e Seus 3 Amigos Chegados de Longe",1966,http://www.icheckmovies.com/movies/a+grande+cidade+ou+as+aventuras+e+desventuras+de+luzia+e+seus+3+amigos+chegados+de+longe/,21,1,0,1,18,,http://www.imdb.com/title/tt0060473/,no,no,no,no,no
