rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,0,Manon,1949,http://www.icheckmovies.com/movies/manon/,120,3,3,1,39,,http://www.imdb.com/title/tt0041634/,no,no,no,no,no
2,0,"Justice est faite",1950,http://www.icheckmovies.com/movies/justice+est+faite/,20,1,0,1,29,"Justice Is Done",http://www.imdb.com/title/tt0042625/,no,no,no,no,no
3,0,Rashômon,1950,http://www.icheckmovies.com/movies/rashomon/,19407,2255,91,33,849,Rashomon,http://www.imdb.com/title/tt0042876/,"2018-04-26 21:30:35",no,no,no,no
4,0,"Jeux interdits",1952,http://www.icheckmovies.com/movies/jeux+interdits/,2488,337,8,14,297,"Forbidden Games",http://www.imdb.com/title/tt0043686/,"2018-04-26 21:31:16",no,no,no,no
5,0,"Romeo and Juliet",1954,http://www.icheckmovies.com/movies/romeo+and+juliet-1954-1/,323,3,1,2,24,,http://www.imdb.com/title/tt0047029/,no,no,no,no,no
6,0,Ordet,1955,http://www.icheckmovies.com/movies/ordet/,3228,543,39,20,437,"The Word",http://www.imdb.com/title/tt0048452/,"2018-10-29 22:12:00",no,no,no,no
7,0,Aparajito,1956,http://www.icheckmovies.com/movies/aparajito/,2020,252,14,13,269,"The Unvanquished",http://www.imdb.com/title/tt0048956/,"2018-11-08 00:21:24",no,no,no,no
8,0,"Muhomatsu no issho",1958,http://www.icheckmovies.com/movies/muhomatsu+no+issho/,139,12,2,1,46,"The Rickshaw Man",http://www.imdb.com/title/tt0051955/,no,no,no,no,no
9,0,"Il generale Della Rovere",1959,http://www.icheckmovies.com/movies/il+generale+della+rovere/,439,36,3,5,132,"General della Rovere",http://www.imdb.com/title/tt0053856/,"2018-06-11 13:02:41",no,no,no,no
10,0,"La grande guerra",1959,http://www.icheckmovies.com/movies/la+grande+guerra/,587,59,3,6,130,"The Great War",http://www.imdb.com/title/tt0052861/,no,no,no,no,no
11,0,"Le passage du Rhin",1960,http://www.icheckmovies.com/movies/le+passage+du+rhin/,13,0,0,1,15,"Tomorrow Is My Turn",http://www.imdb.com/title/tt0054161/,no,no,no,no,no
12,0,"L'année dernière à Marienbad",1961,http://www.icheckmovies.com/movies/lannee+derniere+a+marienbad/,4737,679,101,21,501,"Last Year at Marienbad",http://www.imdb.com/title/tt0054632/,"2018-10-14 16:19:37",no,no,no,no
13,0,"Cronaca familiare",1962,http://www.icheckmovies.com/movies/cronaca+familiare/,127,4,0,1,39,"Family Portrait",http://www.imdb.com/title/tt0056966/,no,no,no,no,no
14,0,"Ivanovo detstvo",1962,http://www.icheckmovies.com/movies/ivanovo+detstvo/,3772,476,20,11,307,"Ivan's Childhood",http://www.imdb.com/title/tt0056111/,"2018-11-09 00:41:03",no,no,no,no
15,0,"Le mani sulla città",1963,http://www.icheckmovies.com/movies/le+mani+sulla+citta/,474,29,3,6,105,"Hands Over the City",http://www.imdb.com/title/tt0057286/,no,no,no,no,no
16,0,"Il deserto rosso",1964,http://www.icheckmovies.com/movies/il+deserto+rosso/,2658,316,28,10,286,"Red Desert",http://www.imdb.com/title/tt0058003/,"2018-11-19 21:31:49",no,no,no,no
17,0,"Vaghe stelle dell'Orsa...",1965,http://www.icheckmovies.com/movies/vaghe+stelle+dellorsa.../,246,10,3,2,54,Sandra,http://www.imdb.com/title/tt0059856/,no,no,no,no,no
18,0,"La battaglia di Algeri",1966,http://www.icheckmovies.com/movies/la+battaglia+di+algeri/,7888,975,56,25,546,"The Battle of Algiers",http://www.imdb.com/title/tt0058946/,"2018-04-26 21:36:15",no,no,no,no
