rank,rankdifference,title,year,url,checkedcount,favouritecount,dislikedcount,officialtoplistcount,usertoplistcount,akatitle,imdburl,checked,favorite,disliked,watchlist,owned
1,,"Komisario Palmun erehdys",1960,http://www.icheckmovies.com/movies/komisario+palmun+erehdys/,198,25,0,1,60,"Inspector Palmu's Error",http://www.imdb.com/title/tt0054001/,no,no,no,no,no
2,,"Kauas pilvet karkaavat",1996,http://www.icheckmovies.com/movies/kauas+pilvet+karkaavat/,670,81,1,2,142,"Drifting Clouds",http://www.imdb.com/title/tt0116752/,no,no,no,no,no
3,,"Valkoinen peura",1952,http://www.icheckmovies.com/movies/valkoinen+peura/,282,22,2,2,106,"The White Reindeer",http://www.imdb.com/title/tt0045283/,no,no,no,no,no
4,,"Tuntematon sotilas",1955,http://www.icheckmovies.com/movies/tuntematon+sotilas-1955/,439,24,2,2,52,"The Unknown Soldier",http://www.imdb.com/title/tt0048752/,no,no,no,no,no
5,,"Kahdeksan surmanluotia",1972,http://www.icheckmovies.com/movies/kahdeksan+surmanluotia/,74,13,3,3,52,"Eight Deadly Shots",http://www.imdb.com/title/tt0137863/,no,no,no,no,no
6,,"Mies vailla menneisyyttä",2002,http://www.icheckmovies.com/movies/mies+vailla+menneisyytta/,2272,238,14,4,181,"The Man Without a Past",http://www.imdb.com/title/tt0311519/,"2018-11-26 08:02:45",no,no,no,no
7,,"Paha maa",2005,http://www.icheckmovies.com/movies/paha+maa/,367,26,1,1,50,"Frozen Land",http://www.imdb.com/title/tt0388318/,no,no,no,no,no
8,,"Jäniksen vuosi",1977,http://www.icheckmovies.com/movies/janiksen+vuosi/,188,20,1,2,45,"The Year of the Hare",http://www.imdb.com/title/tt0076252/,no,no,no,no,no
9,,Sensuela,1973,http://www.icheckmovies.com/movies/sensuela/,86,5,1,1,22,,http://www.imdb.com/title/tt0138795/,no,no,no,no,no
10,,"Calamari Union",1985,http://www.icheckmovies.com/movies/calamari+union/,372,45,5,1,63,,http://www.imdb.com/title/tt0087020/,no,no,no,no,no
11,,"Maa on syntinen laulu",1973,http://www.icheckmovies.com/movies/maa+on+syntinen+laulu/,112,7,4,2,45,"The Earth Is a Sinful Song",http://www.imdb.com/title/tt0071786/,no,no,no,no,no
12,,"Tuntematon sotilas",1985,http://www.icheckmovies.com/movies/tuntematon+sotilas/,175,7,1,1,30,"The Unknown Soldier",http://www.imdb.com/title/tt0090215/,no,no,no,no,no
13,,Arvottomat,1982,http://www.icheckmovies.com/movies/arvottomat/,137,18,2,2,41,"The Worthless",http://www.imdb.com/title/tt0083579/,no,no,no,no,no
14,,"Juurakon Hulda",1937,http://www.icheckmovies.com/movies/juurakon+hulda/,18,0,0,1,13,,http://www.imdb.com/title/tt0029072/,no,no,no,no,no
15,,Pojat,1962,http://www.icheckmovies.com/movies/pojat/,108,6,1,1,25,"The Boys",http://www.imdb.com/title/tt0056356/,no,no,no,no,no
16,,"Varjoja paratiisissa",1986,http://www.icheckmovies.com/movies/varjoja+paratiisissa/,777,85,2,4,113,"Shadows in Paradise",http://www.imdb.com/title/tt0092149/,"2018-11-26 08:06:03",no,no,no,no
17,,"Aleksis Kiven elämä",2001,http://www.icheckmovies.com/movies/aleksis+kiven+elama/,72,3,4,1,11,"The Life of Aleksis Kivi",http://www.imdb.com/title/tt0170517/,no,no,no,no,no
18,,Elokuu,1956,http://www.icheckmovies.com/movies/elokuu/,36,1,0,2,25,"The Harvest Month",http://www.imdb.com/title/tt0125730/,no,no,no,no,no
19,,Loma,1976,http://www.icheckmovies.com/movies/loma/,41,2,0,1,11,"Olympian Holiday",http://www.imdb.com/title/tt0074813/,no,no,no,no,no
20,,Neitoperho,1997,http://www.icheckmovies.com/movies/neitoperho/,35,2,0,1,20,,http://www.imdb.com/title/tt0119769/,no,no,no,no,no
